,Rebellious Lord,Gutsy,Tarasque,Bianco Nuovo,Our Ellie Rose,Aeroette,Miss Cavendish,Bignota,Goodness Gracie,Bassons
04-01-2023 15:33:54.154834,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 14.0, 12.09090909090909)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:33:55.615632,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 14.0, 12.09090909090909)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:33:57.117595,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 14.0, 12.09090909090909)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:33:58.634928,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 14.0, 12.09090909090909)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:00.131057,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 14.0, 12.09090909090909)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:01.599886,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 14.0, 12.09090909090909)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:03.016367,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.96)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 14.0, 12.09090909090909)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:04.483002,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.96)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 14.0, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:05.905784,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:07.360175,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:08.708374,"(9.0, 15.0, 13.4)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:10.026699,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
