,Smash Grenade,Homebush Red,Better Luck,Homebush Geoff,Epic Grace,Homebush Cricket,Libelle,Homebush Jewel
0,"[datetime.datetime(2022, 11, 28, 10, 55, 3, 912671), 4.0, 11.0]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 912671), 6.0, 18.5]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 912671), 8.0, 36.0]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 912671), 18.0, 210.0]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 912671), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 912671), 3.6, 10.0]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 912671), 3.3, 8.6]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 912671), 15.0, 190.0]"
1,"[datetime.datetime(2022, 11, 28, 10, 55, 5, 53927), 4.0, 11.0]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 53927), 6.0, 18.5]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 53927), 8.0, 36.0]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 53927), 18.0, 210.0]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 53927), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 53927), 3.6, 10.0]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 53927), 3.3, 8.6]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 53927), 15.0, 190.0]"
2,"[datetime.datetime(2022, 11, 28, 10, 55, 6, 194707), 4.0, 11.0]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 194707), 6.0, 18.5]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 194707), 8.0, 36.0]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 194707), 18.0, 210.0]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 194707), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 194707), 3.6, 10.0]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 194707), 3.3, 8.6]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 194707), 15.0, 190.0]"
3,"[datetime.datetime(2022, 11, 28, 10, 55, 7, 394160), 4.0, 11.0]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 394160), 6.0, 18.5]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 394160), 8.0, 36.0]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 394160), 18.0, 210.0]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 394160), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 394160), 3.6, 10.0]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 394160), 3.3, 8.6]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 394160), 15.0, 190.0]"
4,"[datetime.datetime(2022, 11, 28, 10, 55, 8, 523798), 4.0, 11.0]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 523798), 6.0, 18.5]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 523798), 8.0, 36.0]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 523798), 18.0, 210.0]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 523798), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 523798), 3.6, 10.0]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 523798), 3.3, 8.6]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 523798), 15.0, 190.0]"
5,"[datetime.datetime(2022, 11, 28, 10, 55, 9, 655694), 4.0, 11.0]","[datetime.datetime(2022, 11, 28, 10, 55, 9, 655694), 6.0, 18.5]","[datetime.datetime(2022, 11, 28, 10, 55, 9, 655694), 8.0, 36.0]","[datetime.datetime(2022, 11, 28, 10, 55, 9, 655694), 18.0, 210.0]","[datetime.datetime(2022, 11, 28, 10, 55, 9, 655694), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 10, 55, 9, 655694), 3.6, 10.0]","[datetime.datetime(2022, 11, 28, 10, 55, 9, 655694), 3.3, 8.6]","[datetime.datetime(2022, 11, 28, 10, 55, 9, 655694), 15.0, 190.0]"
6,"[datetime.datetime(2022, 11, 28, 10, 55, 10, 796719), 4.0, 11.0]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 796719), 6.0, 18.5]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 796719), 8.0, 36.0]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 796719), 18.0, 210.0]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 796719), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 796719), 3.6, 10.0]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 796719), 3.3, 8.6]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 796719), 15.0, 190.0]"
7,"[datetime.datetime(2022, 11, 28, 10, 55, 11, 923304), 4.0, 11.0]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 923304), 6.0, 18.5]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 923304), 8.0, 36.0]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 923304), 18.0, 210.0]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 923304), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 923304), 3.6, 10.0]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 923304), 3.3, 8.6]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 923304), 15.0, 190.0]"
8,"[datetime.datetime(2022, 11, 28, 10, 55, 13, 57178), 4.0, 11.0]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 57178), 6.0, 18.5]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 57178), 8.0, 36.0]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 57178), 18.0, 210.0]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 57178), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 57178), 3.6, 10.0]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 57178), 3.3, 8.6]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 57178), 15.0, 190.0]"
9,"[datetime.datetime(2022, 11, 28, 10, 55, 14, 193824), 4.0, 11.0]","[datetime.datetime(2022, 11, 28, 10, 55, 14, 193824), 6.0, 18.5]","[datetime.datetime(2022, 11, 28, 10, 55, 14, 193824), 8.0, 36.0]","[datetime.datetime(2022, 11, 28, 10, 55, 14, 193824), 18.0, 210.0]","[datetime.datetime(2022, 11, 28, 10, 55, 14, 193824), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 10, 55, 14, 193824), 3.6, 10.0]","[datetime.datetime(2022, 11, 28, 10, 55, 14, 193824), 3.3, 8.6]","[datetime.datetime(2022, 11, 28, 10, 55, 14, 193824), 15.0, 190.0]"
