,Giant Payday,Cleopatras Strike,Bigfoot City,Zumurudee,Bobs All In,Cashanova,My Boy Lollipop,Vintage Kitten,River Rose,Macedonian Ruler,Were Just Sayin
10-01-2023 08:46:53.124638,"(15.0, 32.0, 19.666666666666668)","(2.6, 3.5, 3.425)","(3.4, 5.3, 5.116666666666667)","(18.0, 180.0, 54.75)","(7.5, 12.0, 10.333333333333334)","(7.5, 13.0, 11.08)","(51.0, 220.0, 153.0)","(26.0, 220.0, 67.375)","(8.5, 23.0, 16.333333333333332)","(16.0, 150.0, 71.71428571428572)","(26.0, 220.0, 85.0)"
10-01-2023 08:46:54.338995,"(15.0, 32.0, 19.666666666666668)","(2.6, 3.3, 3.2888888888888888)","(3.4, 5.2, 4.525)","(18.0, 180.0, 54.75)","(7.5, 11.5, 10.333333333333334)","(7.5, 13.0, 11.16)","(51.0, 220.0, 153.0)","(26.0, 220.0, 67.375)","(8.5, 23.0, 16.333333333333332)","(16.0, 150.0, 71.71428571428572)","(26.0, 220.0, 85.0)"
10-01-2023 08:46:55.522598,"(15.0, 32.0, 19.666666666666668)","(2.6, 3.3, 3.2888888888888888)","(3.4, 5.2, 4.875)","(18.0, 180.0, 54.75)","(7.5, 11.5, 10.333333333333334)","(7.5, 13.0, 11.16)","(51.0, 220.0, 153.0)","(26.0, 220.0, 67.375)","(8.5, 23.0, 16.333333333333332)","(16.0, 150.0, 40.8)","(26.0, 220.0, 84.66666666666667)"
10-01-2023 08:46:56.730842,"(15.0, 32.0, 19.666666666666668)","(2.6, 3.3, 3.2888888888888888)","(3.4, 5.2, 4.85)","(18.0, 180.0, 53.25)","(7.5, 11.5, 10.333333333333334)","(7.5, 13.0, 11.16)","(51.0, 220.0, 153.0)","(26.0, 220.0, 67.375)","(8.5, 23.0, 16.333333333333332)","(16.0, 150.0, 40.8)","(26.0, 220.0, 84.66666666666667)"
10-01-2023 08:46:57.978849,"(15.0, 32.0, 19.666666666666668)","(2.6, 3.3, 3.2888888888888888)","(3.4, 5.3, 4.866666666666666)","(18.0, 180.0, 53.25)","(7.5, 11.5, 10.333333333333334)","(7.5, 13.0, 11.16)","(51.0, 220.0, 153.0)","(26.0, 220.0, 67.375)","(8.5, 23.0, 16.333333333333332)","(16.0, 150.0, 40.8)","(26.0, 220.0, 84.66666666666667)"
10-01-2023 08:46:59.250275,"(15.0, 32.0, 19.666666666666668)","(2.6, 3.3, 3.2888888888888888)","(3.4, 5.3, 4.866666666666666)","(18.0, 180.0, 53.25)","(7.5, 11.5, 10.333333333333334)","(7.5, 13.0, 11.16)","(51.0, 220.0, 153.0)","(26.0, 220.0, 67.375)","(8.5, 23.0, 16.333333333333332)","(16.0, 150.0, 40.8)","(26.0, 220.0, 84.66666666666667)"
10-01-2023 08:47:00.445192,"(15.0, 32.0, 19.666666666666668)","(2.6, 3.3, 3.2888888888888888)","(3.4, 5.3, 4.866666666666666)","(18.0, 180.0, 53.25)","(7.5, 11.5, 10.333333333333334)","(7.5, 13.0, 11.16)","(51.0, 220.0, 153.0)","(26.0, 220.0, 67.375)","(8.5, 23.0, 16.333333333333332)","(16.0, 150.0, 40.8)","(26.0, 220.0, 84.66666666666667)"
10-01-2023 08:47:01.642886,"(15.0, 32.0, 19.666666666666668)","(2.6, 3.5, 3.325)","(3.4, 5.3, 4.866666666666666)","(18.0, 180.0, 53.25)","(7.5, 11.5, 10.333333333333334)","(7.5, 13.0, 11.16)","(51.0, 220.0, 153.0)","(26.0, 220.0, 67.375)","(8.5, 23.0, 16.333333333333332)","(16.0, 150.0, 40.8)","(26.0, 220.0, 84.66666666666667)"
10-01-2023 08:47:02.851941,"(15.0, 32.0, 19.666666666666668)","(2.6, 3.5, 3.325)","(3.4, 5.3, 4.866666666666666)","(18.0, 180.0, 53.25)","(7.5, 11.5, 10.333333333333334)","(7.5, 13.0, 11.16)","(51.0, 220.0, 153.0)","(26.0, 220.0, 67.375)","(8.5, 23.0, 16.333333333333332)","(16.0, 150.0, 40.8)","(26.0, 220.0, 84.66666666666667)"
10-01-2023 08:47:04.087788,"(15.0, 32.0, 19.666666666666668)","(2.6, 3.4, 3.2181818181818183)","(3.4, 5.3, 4.866666666666666)","(18.0, 180.0, 53.25)","(7.5, 11.5, 10.333333333333334)","(7.5, 13.0, 11.46)","(51.0, 220.0, 153.0)","(26.0, 220.0, 67.375)","(8.5, 23.0, 16.333333333333332)","(16.0, 150.0, 55.666666666666664)","(26.0, 220.0, 84.66666666666667)"
