,Prompt Prodigy,Deevine,Grand Pope,Grinzinger Prince,Tramontana,Bluestone Lane,Cosmic Rhapsody,Jamarra,Rosalia,Pinnace,Snappy Magnus,Hes Essential,The Siscos Kid
04-01-2023 16:18:22.904373,"(81.0, 120.0, 107.14285714285714)","(31.0, 44.0, 42.18181818181818)","(7.5, 8.8, 8.781967213114754)","(6.0, 7.2, 7.085950413223141)","(8.0, 9.4, 9.16081081081081)","(18.0, 21.0, 20.61261261261261)","(26.0, 32.0, 31.914893617021278)","(8.0, 10.5, 10.220588235294118)","(5.5, 5.8, 5.85035799522673)","(6.0, 7.4, 7.273118279569893)","(31.0, 99999, 99990)","(10.0, 12.5, 12.035031847133759)","(81.0, 100.0, 96.66666666666667)"
04-01-2023 16:18:24.567343,"(81.0, 120.0, 107.14285714285714)","(31.0, 44.0, 42.18181818181818)","(7.5, 8.8, 8.748993288590604)","(6.0, 7.2, 7.094455066921606)","(8.0, 9.2, 9.244036697247706)","(18.0, 21.0, 20.956521739130434)","(26.0, 32.0, 31.92156862745098)","(8.0, 10.5, 10.227405247813412)","(5.5, 5.9, 5.845806451612903)","(6.0, 7.4, 7.255645161290323)","(31.0, 99999, 99990)","(10.0, 12.5, 12.035031847133759)","(81.0, 100.0, 96.5)"
04-01-2023 16:18:26.050977,"(81.0, 120.0, 105.14285714285714)","(31.0, 44.0, 42.18181818181818)","(7.5, 8.8, 8.671186440677966)","(6.0, 7.2, 7.094455066921606)","(8.0, 9.4, 9.217204301075268)","(18.0, 21.0, 20.8)","(26.0, 32.0, 31.92156862745098)","(8.5, 10.5, 10.198387096774194)","(5.5, 5.9, 5.869900497512438)","(6.0, 7.4, 7.304398826979472)","(31.0, 99999, 99990)","(10.0, 12.5, 12.035031847133759)","(81.0, 110.0, 96.5)"
04-01-2023 16:18:27.490213,"(81.0, 120.0, 105.14285714285714)","(31.0, 44.0, 42.10526315789474)","(7.5, 8.8, 8.671186440677966)","(6.0, 7.2, 7.094455066921606)","(8.0, 9.4, 9.217204301075268)","(18.0, 21.0, 20.8265306122449)","(26.0, 32.0, 31.92452830188679)","(8.5, 10.5, 10.198387096774194)","(5.5, 5.9, 5.876633663366337)","(6.0, 7.4, 7.321405750798722)","(31.0, 99999, 99990)","(10.0, 12.5, 12.013333333333334)","(81.0, 110.0, 100.13698630136986)"
04-01-2023 16:18:28.958349,"(81.0, 120.0, 104.86486486486487)","(31.0, 44.0, 42.10526315789474)","(7.5, 8.8, 8.638532110091743)","(6.0, 7.2, 7.093230174081238)","(8.0, 9.4, 9.190566037735849)","(18.0, 21.0, 20.8265306122449)","(26.0, 32.0, 31.914893617021278)","(8.5, 10.5, 10.22337278106509)","(5.5, 5.9, 5.882936507936508)","(6.0, 7.4, 7.3748917748917755)","(31.0, 99999, 99990)","(10.0, 12.5, 12.03125)","(81.0, 110.0, 100.13698630136986)"
04-01-2023 16:18:30.464144,"(81.0, 120.0, 104.86486486486487)","(31.0, 44.0, 41.111111111111114)","(7.5, 8.8, 8.664615384615384)","(6.0, 7.2, 7.09047619047619)","(8.0, 9.2, 9.15593220338983)","(18.0, 21.0, 20.62264150943396)","(26.0, 32.0, 31.92156862745098)","(8.5, 10.5, 10.22337278106509)","(5.5, 5.9, 5.968067226890756)","(6.0, 7.4, 7.313725490196079)","(31.0, 99999, 99990)","(10.0, 12.5, 12.032051282051283)","(81.0, 110.0, 102.0)"
04-01-2023 16:18:32.031455,"(81.0, 120.0, 104.86486486486487)","(31.0, 42.0, 40.95238095238095)","(7.5, 8.8, 8.665648854961832)","(6.0, 7.2, 7.092397660818714)","(8.0, 9.2, 9.13116883116883)","(18.0, 21.0, 20.57843137254902)","(26.0, 32.0, 31.918367346938776)","(8.5, 10.5, 10.227409638554217)","(5.5, 6.0, 5.9682795698924735)","(6.0, 7.4, 7.316666666666667)","(31.0, 99999, 99990)","(10.0, 12.5, 12.075301204819278)","(81.0, 110.0, 102.0)"
04-01-2023 16:18:33.543833,"(81.0, 120.0, 105.88235294117646)","(31.0, 42.0, 40.9)","(7.5, 8.8, 8.703825136612021)","(6.0, 7.2, 7.095454545454546)","(8.0, 9.2, 9.132203389830508)","(18.0, 21.0, 20.598130841121495)","(26.0, 32.0, 31.92452830188679)","(8.5, 10.5, 10.297539149888143)","(5.5, 6.0, 5.983602771362587)","(6.0, 7.4, 7.3198895027624316)","(31.0, 99999, 99990)","(10.0, 12.5, 12.15691489361702)","(81.0, 110.0, 95.59210526315789)"
04-01-2023 16:18:35.103769,"(81.0, 120.0, 107.14285714285714)","(31.0, 42.0, 40.885245901639344)","(7.5, 8.8, 8.704294478527608)","(6.0, 7.2, 7.095057034220533)","(8.0, 9.2, 9.137647058823529)","(18.0, 21.0, 20.516393442622952)","(26.0, 32.0, 31.92452830188679)","(8.5, 10.5, 10.299778761061948)","(5.5, 6.0, 6.00175879396985)","(6.0, 7.4, 7.300602409638555)","(31.0, 99999, 99990)","(10.0, 12.5, 12.17989417989418)","(81.0, 110.0, 95.77922077922078)"
04-01-2023 16:18:36.635159,"(81.0, 120.0, 107.14285714285714)","(31.0, 42.0, 40.885245901639344)","(7.5, 8.8, 8.704294478527608)","(6.0, 7.2, 7.095057034220533)","(8.0, 9.2, 9.155555555555555)","(18.0, 21.0, 20.516393442622952)","(26.0, 32.0, 31.794117647058822)","(8.5, 10.5, 10.300448430493274)","(5.5, 6.2, 6.0152927120669055)","(6.0, 7.4, 7.296875)","(31.0, 99999, 99990)","(10.0, 12.5, 12.235807860262009)","(81.0, 110.0, 95.77922077922078)"
