,Silver Sticks,Bora Blue,Contract,Kotiro Koura,Roger Ring,Hidden Gold,Noaki Nipper
11-01-2023 15:52:22.305204,"(1.7, 1.8, 1.7013157894736841)","(3.7, 11.0, 5.257142857142857)","(4.2, 7.8, 5.266666666666667)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 180.0, 159.3125)","(21.0, 240.0, 209.0)"
11-01-2023 15:52:23.377099,"(1.7, 1.8, 1.7013157894736841)","(3.7, 11.0, 5.257142857142857)","(4.2, 7.8, 5.266666666666667)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 38.0, 35.0625)","(21.0, 240.0, 209.0)"
11-01-2023 15:52:24.487499,"(1.7, 1.8, 1.7013157894736841)","(3.7, 11.0, 5.257142857142857)","(4.2, 7.8, 5.266666666666667)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 38.0, 35.0625)","(21.0, 240.0, 209.0)"
11-01-2023 15:52:25.667579,"(1.7, 1.8, 1.7013157894736841)","(3.7, 11.0, 4.907692307692308)","(4.2, 7.8, 7.33939393939394)","(15.0, 160.0, 33.708333333333336)","(31.0, 410.0, 88.11764705882354)","(14.0, 38.0, 32.375)","(21.0, 240.0, 59.5)"
11-01-2023 15:52:26.785501,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 7.375757575757575)","(15.0, 46.0, 33.708333333333336)","(31.0, 230.0, 88.11764705882354)","(14.0, 38.0, 32.375)","(21.0, 95.0, 59.5)"
11-01-2023 15:52:27.824480,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.1)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 38.0, 32.375)","(21.0, 95.0, 51.30769230769231)"
11-01-2023 15:52:28.877719,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.1)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 38.0, 32.375)","(21.0, 95.0, 51.30769230769231)"
11-01-2023 15:52:29.925433,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.1)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 38.0, 32.5)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:30.922234,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.1)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 38.0, 35.5)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:31.953471,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.1)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 42.0, 35.5)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:33.032165,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.1)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 42.0, 35.5)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:34.059676,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.1)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 42.0, 35.5)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:35.056617,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 7.171428571428571)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 42.0, 35.5)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:36.166681,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 7.171428571428571)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 42.0, 25.333333333333336)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:37.313358,"(1.7, 1.8, 1.7013157894736841)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 7.171428571428571)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 44.0, 25.333333333333336)","(21.0, 95.0, 44.09090909090909)"
