,Tender Heights,June The Weapon,Country Roy,Cobbers Chance,Classy Moreira,Honest Frank
10-01-2023 11:57:52.717323,"(13.0, 29.0, 22.846153846153847)","(4.0, 8.6, 7.699999999999999)","(2.0, 2.78, 2.749565217391304)","(6.5, 10.0, 8.4)","(16.0, 38.0, 29.799999999999997)","(4.2, 6.6, 5.76)"
10-01-2023 11:57:53.718642,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.323076923076922)","(2.0, 2.92, 2.3018181818181818)","(6.5, 10.0, 8.4)","(16.0, 38.0, 29.799999999999997)","(4.2, 6.6, 5.76)"
10-01-2023 11:57:54.670797,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.114285714285714)","(2.0, 2.88, 2.24)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:57:55.654614,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.75)","(2.0, 2.86, 2.675)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:57:56.844144,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.222222222222221)","(2.0, 2.88, 2.7775)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:57:57.808378,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.845217391304348)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:57:58.745503,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.222222222222221)","(2.0, 2.88, 2.845217391304348)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:57:59.747922,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.845217391304348)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:00.690536,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.244444444444444)","(2.0, 2.88, 2.845217391304348)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:01.629409,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.725)","(2.0, 2.88, 2.845217391304348)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:02.586434,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.5)","(2.0, 2.88, 2.845217391304348)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:03.520739,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.62)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:04.442825,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:05.421050,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.725)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:06.675124,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:07.786589,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.824999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:08.767639,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.222222222222221)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.4)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:09.767218,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.222222222222221)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:10.618319,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:11.590555,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:12.524864,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:13.412710,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:14.348157,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:15.269109,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.222222222222221)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
