,Amen Brother,Bia Tinne,Burrandana,Open Sky,Take On Manhattan,The Big Shamrock,Toro Magic,Brave Image,County Kilkenny,Mo Chara,Sonny Fella
05-01-2023 12:54:20.553470,"(6.5, 7.6, 7.574193548387097)","(13.0, 20.0, 19.56875)","(3.8, 4.3, 4.005)","(7.0, 7.8, 7.733333333333333)","(21.0, 34.0, 30.96)","(51.0, 95.0, 92.5)","(71.0, 130.0, 107.27272727272727)","(4.4, 5.4, 5.277272727272727)","(7.5, 8.8, 8.84)","(18.0, 24.0, 22.785714285714285)","(19.0, 26.0, 24.896551724137932)"
05-01-2023 12:54:21.960540,"(6.5, 8.0, 7.88)","(13.0, 20.0, 18.9025974025974)","(3.8, 4.2, 3.961016949152542)","(7.0, 7.8, 7.750819672131147)","(21.0, 34.0, 31.5)","(51.0, 95.0, 92.6)","(71.0, 110.0, 107.5)","(4.4, 5.4, 5.21304347826087)","(7.5, 9.2, 9.05)","(18.0, 23.0, 22.75)","(19.0, 26.0, 25.0)"
05-01-2023 12:54:23.245385,"(7.0, 7.8, 7.7875)","(13.0, 19.0, 18.9025974025974)","(3.8, 4.1, 3.961016949152542)","(7.0, 7.8, 7.750819672131147)","(21.0, 32.0, 31.5)","(51.0, 95.0, 92.6)","(71.0, 110.0, 107.6923076923077)","(4.4, 5.3, 5.226612903225806)","(7.5, 9.2, 9.095238095238095)","(18.0, 23.0, 22.8)","(19.0, 26.0, 25.058823529411764)"
05-01-2023 12:54:24.429220,"(7.0, 7.8, 7.780952380952381)","(13.0, 19.0, 18.895061728395063)","(3.8, 4.1, 3.934883720930232)","(7.0, 7.8, 7.7558823529411764)","(21.0, 30.0, 29.9375)","(51.0, 95.0, 92.6923076923077)","(71.0, 110.0, 107.6923076923077)","(4.4, 5.3, 5.226612903225806)","(7.5, 9.4, 9.095238095238095)","(18.0, 23.0, 22.8)","(19.0, 26.0, 25.058823529411764)"
05-01-2023 12:54:25.610035,"(7.0, 7.8, 7.780952380952381)","(13.0, 19.0, 18.895061728395063)","(3.8, 4.1, 3.934883720930232)","(7.0, 7.8, 7.7558823529411764)","(21.0, 30.0, 29.9375)","(51.0, 95.0, 92.6923076923077)","(71.0, 110.0, 107.6923076923077)","(4.4, 5.3, 5.226612903225806)","(7.5, 9.4, 9.095238095238095)","(18.0, 23.0, 22.8)","(19.0, 26.0, 25.058823529411764)"
05-01-2023 12:54:27.061673,"(7.0, 7.8, 7.780952380952381)","(13.0, 19.0, 18.895061728395063)","(3.7, 4.1, 3.934883720930232)","(7.0, 7.8, 7.7558823529411764)","(21.0, 30.0, 29.9375)","(51.0, 95.0, 92.6923076923077)","(71.0, 110.0, 107.6923076923077)","(4.4, 5.3, 5.226612903225806)","(7.5, 9.4, 9.095238095238095)","(18.0, 23.0, 22.8)","(20.0, 26.0, 25.058823529411764)"
05-01-2023 12:54:28.362584,"(7.0, 7.8, 7.780952380952381)","(13.0, 19.0, 18.895061728395063)","(3.7, 4.1, 3.934883720930232)","(7.0, 7.8, 7.7558823529411764)","(21.0, 30.0, 29.9375)","(51.0, 95.0, 92.6923076923077)","(71.0, 110.0, 107.6923076923077)","(4.4, 5.3, 5.226612903225806)","(7.5, 9.4, 9.095238095238095)","(18.0, 23.0, 22.8)","(20.0, 26.0, 25.058823529411764)"
05-01-2023 12:54:29.756352,"(7.0, 7.8, 7.782857142857143)","(13.0, 19.0, 20.366666666666667)","(3.7, 4.1, 3.9044198895027624)","(7.0, 7.8, 7.818556701030928)","(26.0, 30.0, 31.4)","(51.0, 95.0, 96.36363636363636)","(71.0, 120.0, 107.93103448275862)","(4.4, 5.3, 5.275925925925926)","(7.5, 9.2, 9.215094339622642)","(18.0, 23.0, 22.866666666666667)","(20.0, 25.0, 23.375)"
05-01-2023 12:54:31.045733,"(7.0, 8.0, 7.915384615384616)","(13.0, 21.0, 20.727272727272727)","(3.7, 4.0, 3.91)","(7.0, 8.0, 7.832967032967033)","(26.0, 30.0, 29.444444444444443)","(51.0, 95.0, 93.54838709677419)","(71.0, 120.0, 107.93103448275862)","(4.6, 5.3, 5.275925925925926)","(7.5, 9.4, 9.215094339622642)","(18.0, 23.0, 22.866666666666667)","(20.0, 24.0, 23.26829268292683)"
05-01-2023 12:54:32.320393,"(7.0, 8.0, 7.915384615384616)","(13.0, 21.0, 20.695652173913043)","(3.7, 4.0, 3.9068181818181817)","(7.0, 8.0, 7.824338624338624)","(26.0, 30.0, 29.479166666666668)","(51.0, 95.0, 89.33333333333333)","(71.0, 120.0, 107.93103448275862)","(4.6, 5.3, 5.287857142857143)","(7.5, 9.0, 9.07741935483871)","(18.0, 23.0, 22.9)","(20.0, 24.0, 23.928571428571427)"
