,Sister Joann,Whale Of A Time,Eternal Heart,Cousin Winnie,Ellies Lil Castle,Jacks Sister Jill,Natural Sonde
16-12-2022 09:58:41.351127,"(21.0, 450.0, 341.75)","(4.2, 6.2, 5.171428571428572)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:42.328162,"(21.0, 450.0, 341.75)","(4.2, 6.2, 5.171428571428572)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:43.518781,"(21.0, 450.0, 341.75)","(4.2, 6.2, 5.171428571428572)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:44.659222,"(21.0, 450.0, 341.75)","(4.2, 6.2, 5.171428571428572)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:45.782008,"(21.0, 450.0, 341.75)","(4.2, 6.2, 5.171428571428572)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:46.879077,"(21.0, 450.0, 341.75)","(4.2, 6.2, 5.171428571428572)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:48.027127,"(21.0, 450.0, 341.75)","(4.2, 6.2, 5.171428571428572)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:49.052890,"(21.0, 450.0, 341.75)","(4.2, 6.6, 4.588571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:50.088080,"(21.0, 450.0, 341.75)","(4.2, 6.6, 4.588571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:51.069280,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:52.083905,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:53.145622,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
