,Late In The Game,Mark Did It,Yes Sir Robert,Strong Lil Kokoro,Shanghai Candy,Toe Tappin Luke,Burgee,Purple Shirt
08-01-2023 13:15:06.277222,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:07.436662,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:08.594736,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:09.784832,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:10.937781,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:12.013022,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:13.023008,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:14.091921,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:15.165647,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:16.296338,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:17.436953,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:18.506152,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:19.630396,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:20.744828,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:21.907455,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
