,Global Hero,Yeah Sweetie,Impassioned,La Brea,Wonder Jab,Hartley Bale,Buck Knife,Bank On Frankie
05-01-2023 13:09:03.218200,"(8.0, 17.0, 12.0)","(13.0, 30.0, 15.833333333333332)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:04.416772,"(8.0, 17.0, 12.0)","(13.0, 30.0, 15.833333333333332)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:05.579847,"(8.0, 17.0, 12.0)","(13.0, 30.0, 15.833333333333332)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:06.689123,"(8.0, 17.0, 12.0)","(13.0, 30.0, 15.833333333333332)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:07.713754,"(8.0, 17.0, 12.0)","(13.0, 30.0, 15.833333333333332)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:08.850345,"(8.0, 17.0, 12.0)","(13.0, 30.0, 15.833333333333332)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:10.013791,"(8.0, 17.0, 12.0)","(13.0, 30.0, 15.833333333333332)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:11.130279,"(8.0, 17.0, 12.0)","(13.0, 30.0, 15.833333333333332)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:12.296273,"(8.0, 17.0, 12.0)","(13.0, 30.0, 15.833333333333332)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:13.498903,"(8.0, 17.0, 12.0)","(13.0, 30.0, 16.57894736842105)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:14.673848,"(8.0, 17.0, 12.0)","(13.0, 30.0, 16.57894736842105)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 80.5)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:15.786971,"(8.0, 17.0, 12.0)","(13.0, 30.0, 16.57894736842105)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 101.71428571428571)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:16.776950,"(8.0, 17.0, 12.0)","(13.0, 30.0, 16.57894736842105)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 101.71428571428571)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:17.907851,"(8.0, 17.0, 12.0)","(13.0, 30.0, 16.57894736842105)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 101.71428571428571)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:19.122248,"(8.0, 17.0, 12.0)","(13.0, 30.0, 16.57894736842105)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 101.71428571428571)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
05-01-2023 13:09:20.229487,"(8.0, 17.0, 12.0)","(13.0, 30.0, 16.57894736842105)","(10.0, 25.0, 23.42857142857143)","(4.8, 8.6, 5.488888888888889)","(41.0, 220.0, 101.71428571428571)","(2.5, 3.85, 2.599090909090909)","(6.0, 11.0, 8.085714285714285)","(4.4, 6.8, 5.24)"
