,Winlock Lad,Uno Kai,Brutal Viking,Wet Socks,Spread Sheet,Anjo Cyclone,Jigsaw Joe
04-01-2023 15:27:18.155508,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.06, 1.9372222222222222)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:19.212017,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.06, 1.9372222222222222)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:20.322608,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.06, 1.9372222222222222)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:21.378980,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.06, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:22.435979,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:23.542455,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:24.584292,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:25.614777,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:26.715754,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:27.759086,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:28.791441,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:29.853449,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:30.814727,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:31.746926,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:32.720477,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:33.704064,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:34.646214,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:35.741858,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:36.759658,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:37.763591,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:38.770811,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:39.769811,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:40.783322,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:41.860142,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:42.868093,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:43.915261,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:44.921932,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:45.930505,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
04-01-2023 15:27:46.933575,"(4.4, 6.2, 5.775)","(8.5, 17.5, 17.136363636363637)","(51.0, 410.0, 173.33333333333331)","(20.0, 120.0, 51.42857142857143)","(1.95, 2.04, 1.934782608695652)","(8.5, 17.0, 16.4)","(3.8, 10.5, 9.68)"
