,Impetuous Lad,Lornas Law,Wallys Boy,Up The Amps,Lonely Tuna,Brians Buster,Burnt Jam,No Surprise
11-01-2023 13:14:17.088632,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:18.193046,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:19.512278,"(5.0, 8.8, 6.2)","(13.0, 40.0, 34.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:20.693679,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:21.730664,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:22.808399,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:23.968496,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:25.197021,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:26.366702,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:27.538215,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:28.725894,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:29.947806,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:31.044837,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:32.056007,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:33.111655,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:34.346972,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:35.567904,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:36.616382,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:37.634877,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:38.742789,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:39.866299,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:41.036772,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:42.284547,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.7)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:43.461498,"(5.0, 8.8, 6.2)","(13.0, 26.0, 28.944444444444443)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:44.720020,"(5.0, 8.8, 6.2)","(13.0, 42.0, 29.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:45.935365,"(5.0, 8.8, 6.2)","(13.0, 42.0, 29.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:47.166534,"(5.0, 8.8, 6.2)","(13.0, 42.0, 29.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
