,Manoeuver Man,Ideal Melody,Grinforawin,Bien Hoa Nz,Alimonie,Bettor Beontoit Nz,Midnight Sport,Captain Thunderbolt Nz
07-01-2023 20:11:06.998620,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:08.239793,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:09.389885,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:10.485551,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:11.504788,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:12.498553,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:13.530093,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:14.690293,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:15.898271,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:17.066233,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
