,Walk A Fine Line,Dyladdie,Excuses Excuses,West Virginia Pam,Jalebi Baby,Boca Birdie,My Juba,Fashion Icon,Miss Lauren,Magnificent Rocket
06-01-2023 11:54:16.360541,"(11.0, 21.0, 18.25)","(6.5, 9.0, 8.775)","(15.0, 22.0, 19.25)","(26.0, 40.0, 38.4)","(2.3, 2.74, 2.6566666666666667)","(31.0, 55.0, 42.5)","(3.8, 8.0, 6.8)","(31.0, 55.0, 42.333333333333336)","(5.5, 6.2, 5.947368421052632)","(41.0, 180.0, 114.0)"
06-01-2023 11:54:17.678872,"(11.0, 21.0, 18.25)","(6.5, 9.0, 8.775)","(15.0, 22.0, 19.25)","(26.0, 40.0, 38.4)","(2.3, 2.74, 2.6566666666666667)","(31.0, 55.0, 42.5)","(3.8, 8.0, 7.5)","(31.0, 55.0, 42.333333333333336)","(5.5, 6.2, 5.947368421052632)","(41.0, 180.0, 114.0)"
06-01-2023 11:54:19.012317,"(11.0, 21.0, 18.25)","(6.5, 9.0, 8.775)","(15.0, 22.0, 19.25)","(26.0, 40.0, 38.4)","(2.3, 2.74, 2.6566666666666667)","(31.0, 55.0, 42.5)","(3.8, 8.0, 7.5)","(31.0, 55.0, 42.333333333333336)","(5.5, 6.2, 5.947368421052632)","(41.0, 180.0, 114.0)"
06-01-2023 11:54:20.308502,"(11.0, 21.0, 18.25)","(6.5, 9.0, 8.775)","(15.0, 22.0, 19.25)","(26.0, 40.0, 38.4)","(2.3, 2.74, 2.6566666666666667)","(31.0, 55.0, 42.5)","(3.8, 8.0, 7.5)","(31.0, 55.0, 42.333333333333336)","(5.5, 6.2, 5.947368421052632)","(41.0, 180.0, 114.0)"
06-01-2023 11:54:21.706227,"(11.0, 21.0, 18.25)","(6.5, 9.0, 8.775)","(15.0, 22.0, 19.25)","(26.0, 40.0, 38.4)","(2.3, 2.74, 2.6566666666666667)","(31.0, 55.0, 42.5)","(3.8, 8.0, 7.428571428571429)","(31.0, 55.0, 42.333333333333336)","(5.5, 6.2, 5.947368421052632)","(41.0, 180.0, 114.0)"
06-01-2023 11:54:23.041942,"(11.0, 21.0, 18.25)","(6.5, 9.0, 8.775)","(15.0, 22.0, 19.25)","(26.0, 40.0, 38.4)","(2.3, 2.74, 2.6566666666666667)","(31.0, 55.0, 42.5)","(3.8, 8.0, 7.428571428571429)","(31.0, 55.0, 42.333333333333336)","(5.5, 6.2, 5.947368421052632)","(41.0, 180.0, 114.0)"
06-01-2023 11:54:24.428593,"(11.0, 21.0, 18.25)","(6.5, 9.0, 8.775)","(15.0, 22.0, 19.25)","(26.0, 40.0, 38.4)","(2.3, 2.74, 2.6566666666666667)","(31.0, 55.0, 42.5)","(3.8, 8.0, 7.428571428571429)","(31.0, 55.0, 42.333333333333336)","(5.5, 6.2, 5.947368421052632)","(41.0, 180.0, 114.0)"
06-01-2023 11:54:25.708183,"(11.0, 21.0, 18.833333333333332)","(6.5, 9.0, 8.775)","(15.0, 22.0, 18.666666666666668)","(26.0, 40.0, 38.4)","(2.3, 2.74, 2.6566666666666667)","(31.0, 55.0, 42.5)","(3.8, 8.0, 7.58)","(31.0, 55.0, 43.666666666666664)","(5.5, 6.2, 5.947368421052632)","(41.0, 180.0, 114.0)"
06-01-2023 11:54:26.969602,"(11.0, 21.0, 18.833333333333332)","(6.5, 9.0, 8.775)","(15.0, 22.0, 18.666666666666668)","(26.0, 40.0, 38.4)","(2.3, 2.74, 2.6566666666666667)","(31.0, 55.0, 42.5)","(3.8, 8.0, 7.58)","(31.0, 55.0, 43.666666666666664)","(5.5, 6.2, 5.947368421052632)","(41.0, 180.0, 114.0)"
06-01-2023 11:54:28.266244,"(11.0, 21.0, 18.833333333333332)","(6.5, 9.0, 8.775)","(15.0, 22.0, 19.0)","(26.0, 40.0, 38.4)","(2.3, 2.74, 2.6542857142857144)","(31.0, 55.0, 42.5)","(3.8, 8.0, 7.58)","(31.0, 55.0, 43.666666666666664)","(5.5, 6.2, 5.947368421052632)","(41.0, 180.0, 114.0)"
