,Gee Gee Secondover,Liffeybeau,Turk Warrior,Blaze Forth,Galenus,Le Cadeau,Music Addition,Julius,Street Tough,Emily
11-01-2023 14:12:22.421197,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:23.891375,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:25.297086,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:26.480572,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:27.780019,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:29.010731,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:30.297243,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:31.679725,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:32.891101,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:34.109237,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
