,Matatoki Nz,Bourbonontherocks,Yea You Nz,Everysecondcounts,Scruffy Doolan,Hello Jolene Jolene Nz
07-01-2023 20:50:26.699155,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:27.858914,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:29.057005,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:30.181322,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:31.378444,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:32.396016,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:33.464915,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:34.566305,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:35.751910,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:36.939221,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:38.086078,"(3.5, 99999, 99990)","(3.1, 4.1, 3.827272727272727)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:39.012649,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:39.985772,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:41.013590,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:42.102925,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:43.186148,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
