,Doctor Steve Nz,Rockin Rufus,Eton Rock,Captains Beachbabe,Miss Lamarr,Gold Horseshoe,Blockjorg,Simply Shaz Nz,Mista Editorial Nz,The Verandah
11-01-2023 18:15:02.212263,"(5.5, 99999, 99990)","(15.0, 24.0, 20.0)","(1.45, 1.69, 1.688235294117647)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 105.0)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:03.734743,"(5.5, 99999, 99990)","(15.0, 24.0, 20.0)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 105.0)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:05.268692,"(5.5, 99999, 99990)","(15.0, 24.0, 20.0)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 105.0)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:06.768653,"(5.5, 99999, 99990)","(15.0, 24.0, 20.0)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 105.0)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:08.275323,"(5.5, 99999, 99990)","(15.0, 24.0, 20.0)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 105.0)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:09.817851,"(5.5, 99999, 99990)","(15.0, 24.0, 20.0)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:11.370013,"(5.5, 99999, 99990)","(15.0, 24.0, 20.0)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:13.135331,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:14.973799,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:16.673567,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:18.458873,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:20.098138,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:21.790377,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:23.476752,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:25.080544,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:26.706487,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:28.176555,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:29.691382,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:31.283233,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.688170731707317)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 144.28571428571428)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:32.815916,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:34.282971,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:35.911199,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 19.0)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:37.719389,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:39.728743,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
