,Rapid Combustion,Hally Mulwee,Tiny Sparkle,Thanks For That,Bad Boy Smooth,Torpedo Rose,Fun Day Friday,Roy Rip
11-01-2023 09:11:34.420393,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.4429999999999996)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.2288888888888887)"
11-01-2023 09:11:35.661261,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.4429999999999996)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.2288888888888887)"
11-01-2023 09:11:36.904376,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.2288888888888887)"
11-01-2023 09:11:38.290329,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:39.578433,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:40.888251,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:42.351448,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:43.758496,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:45.054606,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:46.286106,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
