,Hey Mister Taylor,Mister Reactor,Alwaysbme,Just Joshin,Bangkok Deejay,Delightful Reason,Misty Creek,Little Bolt,Goelitz,Captains Pick
07-01-2023 18:42:41.384980,"(4.6, 5.9, 6.333333333333334)","(12.0, 14.5, 15.833333333333334)","(3.7, 4.9, 4.574774774774775)","(12.0, 16.0, 19.0)","(7.0, 9.8, 10.682170542635658)","(21.0, 28.0, 26.06451612903226)","(11.0, 13.5, 12.166666666666666)","(8.0, 9.4, 10.1)","(8.0, 7.6, 7.1069767441860465)","(51.0, 75.0, 62.5)"
07-01-2023 18:42:42.744125,"(4.6, 6.4, 6.333333333333334)","(12.0, 18.5, 15.833333333333334)","(3.8, 4.6, 4.574774774774775)","(12.0, 22.0, 17.545454545454547)","(7.0, 11.0, 11.02)","(21.0, 30.0, 28.666666666666668)","(11.0, 14.0, 11.9)","(8.0, 11.0, 8.879999999999999)","(8.0, 7.6, 7.1)","(51.0, 75.0, 84.0)"
07-01-2023 18:42:44.176026,"(4.6, 9.8, 5.440740740740741)","(12.0, 19.5, 15.0)","(3.8, 5.9, 4.8500000000000005)","(12.0, 24.0, 17.545454545454547)","(7.0, 19.0, 11.02)","(21.0, 42.0, 28.666666666666668)","(11.0, 14.0, 11.9)","(8.0, 12.0, 8.879999999999999)","(8.0, 8.6, 7.1)","(51.0, 130.0, 84.0)"
07-01-2023 18:42:45.441780,"(4.6, 5.7, 5.440740740740741)","(12.0, 19.5, 15.0)","(3.8, 5.9, 3.206382978723404)","(12.0, 24.0, 21.114285714285714)","(7.0, 19.0, 14.0125)","(21.0, 42.0, 28.666666666666668)","(11.0, 14.0, 11.9)","(8.0, 12.0, 8.879999999999999)","(8.0, 8.6, 7.727272727272727)","(51.0, 130.0, 64.0)"
07-01-2023 18:42:46.861919,"(4.6, 5.7, 5.540909090909091)","(12.0, 19.5, 15.0)","(3.8, 4.1, 3.1666666666666665)","(12.0, 23.0, 18.666666666666664)","(7.0, 19.0, 13.900000000000002)","(21.0, 42.0, 31.0)","(11.0, 14.0, 11.9)","(8.0, 12.0, 7.093333333333333)","(8.0, 8.6, 7.727272727272727)","(51.0, 90.0, 64.0)"
07-01-2023 18:42:48.207764,"(4.6, 9.6, 7.88)","(12.0, 19.5, 15.0)","(3.8, 5.0, 3.2260273972602738)","(12.0, 23.0, 18.666666666666664)","(7.0, 18.0, 13.900000000000002)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 9.0, 8.879999999999999)","(8.0, 8.6, 7.727272727272727)","(51.0, 90.0, 64.0)"
07-01-2023 18:42:49.598101,"(4.6, 9.6, 7.88)","(12.0, 19.5, 19.47692307692308)","(3.8, 3.9, 3.7125000000000004)","(12.0, 23.0, 18.666666666666664)","(7.0, 18.0, 13.900000000000002)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 12.0, 8.879999999999999)","(8.0, 8.6, 8.372972972972972)","(51.0, 90.0, 64.0)"
07-01-2023 18:42:50.828987,"(4.6, 9.8, 9.576470588235296)","(12.0, 19.5, 19.47692307692308)","(3.8, 3.95, 3.7125000000000004)","(12.0, 23.0, 18.666666666666664)","(7.0, 18.0, 14.925)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 12.0, 8.879999999999999)","(8.0, 8.6, 7.564705882352941)","(51.0, 90.0, 64.0)"
07-01-2023 18:42:52.004368,"(4.6, 9.8, 9.454545454545455)","(12.0, 19.5, 19.47692307692308)","(3.8, 3.85, 3.2125)","(12.0, 23.0, 18.666666666666664)","(7.0, 18.0, 14.925)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 12.0, 8.879999999999999)","(8.0, 7.6, 7.564705882352941)","(51.0, 90.0, 64.0)"
07-01-2023 18:42:53.304554,"(4.6, 9.8, 9.454545454545455)","(12.0, 19.5, 19.47692307692308)","(3.8, 3.85, 3.146875)","(12.0, 23.0, 18.666666666666664)","(7.0, 18.0, 14.925)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 12.0, 8.879999999999999)","(8.0, 7.6, 7.888888888888889)","(51.0, 90.0, 79.6)"
