,Whistling,Hes Got Swag,Kintsugi,Speedy Riot,Pipeline Icon,Eadie,Bok Choy,Slippery Shark
06-01-2023 14:06:02.706915,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 29.272727272727273)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:03.880792,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 29.272727272727273)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:05.102608,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 29.272727272727273)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:06.303438,"(3.7, 5.5, 4.058695652173913)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 29.272727272727273)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:07.380704,"(3.7, 5.5, 4.058695652173913)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 28.727272727272727)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:08.559129,"(3.7, 5.8, 4.588461538461538)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 28.727272727272727)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:09.781012,"(3.7, 5.8, 4.588461538461538)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:11.049546,"(3.7, 5.8, 4.588461538461538)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:12.370829,"(3.7, 5.8, 4.588461538461538)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:13.624396,"(3.7, 5.8, 4.588461538461538)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:14.851362,"(3.7, 5.8, 4.588461538461538)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:15.983527,"(3.7, 5.8, 4.588461538461538)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:17.145177,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:18.354715,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:19.538780,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:20.701308,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:21.910183,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:23.077414,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:24.273308,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:25.664575,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:27.168348,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:28.586306,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:30.109958,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:31.539402,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:32.916321,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:34.284822,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:35.573709,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:36.851237,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:38.205640,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 29.272727272727273)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:39.561511,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 29.272727272727273)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:40.808718,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 29.272727272727273)","(8.0, 13.5, 9.872727272727273)"
