,Smokin Rico,Madalia Tipper,Dr Chieftain,Play The Victim,Work Boot,Nannas Blue Boy
10-01-2023 17:20:17.753211,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7658064516129035)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:18.680716,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7658064516129035)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:19.710701,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:20.722106,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.935294117647059)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:21.727199,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.935294117647059)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:22.656150,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.935294117647059)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:23.637063,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:24.660952,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:25.660878,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.935294117647059)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:26.583313,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.935294117647059)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:27.476727,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.935294117647059)","(15.0, 32.0, 30.2)"
