,Mr Wallace,All Inn Maggie,Flatty Hunter,Crackerjack Pa,Notorious Billy,Maximum Ang,Aston Daisy,Saint Prue
07-01-2023 19:23:39.729828,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.8000000000000003)","(10.0, 20.0, 9.866666666666667)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:40.785481,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.8000000000000003)","(10.0, 20.0, 9.866666666666667)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:41.910231,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.8000000000000003)","(10.0, 20.0, 9.866666666666667)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:43.148043,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.8000000000000003)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:44.414436,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.8000000000000003)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:45.602383,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.8000000000000003)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:46.757011,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.8000000000000003)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:47.769625,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.8000000000000003)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:48.827074,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.8000000000000003)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:49.990791,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 3.76)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:51.138947,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:52.309793,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:53.421536,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:54.600410,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:55.742637,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:56.866515,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:57.950778,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:23:58.974947,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
