,Miss Verity,Redemption Day,Kiah Beach,Fulton,Alert,Balts Orson
10-01-2023 20:53:09.182336,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:10.350907,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:11.591253,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:12.714977,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:13.903926,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:15.150526,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:16.334711,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:17.474893,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:18.586933,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:19.586891,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
