,Essential Three,Champagne Reactor,Whata Reactor,Subtle Advice,Chasin Dreamz,Non Passare,Jaydes Terror,Soulwriter
05-01-2023 13:47:36.345806,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 51.42857142857143)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.1)","(3.8, 5.1, 5.054545454545455)"
05-01-2023 13:47:37.628704,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 51.42857142857143)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 5.9714285714285715)","(3.8, 5.1, 5.4)"
05-01-2023 13:47:38.877879,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 51.42857142857143)","(3.1, 3.65, 3.314)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.9, 4.916666666666667)"
05-01-2023 13:47:40.202175,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 51.42857142857143)","(3.1, 3.65, 3.314)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.0, 4.916666666666667)"
05-01-2023 13:47:41.499549,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 51.42857142857143)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.057142857142857)","(3.8, 5.0, 4.732258064516129)"
05-01-2023 13:47:42.752998,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 51.42857142857143)","(3.1, 3.65, 3.3)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.05)","(3.8, 5.2, 4.75)"
05-01-2023 13:47:44.015385,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.75)","(31.0, 60.0, 51.42857142857143)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.057142857142857)","(3.8, 4.9, 5.103333333333333)"
05-01-2023 13:47:45.322271,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 51.42857142857143)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 5.9714285714285715)","(3.8, 5.2, 5.366666666666666)"
05-01-2023 13:47:46.627543,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.1)","(3.8, 5.9, 4.966666666666667)"
05-01-2023 13:47:47.863872,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.1)","(3.8, 5.1, 4.8652173913043475)"
05-01-2023 13:47:49.128761,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.1)","(3.8, 5.1, 4.9875)"
05-01-2023 13:47:50.350613,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 5.95)","(3.8, 5.1, 4.9875)"
05-01-2023 13:47:51.598343,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 5.95)","(3.8, 5.1, 4.9875)"
05-01-2023 13:47:52.902497,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 5.9714285714285715)","(3.8, 5.1, 5.585714285714286)"
05-01-2023 13:47:54.134264,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.057142857142857)","(3.8, 5.9, 4.905263157894737)"
05-01-2023 13:47:55.298478,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.057142857142857)","(3.8, 5.2, 4.905263157894737)"
05-01-2023 13:47:56.593761,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.1)","(3.8, 5.2, 4.878947368421052)"
05-01-2023 13:47:57.839473,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.1)","(3.8, 5.1, 4.996296296296296)"
05-01-2023 13:47:59.139944,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.1)","(3.8, 5.1, 4.996296296296296)"
05-01-2023 13:48:00.303214,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 5.9714285714285715)","(3.8, 5.1, 5.585714285714286)"
05-01-2023 13:48:01.514547,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.183333333333333)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 5.9714285714285715)","(3.8, 5.9, 5.585714285714286)"
05-01-2023 13:48:02.739537,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.55)","(7.5, 10.5, 9.959999999999999)","(4.4, 7.0, 6.828571428571428)","(3.8, 5.9, 5.006666666666667)"
05-01-2023 13:48:03.969612,"(91.0, 190.0, 161.42857142857144)","(10.0, 13.0, 11.928571428571429)","(4.6, 5.4, 5.209090909090909)","(31.0, 60.0, 41.333333333333336)","(3.1, 3.65, 3.55)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.1, 4.843478260869565)"
05-01-2023 13:48:05.133573,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.0, 4.843478260869565)"
05-01-2023 13:48:06.274273,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.0, 4.826315789473684)"
05-01-2023 13:48:07.310664,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.5, 10.210714285714285)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:08.430972,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.5, 9.0)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:09.625490,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.5, 9.0)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:10.722946,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.5, 9.0)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:11.986140,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.5, 9.12)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:13.133453,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.5, 9.12)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:14.383688,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.5, 9.12)","(4.4, 7.0, 6.142857142857142)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:15.496693,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 6.1499999999999995)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.5, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
