,Writeaboutchelsea,Manoflisa,Feel The Thrill,Risky Buziness,Man Of Action Nz,Mister Woodport,Isntthatright,Whata Challenge,Handsome Harry Nz,Downtown Lucca
16-12-2022 13:26:55.600433,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:26:56.861892,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:26:58.421792,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:26:59.692162,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:00.904364,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:02.235907,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:03.651274,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:05.182226,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:06.414404,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:07.621314,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
