,Alicah,So Sudden,Long Shadow,Ruff Shot,Blackpool Ryan,Xylan Bale
07-12-2022 13:22:36.451974,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.125)","(3.5, 4.8, 4.45)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:37.485457,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.125)","(3.5, 4.7, 4.45)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:38.688658,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.125)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:39.746365,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.25)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:40.709432,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.25)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:41.740128,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.375)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:42.978215,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.375)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:44.092442,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 44.611111111111114)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:45.057390,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:46.181243,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 41.9)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:47.164974,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 41.9)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:48.280216,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:49.383739,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:50.481120,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:51.531082,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:52.695929,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:53.732422,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:54.685134,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:55.650794,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:56.546066,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:57.573153,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:58.611235,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:22:59.679127,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:00.747120,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:01.767385,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:02.919118,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:03.919995,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:05.079841,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:06.219789,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:07.316874,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:08.433787,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:09.474957,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:10.490589,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:11.531721,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:12.473151,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:13.408621,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:14.433883,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:15.535232,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:16.513794,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:17.510929,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
