,Why Tell Tina,Zipper Sky,Pennies Forever,Could Have Been,Seriously Lush,Got A Repair
10-01-2023 12:25:45.570653,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:46.668297,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:47.767956,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:48.787571,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:49.954007,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:51.213453,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:52.402001,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:53.479223,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:54.633738,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:55.793200,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:56.937452,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:58.137686,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:25:59.230266,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:00.306424,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:01.419852,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:02.541008,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:03.573378,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:04.572958,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:05.647172,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:06.728393,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:07.817031,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:08.889994,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
