,Spin King,Getaway Sticks,Whizz Kid,My Nans Epic,Rogue Runner,Soul Survivor,Provisional Ball,Wedge Run
07-01-2023 20:46:14.902609,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 18.872727272727275)"
07-01-2023 20:46:16.223236,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 18.872727272727275)"
07-01-2023 20:46:17.705781,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:19.151816,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:20.725634,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:22.427396,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:24.251331,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:25.920725,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:27.454125,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:28.677864,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:29.877639,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:31.141329,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:32.432100,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:33.729788,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:35.180968,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:36.556951,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:37.885079,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:39.285477,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:40.649188,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:42.028929,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:43.247699,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:44.399614,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:45.646731,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:46.874814,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:48.174716,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 19.700000000000003)"
07-01-2023 20:46:49.467826,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 30.0, 24.485714285714288)"
07-01-2023 20:46:50.719122,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 27.0, 24.485714285714288)"
07-01-2023 20:46:52.049615,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 27.0, 24.485714285714288)"
07-01-2023 20:46:53.399737,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 27.0, 24.485714285714288)"
07-01-2023 20:46:54.672640,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 27.0, 24.485714285714288)"
07-01-2023 20:46:55.952553,"(6.0, 9.8, 7.7)","(6.5, 12.5, 10.333333333333332)","(3.1, 5.3, 4.275)","(9.0, 15.5, 11.0)","(31.0, 280.0, 133.53846153846155)","(2.35, 2.94, 2.492)","(31.0, 280.0, 133.53846153846155)","(9.0, 27.0, 24.485714285714288)"
