,Starter,Sir Piccolo,Abb Roy,Forche,Blavatsky,Anthropica,Mount Padrao,Chica Bonita,Zayde,Sizzling Babe
05-01-2023 16:17:22.121818,"(4.6, 5.1, 5.091304347826087)","(5.5, 5.8, 5.73695652173913)","(9.0, 11.0, 10.753501400560225)","(2.9, 3.25, 3.2381818181818183)","(10.0, 14.0, 13.916666666666666)","(8.5, 12.5, 12.246575342465754)","(16.0, 23.0, 22.897435897435898)","(41.0, 85.0, 78.75)","(61.0, 120.0, 107.0)","(41.0, 75.0, 73.0952380952381)"
05-01-2023 16:17:23.590572,"(4.6, 5.2, 5.085082872928177)","(5.5, 5.8, 5.727397260273973)","(9.0, 11.0, 10.753501400560225)","(2.9, 3.25, 3.262337662337662)","(10.0, 14.0, 13.916666666666666)","(8.5, 13.0, 12.356687898089172)","(16.0, 23.0, 22.74468085106383)","(41.0, 80.0, 76.5625)","(61.0, 110.0, 107.0)","(41.0, 75.0, 73.0952380952381)"
05-01-2023 16:17:24.846092,"(4.6, 5.1, 5.085082872928177)","(5.5, 5.8, 5.727397260273973)","(9.0, 11.0, 10.753501400560225)","(2.9, 3.3, 3.258273381294964)","(10.0, 14.0, 13.909090909090908)","(8.5, 13.0, 12.360759493670885)","(16.0, 23.0, 22.74468085106383)","(41.0, 85.0, 77.05882352941177)","(61.0, 110.0, 107.0)","(41.0, 75.0, 72.82608695652173)"
05-01-2023 16:17:26.034927,"(4.6, 5.1, 5.085082872928177)","(5.5, 5.8, 5.727397260273973)","(9.0, 11.0, 10.753501400560225)","(2.9, 3.3, 3.258273381294964)","(10.0, 14.0, 13.909090909090908)","(8.5, 13.0, 12.360759493670885)","(16.0, 23.0, 22.74468085106383)","(41.0, 85.0, 77.05882352941177)","(61.0, 110.0, 107.0)","(41.0, 75.0, 72.82608695652173)"
05-01-2023 16:17:27.173995,"(4.6, 5.1, 5.08953488372093)","(5.5, 5.8, 5.73448275862069)","(9.0, 11.0, 10.746397694524497)","(2.9, 3.3, 3.2580985915492957)","(10.0, 14.0, 13.909090909090908)","(8.5, 13.0, 12.37012987012987)","(16.0, 23.0, 22.714285714285715)","(41.0, 85.0, 77.05882352941177)","(61.0, 110.0, 105.83333333333333)","(41.0, 75.0, 73.0)"
05-01-2023 16:17:28.398725,"(4.6, 5.1, 5.095061728395061)","(5.5, 5.8, 5.741237113402062)","(9.0, 11.0, 10.746397694524497)","(2.9, 3.3, 3.214976958525346)","(10.0, 14.0, 13.916666666666666)","(8.5, 13.0, 12.576923076923077)","(16.0, 23.0, 22.714285714285715)","(41.0, 85.0, 77.05882352941177)","(61.0, 110.0, 105.83333333333333)","(41.0, 75.0, 73.0)"
05-01-2023 16:17:29.566445,"(4.6, 5.2, 5.114893617021276)","(5.5, 5.8, 5.754032258064516)","(9.0, 11.0, 10.746397694524497)","(2.9, 3.25, 3.214976958525346)","(10.0, 14.0, 13.916666666666666)","(8.5, 13.0, 12.576923076923077)","(16.0, 23.0, 22.714285714285715)","(41.0, 85.0, 78.57142857142857)","(61.0, 110.0, 105.83333333333333)","(41.0, 75.0, 72.85714285714286)"
05-01-2023 16:17:30.776147,"(4.4, 5.1, 5.082485875706214)","(5.0, 5.8, 5.754032258064516)","(9.0, 11.0, 10.746397694524497)","(2.8, 3.25, 3.2171052631578947)","(11.0, 14.0, 13.916666666666666)","(8.5, 13.0, 12.493421052631579)","(17.0, 23.0, 22.714285714285715)","(41.0, 85.0, 78.57142857142857)","(71.0, 110.0, 105.83333333333333)","(51.0, 80.0, 72.85714285714286)"
05-01-2023 16:17:31.995217,"(4.4, 5.1, 5.082485875706214)","(5.0, 5.8, 5.754032258064516)","(9.0, 11.0, 10.746397694524497)","(2.8, 3.25, 3.2171052631578947)","(11.0, 14.0, 13.916666666666666)","(8.5, 13.0, 12.493421052631579)","(17.0, 23.0, 22.714285714285715)","(41.0, 85.0, 78.57142857142857)","(71.0, 110.0, 105.83333333333333)","(51.0, 80.0, 73.07692307692308)"
05-01-2023 16:17:33.182826,"(4.4, 5.1, 5.082485875706214)","(5.0, 5.8, 5.754032258064516)","(9.0, 11.0, 10.983050847457626)","(2.8, 3.25, 3.2196969696969697)","(11.0, 14.0, 13.916666666666666)","(8.5, 13.0, 12.493421052631579)","(17.0, 24.0, 22.65934065934066)","(41.0, 85.0, 78.57142857142857)","(71.0, 110.0, 105.83333333333333)","(51.0, 80.0, 73.07692307692308)"
05-01-2023 16:17:34.397081,"(4.4, 5.1, 5.082485875706214)","(5.0, 5.8, 5.754032258064516)","(9.0, 11.0, 10.983050847457626)","(2.8, 3.25, 3.216581632653061)","(11.0, 14.0, 13.918032786885245)","(8.5, 13.0, 12.493421052631579)","(17.0, 24.0, 22.65934065934066)","(41.0, 85.0, 78.57142857142857)","(71.0, 110.0, 105.83333333333333)","(51.0, 80.0, 73.07692307692308)"
05-01-2023 16:17:35.706453,"(4.4, 5.1, 5.0739495798319325)","(5.0, 5.8, 5.754032258064516)","(9.0, 11.0, 10.983050847457626)","(2.8, 3.25, 3.216581632653061)","(11.0, 14.0, 13.988372093023255)","(8.5, 13.0, 12.63953488372093)","(17.0, 24.0, 23.075757575757574)","(41.0, 85.0, 80.5)","(71.0, 110.0, 96.25)","(51.0, 80.0, 75.5)"
05-01-2023 16:17:37.034889,"(4.4, 5.1, 5.039705882352941)","(5.0, 5.8, 5.742657342657343)","(9.0, 11.5, 11.151851851851852)","(2.8, 3.25, 3.217953667953668)","(11.0, 14.0, 13.988372093023255)","(9.0, 13.0, 12.63953488372093)","(17.0, 24.0, 23.454545454545453)","(41.0, 85.0, 80.625)","(71.0, 110.0, 96.25)","(51.0, 80.0, 76.53846153846153)"
05-01-2023 16:17:38.271905,"(4.4, 5.1, 5.039705882352941)","(5.0, 5.8, 5.736923076923077)","(9.0, 11.5, 11.151851851851852)","(2.8, 3.25, 3.217953667953668)","(11.0, 14.0, 13.98936170212766)","(9.0, 13.0, 12.63953488372093)","(17.0, 24.0, 23.454545454545453)","(41.0, 85.0, 80.625)","(71.0, 100.0, 96.25)","(51.0, 80.0, 73.75)"
05-01-2023 16:17:39.431821,"(4.4, 5.1, 5.039705882352941)","(5.0, 5.8, 5.7023809523809526)","(9.0, 11.5, 11.151851851851852)","(2.8, 3.25, 3.216023166023166)","(11.0, 14.0, 14.134920634920634)","(9.0, 13.0, 12.206666666666667)","(17.0, 24.0, 23.454545454545453)","(41.0, 85.0, 82.66666666666667)","(71.0, 100.0, 97.5)","(51.0, 75.0, 73.75)"
05-01-2023 16:17:40.592173,"(4.4, 5.1, 5.0548245614035086)","(5.0, 5.8, 5.728695652173913)","(9.0, 11.5, 11.162698412698413)","(2.8, 3.25, 3.2153543307086614)","(11.0, 14.5, 14.134920634920634)","(9.0, 12.5, 12.206666666666667)","(17.0, 24.0, 23.454545454545453)","(41.0, 85.0, 82.66666666666667)","(71.0, 110.0, 97.5)","(51.0, 75.0, 73.75)"
05-01-2023 16:17:41.730838,"(4.4, 5.1, 5.0528634361233475)","(5.0, 5.8, 5.734615384615385)","(9.0, 11.5, 11.25)","(2.8, 3.25, 3.2170305676855895)","(11.0, 14.5, 14.009803921568627)","(9.0, 12.5, 12.213333333333333)","(17.0, 24.0, 23.454545454545453)","(41.0, 85.0, 84.0)","(71.0, 100.0, 97.5)","(51.0, 80.0, 75.86206896551724)"
05-01-2023 16:17:42.912752,"(4.4, 5.1, 5.0528634361233475)","(5.0, 5.8, 5.734615384615385)","(9.0, 11.5, 11.36774193548387)","(2.8, 3.25, 3.2191256830601094)","(11.0, 14.5, 13.88)","(9.0, 12.5, 12.090909090909092)","(17.0, 24.0, 23.58823529411765)","(41.0, 85.0, 84.54545454545455)","(71.0, 100.0, 97.14285714285714)","(51.0, 75.0, 71.92307692307692)"
05-01-2023 16:17:44.134855,"(4.4, 5.1, 5.0528634361233475)","(4.8, 5.7, 5.6797872340425535)","(9.0, 11.5, 11.416058394160585)","(2.8, 3.25, 3.2191256830601094)","(11.0, 14.0, 13.88)","(10.0, 12.5, 12.090909090909092)","(18.0, 24.0, 23.58823529411765)","(41.0, 90.0, 84.54545454545455)","(71.0, 100.0, 97.5)","(51.0, 75.0, 72.82608695652173)"
05-01-2023 16:17:45.460834,"(4.4, 5.1, 5.05158371040724)","(4.8, 5.8, 5.696774193548387)","(9.0, 11.5, 11.276223776223777)","(2.8, 3.25, 3.2266528925619835)","(11.0, 14.0, 13.88)","(10.0, 12.5, 12.090909090909092)","(18.0, 24.0, 23.58823529411765)","(41.0, 90.0, 84.54545454545455)","(71.0, 100.0, 97.5)","(51.0, 75.0, 72.82608695652173)"
05-01-2023 16:17:46.650262,"(4.4, 5.1, 5.058163265306122)","(4.8, 5.8, 5.696774193548387)","(9.0, 11.5, 11.276223776223777)","(2.8, 3.25, 3.2405864197530865)","(11.0, 14.0, 13.88)","(10.0, 12.5, 12.090909090909092)","(18.0, 24.0, 23.58823529411765)","(41.0, 90.0, 84.54545454545455)","(71.0, 100.0, 97.5)","(51.0, 75.0, 68.0)"
05-01-2023 16:17:47.845629,"(4.4, 5.1, 5.045402298850575)","(5.0, 5.7, 5.6842696629213485)","(9.0, 11.5, 11.335897435897436)","(2.7, 3.25, 3.246099290780142)","(11.0, 14.0, 13.914285714285715)","(9.0, 12.5, 12.393617021276595)","(18.0, 24.0, 23.5)","(51.0, 90.0, 84.54545454545455)","(71.0, 100.0, 97.5)","(51.0, 75.0, 66.47058823529412)"
05-01-2023 16:17:49.015990,"(4.4, 5.1, 5.056766917293233)","(5.0, 5.7, 5.6685185185185185)","(9.0, 11.5, 11.334183673469388)","(2.7, 3.25, 3.2578947368421054)","(11.0, 14.0, 13.136363636363637)","(9.0, 12.5, 12.4)","(18.0, 24.0, 23.541666666666668)","(51.0, 90.0, 84.76190476190476)","(71.0, 100.0, 98.0)","(51.0, 70.0, 62.32142857142857)"
05-01-2023 16:17:50.237828,"(4.4, 5.1, 5.060887096774193)","(4.8, 5.7, 5.667272727272727)","(9.0, 11.5, 11.340686274509803)","(2.7, 3.3, 3.2578947368421054)","(11.0, 13.5, 13.136363636363637)","(9.0, 12.5, 12.4)","(18.0, 24.0, 23.488372093023255)","(51.0, 90.0, 83.125)","(71.0, 100.0, 98.0)","(51.0, 65.0, 60.68181818181818)"
05-01-2023 16:17:51.374092,"(4.4, 5.1, 5.061382113821138)","(4.8, 5.8, 5.6499999999999995)","(9.0, 11.5, 11.340686274509803)","(2.7, 3.3, 3.261678832116788)","(11.0, 13.5, 13.136363636363637)","(9.0, 12.5, 12.422535211267606)","(18.0, 24.0, 23.488372093023255)","(51.0, 90.0, 83.125)","(71.0, 100.0, 98.0)","(51.0, 65.0, 60.68181818181818)"
05-01-2023 16:17:52.522545,"(4.4, 5.1, 5.068325791855203)","(4.8, 5.8, 5.670930232558139)","(9.0, 11.5, 11.404069767441861)","(2.7, 3.25, 3.2422348484848484)","(11.0, 13.5, 13.136363636363637)","(9.0, 12.5, 12.422535211267606)","(18.0, 24.0, 23.488372093023255)","(51.0, 90.0, 83.125)","(71.0, 100.0, 98.0)","(51.0, 65.0, 59.8936170212766)"
05-01-2023 16:17:53.708754,"(4.4, 5.1, 5.068325791855203)","(4.8, 5.8, 5.670930232558139)","(9.0, 11.5, 11.404069767441861)","(2.7, 3.25, 3.2422348484848484)","(11.0, 13.5, 13.136363636363637)","(9.0, 12.5, 12.422535211267606)","(18.0, 24.0, 23.488372093023255)","(51.0, 90.0, 83.125)","(71.0, 100.0, 98.0)","(51.0, 65.0, 59.8936170212766)"
05-01-2023 16:17:55.005099,"(4.4, 5.1, 5.068325791855203)","(4.8, 5.8, 5.6499999999999995)","(10.0, 11.5, 11.404069767441861)","(2.8, 3.25, 3.24)","(11.0, 13.5, 13.125)","(9.0, 12.5, 12.405405405405405)","(18.0, 24.0, 23.488372093023255)","(51.0, 90.0, 83.125)","(71.0, 100.0, 98.0)","(51.0, 65.0, 60.416666666666664)"
05-01-2023 16:17:56.282233,"(4.4, 5.1, 5.056680161943319)","(4.8, 5.7, 5.620253164556962)","(10.0, 11.5, 11.496478873239436)","(2.8, 3.3, 3.25625)","(11.0, 13.5, 13.421052631578947)","(9.0, 12.5, 12.303030303030303)","(18.0, 24.0, 23.564102564102566)","(51.0, 85.0, 83.84615384615384)","(71.0, 100.0, 96.66666666666667)","(51.0, 65.0, 60.476190476190474)"
05-01-2023 16:17:57.521749,"(4.4, 5.1, 5.056680161943319)","(4.8, 5.7, 5.620253164556962)","(10.0, 11.5, 11.496478873239436)","(2.8, 3.3, 3.25625)","(11.0, 13.5, 13.421052631578947)","(9.0, 12.5, 12.303030303030303)","(18.0, 24.0, 23.564102564102566)","(51.0, 85.0, 83.84615384615384)","(71.0, 100.0, 95.83333333333333)","(51.0, 65.0, 58.87096774193549)"
05-01-2023 16:17:58.756936,"(4.4, 5.1, 5.0685714285714285)","(4.8, 5.7, 5.620253164556962)","(10.0, 11.5, 11.496478873239436)","(2.8, 3.3, 3.2535398230088495)","(11.0, 13.5, 13.258064516129032)","(9.0, 12.5, 12.358823529411765)","(18.0, 24.0, 23.647058823529413)","(51.0, 85.0, 84.54545454545455)","(71.0, 100.0, 95.83333333333333)","(51.0, 65.0, 59.21052631578947)"
05-01-2023 16:17:59.963031,"(4.4, 5.2, 5.1150753768844215)","(4.8, 5.6, 5.532142857142857)","(10.0, 12.0, 11.578125)","(2.8, 3.3, 3.2963999999999998)","(11.0, 13.5, 13.265625)","(10.0, 12.5, 12.35)","(18.0, 24.0, 23.586206896551722)","(51.0, 85.0, 84.54545454545455)","(71.0, 100.0, 96.66666666666667)","(51.0, 65.0, 59.21052631578947)"
