,Als Holiday,Road To Glebe,Edna Krabappel,Blue Zeal,Maxs Magic,Yore Chevy,Hidden Mask,Oscar Octopus
12-01-2023 14:27:56.615219,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 13.733333333333334)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 530.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:27:57.731047,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 13.733333333333334)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:27:58.961335,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 13.733333333333334)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:00.239631,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 13.733333333333334)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:01.488892,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 13.733333333333334)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:02.656532,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 14.492307692307694)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:03.819134,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 14.492307692307694)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:05.167966,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 14.492307692307694)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:06.466843,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:07.641924,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
