,Aussie Annie,Magnetic Man,Superior Darcy,Shes Miss Orson,Maddie Odd Sock,Honey Double One,My Girl Whizbang,Smooth Cruiser
08-12-2022 15:01:55.276873,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:01:56.353974,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:01:57.578319,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:01:58.639198,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:01:59.743732,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:00.918823,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:02.089809,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:03.264624,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:04.389633,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:05.496729,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
