,Bee Gees Best,Campbell Best,Living Free,Our Dolly,Schooby,Fly Cheval,Tulhurst Cuddles,Three Machs,My Ultimate Heston
14-12-2022 19:43:34.966426,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.75)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.1, 4.35)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:36.288873,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.75)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.1, 4.35)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:37.445879,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.75)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.1, 4.35)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:38.651864,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.1, 4.35)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:39.817058,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.1, 4.35)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:40.981412,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:42.268966,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:43.534495,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:44.892835,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:46.157506,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:47.340908,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:48.555861,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:49.743927,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:50.988750,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:52.167697,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:53.335201,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:54.490416,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:55.684416,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:56.937892,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:58.168110,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:43:59.395001,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:00.634658,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:01.838883,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:03.069390,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:04.288404,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:05.429472,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:06.607251,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:07.755751,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:08.968955,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:10.194641,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:11.397335,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:12.536358,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:13.782719,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:15.042440,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:16.297509,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:17.509055,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.5)","(10.0, 18.0, 13.666666666666666)","(3.6, 5.0, 4.3)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:18.700347,"(11.0, 17.5, 15.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 9.0, 7.12)","(10.0, 18.0, 15.0625)","(3.6, 5.0, 4.033333333333333)","(7.0, 10.5, 9.3375)","(8.0, 12.5, 11.18)"
