,Responder,Krystal Bale,Edi Bale,Deep Purple,Pest Management,Kippy Bale,Daimler Bale,Lets Embrace
12-01-2023 18:17:31.702969,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 9.49)","(5.0, 10.5, 9.175)","(9.0, 25.0, 16.333333333333336)","(20.0, 55.0, 36.75)"
12-01-2023 18:17:32.885031,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 8.75)","(5.0, 10.5, 9.96)","(9.0, 25.0, 16.333333333333336)","(20.0, 55.0, 36.75)"
12-01-2023 18:17:34.062802,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 9.49)","(5.0, 10.5, 9.175)","(9.0, 25.0, 16.333333333333336)","(20.0, 55.0, 36.75)"
12-01-2023 18:17:35.319924,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 8.75)","(5.0, 10.5, 9.96)","(9.0, 25.0, 16.333333333333336)","(20.0, 55.0, 36.75)"
12-01-2023 18:17:36.549389,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 9.49)","(5.0, 10.5, 9.175)","(9.0, 25.0, 16.333333333333336)","(20.0, 55.0, 36.75)"
12-01-2023 18:17:37.726102,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 9.49)","(5.0, 10.5, 9.175)","(9.0, 25.0, 16.333333333333336)","(20.0, 55.0, 36.75)"
12-01-2023 18:17:38.846160,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 8.75)","(5.0, 10.5, 9.96)","(9.0, 25.0, 16.333333333333336)","(20.0, 55.0, 36.75)"
12-01-2023 18:17:39.998456,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 9.49)","(5.0, 10.5, 9.175)","(9.0, 25.0, 16.333333333333336)","(20.0, 55.0, 36.75)"
12-01-2023 18:17:41.200800,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 9.49)","(5.0, 10.5, 9.175)","(9.0, 25.0, 16.333333333333336)","(20.0, 55.0, 36.75)"
12-01-2023 18:17:42.401707,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 7.4)","(5.0, 10.5, 9.175)","(9.0, 25.0, 16.333333333333336)","(20.0, 50.0, 37.88461538461539)"
12-01-2023 18:17:43.609845,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 8.75)","(5.0, 10.5, 9.96)","(9.0, 25.0, 16.333333333333336)","(20.0, 50.0, 37.88461538461539)"
12-01-2023 18:17:44.782731,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 9.133333333333333)","(5.0, 10.5, 9.96)","(9.0, 25.0, 16.333333333333336)","(20.0, 50.0, 37.88461538461539)"
12-01-2023 18:17:46.031882,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 22.909090909090907)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 8.366666666666667)","(5.0, 10.5, 9.175)","(9.0, 25.0, 12.166666666666666)","(20.0, 50.0, 39.95454545454545)"
12-01-2023 18:17:47.394446,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 24.363636363636363)","(17.0, 44.0, 24.666666666666664)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 8.366666666666667)","(5.0, 10.5, 8.733333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 48.0, 39.95454545454545)"
12-01-2023 18:17:48.841876,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 161.6923076923077)","(4.8, 10.0, 5.93076923076923)","(5.0, 10.5, 9.96)","(9.0, 25.0, 12.166666666666666)","(20.0, 48.0, 26.25)"
12-01-2023 18:17:50.088314,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 32.46153846153846)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.766666666666666)","(9.0, 25.0, 12.166666666666666)","(20.0, 48.0, 24.166666666666668)"
12-01-2023 18:17:51.359329,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 32.46153846153846)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.766666666666666)","(9.0, 25.0, 12.166666666666666)","(20.0, 50.0, 25.0)"
