,Sweet Succulent,Sebon Toe Less,Club Supreme,Red Tides,Zing Zang Lass,Princess Storm,Molly Palms,Slam Dunker
07-01-2023 10:17:51.811492,"(6.0, 10.5, 7.44)","(3.9, 5.6, 4.030434782608696)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 18.0, 13.1)"
07-01-2023 10:17:53.200179,"(6.0, 10.5, 7.44)","(3.9, 5.6, 4.030434782608696)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 18.0, 13.1)"
07-01-2023 10:17:54.501615,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 18.0, 13.1)"
07-01-2023 10:17:55.869948,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 18.0, 15.24)"
07-01-2023 10:17:57.186559,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.24)"
07-01-2023 10:17:58.481742,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.925)"
07-01-2023 10:17:59.857899,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.925)"
07-01-2023 10:18:01.177396,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.925)"
07-01-2023 10:18:02.525397,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.925)"
07-01-2023 10:18:03.844695,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.925)"
07-01-2023 10:18:05.169279,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.925)"
07-01-2023 10:18:06.456920,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.925)"
07-01-2023 10:18:07.839330,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.9)"
07-01-2023 10:18:09.133027,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.9)"
07-01-2023 10:18:10.443127,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.9)"
