,Rippa Buddy,Far Too Tempting,Tsegay,And Then,Bloomin Crafty
04-01-2023 12:43:25.093716,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:25.961149,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:26.934829,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:27.917355,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:28.718954,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:29.507199,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:30.408669,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:31.343694,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:32.148588,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:32.948497,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
