,Divine Law,Wicked Mad,Bourbon Over Ice,Charlie Potatoes,More Please,Royal Spy,Subject To Change,Ridiculous,Close The Case,Manolito
12-01-2023 12:50:52.199122,"(6.0, 7.8, 7.6909090909090905)","(6.0, 10.5, 9.733333333333333)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 17.0, 13.666666666666666)","(7.5, 11.0, 10.200000000000001)","(7.0, 9.8, 9.157142857142858)","(15.0, 32.0, 24.25)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.4, 6.066666666666667)"
12-01-2023 12:50:53.521595,"(6.0, 7.8, 7.6909090909090905)","(6.0, 10.5, 9.733333333333333)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 17.0, 13.666666666666666)","(7.5, 11.0, 10.200000000000001)","(7.0, 9.8, 9.157142857142858)","(15.0, 32.0, 24.25)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.4, 5.977777777777778)"
12-01-2023 12:50:54.960067,"(6.0, 7.8, 7.6909090909090905)","(6.0, 10.5, 9.733333333333333)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 17.0, 13.666666666666666)","(7.5, 11.0, 10.200000000000001)","(7.0, 9.8, 9.157142857142858)","(15.0, 32.0, 24.25)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.6, 5.977777777777778)"
12-01-2023 12:50:56.357049,"(6.0, 7.8, 7.6909090909090905)","(6.0, 10.5, 9.733333333333333)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 23.75)","(9.0, 17.0, 13.666666666666666)","(7.5, 11.0, 10.200000000000001)","(7.0, 9.8, 9.472727272727273)","(15.0, 32.0, 21.666666666666668)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.6, 5.977777777777778)"
12-01-2023 12:50:57.690730,"(6.0, 7.8, 7.6909090909090905)","(6.0, 10.5, 9.733333333333333)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 23.75)","(9.0, 17.0, 13.666666666666666)","(7.5, 11.0, 11.342857142857143)","(7.0, 9.8, 9.157142857142858)","(15.0, 32.0, 24.25)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.6, 5.977777777777778)"
12-01-2023 12:50:59.060786,"(6.0, 7.8, 7.5)","(6.0, 10.5, 9.733333333333333)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 17.0, 14.25)","(7.5, 12.5, 11.266666666666667)","(7.0, 9.8, 9.157142857142858)","(15.0, 32.0, 24.25)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.6, 6.066666666666667)"
12-01-2023 12:51:00.443332,"(6.0, 7.8, 7.5)","(6.0, 10.5, 9.733333333333333)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 16.5, 14.25)","(7.5, 12.0, 11.266666666666667)","(7.0, 9.8, 9.157142857142858)","(15.0, 32.0, 24.25)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.4, 6.066666666666667)"
12-01-2023 12:51:01.868226,"(6.0, 7.8, 7.5)","(6.0, 10.5, 9.733333333333333)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 16.5, 14.25)","(7.5, 12.0, 11.266666666666667)","(7.0, 9.8, 9.157142857142858)","(15.0, 32.0, 24.25)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.4, 6.066666666666667)"
12-01-2023 12:51:03.242871,"(6.0, 7.8, 7.5)","(6.0, 10.5, 9.733333333333333)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.4)","(7.0, 9.8, 8.466666666666667)","(15.0, 32.0, 24.25)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.4, 6.066666666666667)"
12-01-2023 12:51:04.562004,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.733333333333333)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 32.0, 24.25)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.4, 6.15)"
12-01-2023 12:51:05.834713,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 32.0, 24.25)","(20.0, 170.0, 125.85714285714286)","(4.2, 6.4, 6.04)"
12-01-2023 12:51:07.166758,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 32.0, 24.25)","(20.0, 170.0, 93.0)","(4.2, 6.6, 6.04)"
12-01-2023 12:51:08.490109,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 32.0, 24.25)","(20.0, 170.0, 93.0)","(4.2, 6.6, 6.04)"
12-01-2023 12:51:09.817513,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 32.0, 24.25)","(20.0, 170.0, 93.0)","(4.2, 6.6, 6.04)"
12-01-2023 12:51:11.215061,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 32.0, 24.25)","(20.0, 170.0, 93.0)","(4.2, 6.6, 6.04)"
12-01-2023 12:51:12.635976,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.1)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 32.0, 24.25)","(20.0, 170.0, 93.0)","(4.2, 6.6, 6.316666666666667)"
12-01-2023 12:51:14.000261,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 32.0, 22.75)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 32.0, 23.25)","(20.0, 170.0, 93.0)","(4.2, 6.4, 6.316666666666667)"
12-01-2023 12:51:15.320299,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 30.0, 22.75)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 30.0, 23.25)","(20.0, 170.0, 93.0)","(4.2, 6.4, 6.316666666666667)"
12-01-2023 12:51:16.663661,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 30.0, 22.75)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 30.0, 23.25)","(20.0, 170.0, 93.0)","(4.2, 6.4, 6.316666666666667)"
12-01-2023 12:51:17.974635,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 30.0, 22.75)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 30.0, 23.25)","(20.0, 170.0, 93.0)","(4.2, 6.4, 6.316666666666667)"
12-01-2023 12:51:19.347919,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 30.0, 22.75)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 30.0, 23.25)","(20.0, 170.0, 93.0)","(4.2, 6.4, 6.288888888888889)"
12-01-2023 12:51:20.720328,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 30.0, 22.75)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 30.0, 23.25)","(20.0, 170.0, 93.0)","(4.2, 6.6, 6.288888888888889)"
12-01-2023 12:51:21.999854,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 30.0, 22.75)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 30.0, 23.25)","(20.0, 170.0, 93.0)","(4.4, 6.6, 6.288888888888889)"
12-01-2023 12:51:23.210853,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 30.0, 22.75)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 30.0, 23.25)","(20.0, 170.0, 93.0)","(4.4, 6.6, 6.288888888888889)"
12-01-2023 12:51:24.545326,"(6.0, 7.8, 7.693333333333333)","(6.0, 10.5, 9.842857142857143)","(4.8, 8.8, 8.133333333333333)","(15.0, 30.0, 22.75)","(9.0, 16.5, 14.25)","(7.5, 12.0, 10.666666666666666)","(7.0, 9.8, 8.657142857142857)","(15.0, 30.0, 23.25)","(20.0, 170.0, 93.0)","(4.4, 6.6, 6.288888888888889)"
