,Barnfield,Uncle Jeff,Coastal Waters,Light Cruiser,Kowboykabin,Joker Matt,Our Valley,Bodemonster,Danny Zuko,No Slo Mo
08-01-2023 08:58:00.471628,"(9.0, 11.5, 11.3)","(2.05, 2.44, 2.4353846153846153)","(18.0, 32.0, 29.333333333333332)","(10.0, 13.0, 12.73076923076923)","(21.0, 32.0, 28.622222222222224)","(10.0, 15.0, 14.4375)","(18.0, 34.0, 31.333333333333332)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.364864864864865)"
08-01-2023 08:58:01.517485,"(9.0, 11.5, 11.3)","(2.05, 2.44, 2.4335135135135135)","(18.0, 32.0, 29.333333333333332)","(10.0, 13.0, 12.695652173913043)","(21.0, 32.0, 28.622222222222224)","(10.0, 14.5, 14.375)","(18.0, 34.0, 31.5)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.364864864864865)"
08-01-2023 08:58:02.555638,"(9.0, 11.5, 11.346153846153847)","(2.05, 2.44, 2.4335135135135135)","(18.0, 32.0, 29.333333333333332)","(10.0, 13.0, 12.695652173913043)","(21.0, 32.0, 28.622222222222224)","(10.0, 14.5, 14.409090909090908)","(18.0, 34.0, 31.5)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.411111111111111)"
08-01-2023 08:58:03.605244,"(9.0, 11.5, 11.157894736842104)","(2.05, 2.44, 2.4335135135135135)","(18.0, 32.0, 29.333333333333332)","(10.0, 13.0, 12.695652173913043)","(21.0, 32.0, 28.622222222222224)","(10.0, 14.5, 14.409090909090908)","(18.0, 34.0, 31.5)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.411111111111111)"
08-01-2023 08:58:04.688741,"(9.0, 11.5, 11.157894736842104)","(2.05, 2.48, 2.469333333333333)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.516129032258064)","(21.0, 32.0, 28.622222222222224)","(10.0, 14.5, 14.15)","(18.0, 34.0, 31.5)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.431034482758621)"
08-01-2023 08:58:05.722601,"(9.0, 11.5, 11.066666666666666)","(2.05, 2.48, 2.4529032258064514)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.321428571428571)","(21.0, 32.0, 28.622222222222224)","(10.0, 14.5, 14.24074074074074)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.431034482758621)"
08-01-2023 08:58:06.779326,"(9.0, 11.5, 11.066666666666666)","(2.05, 2.46, 2.443)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.321428571428571)","(21.0, 32.0, 28.875)","(10.0, 15.0, 14.368421052631579)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.45)"
08-01-2023 08:58:07.826162,"(9.0, 11.5, 11.066666666666666)","(2.05, 2.44, 2.4228571428571426)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.666666666666666)","(21.0, 32.0, 28.875)","(10.0, 15.0, 14.368421052631579)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.45)"
08-01-2023 08:58:08.876123,"(9.0, 11.5, 11.066666666666666)","(2.05, 2.42, 2.41)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.666666666666666)","(21.0, 32.0, 28.875)","(10.0, 15.0, 14.368421052631579)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.485714285714286)"
08-01-2023 08:58:09.979979,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.412)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.5)","(21.0, 32.0, 28.666666666666668)","(10.0, 15.0, 14.368421052631579)","(18.0, 34.0, 32.0)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.485714285714286)"
