,Barnfield,Uncle Jeff,Coastal Waters,Light Cruiser,Kowboykabin,Joker Matt,Our Valley,Bodemonster,Danny Zuko,No Slo Mo
08-01-2023 08:58:54.155104,"(8.5, 12.0, 11.928571428571429)","(2.05, 2.34, 2.3273972602739725)","(18.0, 30.0, 29.88888888888889)","(10.0, 14.0, 13.928571428571429)","(21.0, 32.0, 29.857142857142858)","(10.0, 14.5, 14.117647058823529)","(18.0, 36.0, 34.666666666666664)","(26.0, 75.0, 66.66666666666667)","(51.0, 160.0, 157.33333333333331)","(3.8, 4.7, 4.65)"
08-01-2023 08:58:55.184192,"(8.5, 12.5, 11.863636363636363)","(2.05, 2.34, 2.3217391304347825)","(18.0, 30.0, 29.88888888888889)","(10.0, 14.0, 13.928571428571429)","(21.0, 32.0, 29.857142857142858)","(10.0, 14.5, 14.117647058823529)","(18.0, 36.0, 34.666666666666664)","(26.0, 75.0, 66.66666666666667)","(51.0, 160.0, 157.33333333333331)","(3.8, 4.7, 4.65)"
08-01-2023 08:58:56.222268,"(8.5, 12.5, 11.84375)","(2.05, 2.34, 2.329019607843137)","(18.0, 30.0, 29.88888888888889)","(10.0, 14.0, 13.928571428571429)","(21.0, 32.0, 29.857142857142858)","(10.0, 14.5, 14.117647058823529)","(18.0, 36.0, 34.666666666666664)","(26.0, 75.0, 66.66666666666667)","(51.0, 160.0, 157.33333333333331)","(3.8, 4.7, 4.65)"
08-01-2023 08:58:57.273523,"(8.5, 12.5, 11.932432432432432)","(2.05, 2.34, 2.3236649214659684)","(18.0, 30.0, 29.88888888888889)","(10.0, 14.0, 13.928571428571429)","(21.0, 32.0, 29.857142857142858)","(10.0, 14.5, 14.117647058823529)","(18.0, 36.0, 34.666666666666664)","(26.0, 75.0, 66.66666666666667)","(51.0, 160.0, 157.77777777777777)","(3.8, 4.7, 4.655555555555556)"
08-01-2023 08:58:58.308954,"(8.5, 12.5, 11.984848484848484)","(2.05, 2.32, 2.317272727272727)","(18.0, 30.0, 29.88888888888889)","(10.0, 14.0, 13.928571428571429)","(21.0, 32.0, 29.857142857142858)","(10.0, 14.5, 14.318181818181818)","(18.0, 36.0, 34.666666666666664)","(26.0, 75.0, 66.66666666666667)","(51.0, 160.0, 157.77777777777777)","(3.8, 4.7, 4.655555555555556)"
08-01-2023 08:58:59.347259,"(8.5, 12.5, 11.984848484848484)","(2.05, 2.32, 2.317272727272727)","(18.0, 30.0, 29.88888888888889)","(10.0, 14.0, 13.958333333333334)","(21.0, 32.0, 29.857142857142858)","(10.0, 14.5, 14.35)","(18.0, 36.0, 34.666666666666664)","(26.0, 75.0, 66.66666666666667)","(51.0, 160.0, 157.77777777777777)","(3.8, 4.7, 4.655555555555556)"
08-01-2023 08:59:00.386186,"(8.5, 12.0, 11.35)","(2.05, 2.34, 2.3168888888888888)","(18.0, 30.0, 29.88888888888889)","(10.0, 14.5, 14.233333333333333)","(21.0, 32.0, 29.857142857142858)","(10.0, 14.5, 14.35)","(18.0, 36.0, 34.666666666666664)","(26.0, 75.0, 66.66666666666667)","(51.0, 160.0, 157.77777777777777)","(3.8, 4.7, 4.652542372881356)"
08-01-2023 08:59:01.465855,"(8.5, 12.0, 11.566666666666666)","(2.05, 2.32, 2.3185714285714285)","(18.0, 30.0, 29.88888888888889)","(10.0, 14.5, 14.1)","(21.0, 32.0, 29.857142857142858)","(10.0, 14.5, 14.35)","(18.0, 36.0, 34.666666666666664)","(26.0, 75.0, 66.66666666666667)","(51.0, 160.0, 157.77777777777777)","(3.8, 4.7, 4.653333333333333)"
08-01-2023 08:59:02.506661,"(8.5, 12.0, 11.434782608695652)","(2.05, 2.32, 2.3129411764705883)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 29.857142857142858)","(10.0, 15.0, 14.32258064516129)","(18.0, 36.0, 34.666666666666664)","(26.0, 75.0, 62.5)","(51.0, 160.0, 157.77777777777777)","(3.8, 4.7, 4.653333333333333)"
08-01-2023 08:59:03.560160,"(8.5, 12.0, 11.434782608695652)","(2.05, 2.28, 2.261575342465753)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 30.17391304347826)","(10.0, 15.0, 14.32258064516129)","(18.0, 36.0, 34.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 160.0, 156.92307692307693)","(3.8, 4.7, 4.656923076923077)"
08-01-2023 08:59:04.600859,"(8.5, 12.0, 11.566666666666666)","(2.05, 2.34, 2.312413793103448)","(18.0, 30.0, 29.9)","(10.0, 15.0, 14.2)","(21.0, 32.0, 30.17391304347826)","(10.0, 15.0, 14.32258064516129)","(18.0, 36.0, 34.666666666666664)","(26.0, 75.0, 62.5)","(51.0, 160.0, 156.92307692307693)","(3.8, 4.7, 4.642857142857142)"
08-01-2023 08:59:05.664535,"(8.5, 12.0, 11.566666666666666)","(1.95, 2.34, 2.316923076923077)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 29.857142857142858)","(10.0, 15.0, 14.125)","(20.0, 36.0, 34.666666666666664)","(26.0, 75.0, 62.5)","(51.0, 160.0, 156.92307692307693)","(3.8, 4.7, 4.642857142857142)"
08-01-2023 08:59:06.744994,"(8.5, 12.0, 11.566666666666666)","(1.95, 2.34, 2.298461538461538)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 29.857142857142858)","(10.0, 15.0, 14.214285714285714)","(20.0, 36.0, 34.666666666666664)","(26.0, 75.0, 62.5)","(51.0, 160.0, 155.55555555555554)","(3.8, 4.7, 4.642857142857142)"
08-01-2023 08:59:07.788867,"(8.5, 12.0, 11.55)","(1.95, 2.34, 2.2909090909090906)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 29.857142857142858)","(10.0, 15.0, 14.2625)","(20.0, 36.0, 34.666666666666664)","(26.0, 75.0, 62.5)","(51.0, 160.0, 155.55555555555554)","(3.8, 4.7, 4.642857142857142)"
08-01-2023 08:59:08.865077,"(8.5, 12.0, 11.55)","(1.95, 2.32, 2.2876923076923075)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 29.857142857142858)","(11.0, 15.5, 13.763157894736842)","(20.0, 36.0, 34.666666666666664)","(26.0, 75.0, 62.5)","(51.0, 160.0, 155.55555555555554)","(3.8, 4.7, 4.666666666666666)"
08-01-2023 08:59:09.927928,"(8.5, 12.0, 11.55)","(1.95, 2.32, 2.2781132075471695)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 29.857142857142858)","(11.0, 15.5, 14.75)","(20.0, 36.0, 34.666666666666664)","(26.0, 75.0, 62.5)","(51.0, 160.0, 155.55555555555554)","(3.8, 4.8, 4.685106382978723)"
08-01-2023 08:59:10.967110,"(8.5, 12.0, 11.55)","(1.95, 2.3, 2.2846153846153845)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 29.857142857142858)","(11.0, 15.0, 14.75)","(20.0, 36.0, 34.666666666666664)","(26.0, 75.0, 62.5)","(51.0, 160.0, 155.55555555555554)","(3.8, 4.8, 4.685106382978723)"
08-01-2023 08:59:12.027557,"(8.5, 12.0, 11.55)","(1.95, 2.3, 2.2855999999999996)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 29.857142857142858)","(11.0, 15.0, 14.583333333333334)","(20.0, 36.0, 34.285714285714285)","(26.0, 75.0, 62.5)","(51.0, 160.0, 155.55555555555554)","(3.8, 4.8, 4.685106382978723)"
08-01-2023 08:59:13.080481,"(8.5, 12.0, 11.55)","(1.95, 2.3, 2.2777777777777777)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 29.857142857142858)","(11.0, 15.0, 14.583333333333334)","(20.0, 36.0, 34.285714285714285)","(26.0, 75.0, 62.5)","(51.0, 160.0, 155.55555555555554)","(3.8, 4.8, 4.685106382978723)"
08-01-2023 08:59:14.126914,"(8.5, 12.0, 11.55)","(1.95, 2.3, 2.2855999999999996)","(18.0, 30.0, 29.88888888888889)","(10.0, 15.0, 14.2)","(21.0, 32.0, 29.857142857142858)","(11.0, 15.0, 14.583333333333334)","(20.0, 36.0, 34.18181818181818)","(26.0, 75.0, 62.5)","(51.0, 160.0, 155.55555555555554)","(3.8, 4.8, 4.689473684210526)"
08-01-2023 08:59:15.175460,"(8.5, 12.0, 11.55)","(1.95, 2.3, 2.272549019607843)","(18.0, 30.0, 29.88888888888889)","(10.0, 14.0, 13.794117647058824)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.583333333333334)","(20.0, 36.0, 33.81818181818182)","(26.0, 75.0, 66.66666666666667)","(51.0, 160.0, 137.77777777777777)","(3.8, 4.8, 4.689473684210526)"
08-01-2023 08:59:16.244870,"(8.5, 12.0, 11.55)","(1.95, 2.3, 2.2756097560975608)","(18.0, 30.0, 29.9)","(10.0, 14.0, 13.857142857142858)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.2)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 137.77777777777777)","(3.8, 4.8, 4.689473684210526)"
08-01-2023 08:59:17.272771,"(8.5, 12.0, 11.55)","(1.95, 2.3, 2.2806451612903222)","(18.0, 32.0, 30.727272727272727)","(10.0, 14.0, 13.4)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.25)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 137.77777777777777)","(3.8, 4.8, 4.725925925925925)"
08-01-2023 08:59:18.318005,"(8.5, 12.0, 11.566666666666666)","(1.95, 2.3, 2.268)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.25)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 137.77777777777777)","(3.8, 4.8, 4.725925925925925)"
08-01-2023 08:59:19.381027,"(8.5, 12.0, 11.458333333333334)","(1.95, 2.3, 2.2706666666666666)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.4375)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 137.77777777777777)","(3.8, 4.8, 4.725925925925925)"
08-01-2023 08:59:20.409254,"(8.5, 12.0, 11.458333333333334)","(1.95, 2.3, 2.2706666666666666)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.4375)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 137.77777777777777)","(3.8, 4.8, 4.7375)"
08-01-2023 08:59:21.451567,"(8.5, 12.0, 11.458333333333334)","(1.95, 2.3, 2.2706666666666666)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.4375)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 137.77777777777777)","(3.8, 4.8, 4.754545454545455)"
08-01-2023 08:59:22.485590,"(8.5, 12.0, 11.277777777777779)","(1.95, 2.3, 2.2658181818181817)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.4375)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 137.77777777777777)","(3.8, 4.8, 4.754545454545455)"
08-01-2023 08:59:23.535195,"(8.5, 12.0, 11.566666666666666)","(1.95, 2.3, 2.2658181818181817)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.4375)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 137.77777777777777)","(3.8, 4.8, 4.754545454545455)"
08-01-2023 08:59:24.578394,"(8.5, 12.0, 11.566666666666666)","(1.95, 2.3, 2.2658181818181817)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.4375)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 137.77777777777777)","(3.8, 4.8, 4.771428571428571)"
08-01-2023 08:59:25.626576,"(8.5, 12.0, 11.277777777777779)","(1.95, 2.3, 2.2777777777777777)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.28)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 137.77777777777777)","(3.8, 4.8, 4.75)"
08-01-2023 08:59:26.652623,"(8.5, 12.0, 11.566666666666666)","(1.95, 2.34, 2.2807692307692307)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.28)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 126.66666666666667)","(3.8, 4.8, 4.75)"
08-01-2023 08:59:27.713754,"(8.5, 12.0, 11.566666666666666)","(1.95, 2.32, 2.2836363636363632)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.583333333333334)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 138.75)","(3.8, 4.8, 4.75)"
08-01-2023 08:59:28.767223,"(8.5, 11.5, 11.25)","(1.95, 2.32, 2.2993103448275862)","(18.0, 34.0, 32.333333333333336)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.5, 14.583333333333334)","(20.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 138.57142857142858)","(3.8, 4.8, 4.754545454545455)"
08-01-2023 08:59:29.820274,"(8.5, 11.5, 11.0625)","(1.95, 2.3, 2.2904)","(18.0, 34.0, 31.066666666666666)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.5, 14.526315789473685)","(21.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 138.57142857142858)","(3.8, 4.8, 4.7444444444444445)"
08-01-2023 08:59:30.877373,"(8.5, 11.5, 11.0625)","(1.95, 2.3, 2.2904)","(18.0, 34.0, 31.066666666666666)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.526315789473685)","(21.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 138.57142857142858)","(3.8, 4.8, 4.747619047619048)"
08-01-2023 08:59:31.954659,"(8.5, 11.5, 11.0625)","(1.95, 2.3, 2.2937777777777777)","(18.0, 34.0, 31.0)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.526315789473685)","(21.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 138.57142857142858)","(3.8, 4.8, 4.723076923076923)"
08-01-2023 08:59:32.992963,"(8.5, 11.5, 11.166666666666666)","(1.95, 2.3, 2.285333333333333)","(18.0, 34.0, 31.0)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.526315789473685)","(21.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 140.0, 138.57142857142858)","(3.8, 4.8, 4.723076923076923)"
08-01-2023 08:59:34.061275,"(8.5, 11.5, 11.166666666666666)","(1.95, 2.3, 2.288148148148148)","(18.0, 34.0, 31.0)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.526315789473685)","(21.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 220.0, 190.0)","(3.8, 4.8, 4.6730769230769225)"
08-01-2023 08:59:35.097306,"(8.5, 11.5, 11.166666666666666)","(1.95, 2.3, 2.288148148148148)","(18.0, 34.0, 31.0)","(10.0, 14.0, 13.1)","(21.0, 32.0, 29.93103448275862)","(11.0, 15.0, 14.526315789473685)","(21.0, 36.0, 32.8)","(26.0, 75.0, 66.66666666666667)","(51.0, 220.0, 190.0)","(3.8, 4.8, 4.6730769230769225)"
08-01-2023 08:59:36.143120,"(8.5, 11.5, 11.404761904761905)","(1.95, 2.3, 2.2958095238095235)","(18.0, 34.0, 31.6)","(10.0, 14.0, 13.55)","(21.0, 32.0, 30.181818181818183)","(11.0, 15.5, 14.608108108108109)","(21.0, 36.0, 32.8)","(26.0, 75.0, 72.22222222222223)","(51.0, 230.0, 217.5)","(3.8, 4.8, 4.716455696202531)"
08-01-2023 08:59:37.178739,"(8.5, 11.5, 11.404761904761905)","(1.95, 2.3, 2.2958095238095235)","(18.0, 34.0, 31.6)","(10.0, 14.0, 13.55)","(21.0, 32.0, 29.77777777777778)","(11.0, 15.5, 14.608108108108109)","(21.0, 36.0, 32.8)","(26.0, 75.0, 72.22222222222223)","(51.0, 230.0, 217.5)","(3.8, 4.8, 4.716455696202531)"
08-01-2023 08:59:38.243127,"(8.5, 12.0, 11.485714285714286)","(1.95, 2.3, 2.2905882352941176)","(18.0, 34.0, 31.6)","(10.0, 14.0, 13.55)","(21.0, 32.0, 29.77777777777778)","(11.0, 15.5, 14.78)","(21.0, 36.0, 32.8)","(26.0, 75.0, 70.0)","(51.0, 230.0, 226.2962962962963)","(3.8, 4.8, 4.725581395348837)"
08-01-2023 08:59:39.284467,"(9.0, 12.0, 11.55)","(1.95, 2.3, 2.2766666666666664)","(18.0, 34.0, 31.6)","(11.0, 14.0, 13.55)","(21.0, 32.0, 29.77777777777778)","(11.0, 15.5, 14.78)","(21.0, 36.0, 32.8)","(26.0, 75.0, 70.0)","(51.0, 230.0, 225.23809523809524)","(3.9, 4.8, 4.725581395348837)"
08-01-2023 08:59:40.318237,"(9.0, 12.0, 11.55)","(1.95, 2.3, 2.2717647058823527)","(18.0, 34.0, 31.6)","(11.0, 14.0, 13.55)","(21.0, 32.0, 29.77777777777778)","(11.0, 15.5, 14.78)","(21.0, 36.0, 32.8)","(26.0, 75.0, 70.0)","(51.0, 230.0, 225.23809523809524)","(3.9, 4.8, 4.725581395348837)"
08-01-2023 08:59:41.365365,"(9.0, 12.0, 11.55)","(1.95, 2.3, 2.2717647058823527)","(18.0, 34.0, 31.6)","(11.0, 14.0, 13.55)","(21.0, 32.0, 29.77777777777778)","(11.0, 15.5, 14.78)","(21.0, 36.0, 32.8)","(26.0, 75.0, 70.0)","(51.0, 230.0, 212.0)","(3.9, 4.8, 4.725581395348837)"
08-01-2023 08:59:42.434294,"(9.0, 12.0, 11.55)","(1.95, 2.28, 2.272)","(18.0, 34.0, 31.6)","(11.0, 14.0, 13.55)","(21.0, 32.0, 29.77777777777778)","(11.0, 15.5, 14.78)","(21.0, 36.0, 32.8)","(26.0, 75.0, 70.0)","(51.0, 230.0, 212.0)","(3.9, 4.8, 4.725581395348837)"
08-01-2023 08:59:43.461706,"(9.0, 12.0, 11.55)","(1.95, 2.28, 2.272)","(18.0, 34.0, 31.6)","(11.0, 14.0, 13.55)","(21.0, 32.0, 29.77777777777778)","(11.0, 15.5, 14.78)","(21.0, 36.0, 33.0)","(26.0, 75.0, 70.0)","(51.0, 230.0, 212.0)","(3.9, 4.8, 4.717073170731707)"
08-01-2023 08:59:44.509873,"(9.0, 12.0, 11.55)","(1.95, 2.3, 2.2717647058823527)","(18.0, 34.0, 31.6)","(11.0, 14.0, 13.55)","(21.0, 32.0, 29.77777777777778)","(11.0, 15.5, 14.857142857142858)","(21.0, 36.0, 33.130434782608695)","(26.0, 75.0, 70.0)","(51.0, 230.0, 212.0)","(3.9, 4.8, 4.717073170731707)"
08-01-2023 08:59:45.549273,"(9.0, 12.0, 11.55)","(1.95, 2.3, 2.270612244897959)","(18.0, 34.0, 31.6)","(11.0, 14.0, 13.55)","(21.0, 32.0, 29.9)","(11.0, 15.5, 14.916666666666666)","(21.0, 36.0, 33.78947368421053)","(26.0, 75.0, 70.0)","(51.0, 230.0, 212.0)","(3.9, 4.8, 4.626315789473684)"
08-01-2023 08:59:46.601176,"(9.0, 12.5, 11.625)","(1.95, 2.3, 2.277647058823529)","(18.0, 34.0, 32.0)","(11.0, 14.0, 13.6)","(21.0, 32.0, 30.17391304347826)","(11.0, 15.5, 14.916666666666666)","(21.0, 36.0, 37.45454545454545)","(26.0, 75.0, 70.0)","(51.0, 230.0, 212.0)","(3.9, 4.8, 4.577419354838709)"
08-01-2023 08:59:47.641871,"(9.0, 12.5, 11.625)","(1.95, 2.3, 2.282222222222222)","(18.0, 34.0, 32.0)","(11.0, 15.0, 14.5)","(21.0, 32.0, 30.17391304347826)","(11.0, 15.5, 14.916666666666666)","(21.0, 38.0, 33.5)","(26.0, 75.0, 70.0)","(51.0, 230.0, 221.0)","(3.9, 4.8, 4.438888888888889)"
08-01-2023 08:59:48.683775,"(9.0, 12.5, 11.625)","(1.95, 2.3, 2.288)","(18.0, 34.0, 32.0)","(11.0, 15.5, 14.125)","(21.0, 32.0, 30.17391304347826)","(11.0, 15.5, 14.916666666666666)","(21.0, 38.0, 35.0)","(26.0, 75.0, 60.0)","(51.0, 230.0, 221.0)","(3.9, 4.8, 4.52258064516129)"
08-01-2023 08:59:49.726903,"(9.0, 12.5, 11.625)","(1.95, 2.3, 2.288)","(18.0, 34.0, 32.0)","(11.0, 15.5, 14.25)","(21.0, 32.0, 30.17391304347826)","(11.0, 15.5, 14.916666666666666)","(21.0, 38.0, 35.0)","(26.0, 70.0, 60.0)","(51.0, 230.0, 221.0)","(3.9, 4.6, 4.52258064516129)"
08-01-2023 08:59:50.782122,"(9.0, 12.5, 11.625)","(1.95, 2.3, 2.288)","(18.0, 34.0, 32.0)","(11.0, 15.5, 14.25)","(21.0, 32.0, 30.17391304347826)","(11.0, 15.5, 14.916666666666666)","(21.0, 38.0, 35.0)","(26.0, 70.0, 60.0)","(51.0, 230.0, 215.0)","(3.9, 4.6, 4.360869565217391)"
08-01-2023 08:59:51.834983,"(9.0, 12.5, 11.625)","(1.95, 2.3, 2.288)","(18.0, 34.0, 32.0)","(11.0, 15.5, 14.25)","(21.0, 32.0, 30.17391304347826)","(11.0, 15.5, 14.916666666666666)","(21.0, 38.0, 35.0)","(26.0, 70.0, 60.0)","(51.0, 230.0, 215.0)","(3.9, 4.4, 4.345161290322581)"
08-01-2023 08:59:52.893232,"(9.0, 12.5, 11.625)","(1.95, 2.3, 2.288)","(18.0, 34.0, 32.0)","(11.0, 15.5, 14.25)","(21.0, 32.0, 30.17391304347826)","(11.0, 15.5, 14.916666666666666)","(21.0, 38.0, 35.0)","(26.0, 70.0, 60.0)","(51.0, 230.0, 215.0)","(3.9, 4.4, 4.338983050847458)"
08-01-2023 08:59:53.929317,"(9.0, 12.5, 11.625)","(1.95, 2.32, 2.310962343096234)","(18.0, 34.0, 32.0)","(11.0, 15.5, 14.25)","(21.0, 32.0, 30.384615384615383)","(11.0, 15.5, 14.95)","(21.0, 38.0, 32.666666666666664)","(26.0, 70.0, 60.0)","(51.0, 230.0, 215.0)","(3.9, 4.4, 4.269565217391305)"
08-01-2023 08:59:54.984082,"(9.0, 12.0, 11.8)","(1.95, 2.32, 2.3116923076923075)","(18.0, 34.0, 32.57142857142857)","(11.0, 15.5, 14.6)","(21.0, 32.0, 30.384615384615383)","(11.0, 15.5, 14.95)","(21.0, 38.0, 32.666666666666664)","(26.0, 65.0, 60.0)","(51.0, 230.0, 215.0)","(3.9, 4.4, 4.269565217391305)"
08-01-2023 08:59:56.023301,"(9.0, 12.0, 11.65)","(1.95, 2.32, 2.303018867924528)","(18.0, 34.0, 32.57142857142857)","(11.0, 15.5, 14.6)","(21.0, 32.0, 30.384615384615383)","(11.0, 15.5, 14.95)","(21.0, 38.0, 32.666666666666664)","(26.0, 65.0, 60.0)","(51.0, 230.0, 215.0)","(3.9, 4.4, 4.269565217391305)"
08-01-2023 08:59:57.068499,"(9.0, 12.0, 11.65)","(1.95, 2.32, 2.303018867924528)","(18.0, 34.0, 32.57142857142857)","(11.0, 15.0, 14.75)","(21.0, 32.0, 30.384615384615383)","(11.0, 15.5, 14.95)","(21.0, 38.0, 32.375)","(26.0, 65.0, 60.0)","(51.0, 230.0, 224.70588235294116)","(3.9, 4.4, 4.331578947368421)"
08-01-2023 08:59:58.115926,"(9.0, 12.0, 11.65)","(1.95, 2.34, 2.3371153846153843)","(18.0, 34.0, 32.57142857142857)","(11.0, 15.0, 14.75)","(21.0, 32.0, 29.666666666666668)","(11.0, 15.5, 14.95)","(21.0, 38.0, 32.375)","(26.0, 65.0, 60.0)","(51.0, 230.0, 224.70588235294116)","(4.0, 4.4, 4.331578947368421)"
08-01-2023 08:59:59.163625,"(9.0, 12.0, 11.65)","(1.95, 2.34, 2.3371153846153843)","(18.0, 34.0, 32.57142857142857)","(11.0, 15.0, 14.75)","(21.0, 32.0, 29.666666666666668)","(11.0, 15.5, 14.95)","(21.0, 38.0, 32.375)","(26.0, 65.0, 60.0)","(51.0, 230.0, 224.70588235294116)","(4.0, 4.4, 4.331578947368421)"
08-01-2023 09:00:00.241561,"(9.0, 12.0, 11.75)","(1.95, 2.32, 2.313207547169811)","(18.0, 34.0, 32.57142857142857)","(11.0, 15.0, 14.75)","(21.0, 32.0, 29.75)","(11.0, 15.5, 14.95)","(21.0, 36.0, 33.130434782608695)","(26.0, 65.0, 60.0)","(51.0, 230.0, 224.70588235294116)","(4.0, 4.4, 4.331578947368421)"
08-01-2023 09:00:01.271919,"(9.0, 12.0, 11.774193548387096)","(1.95, 2.32, 2.313207547169811)","(18.0, 34.0, 32.57142857142857)","(11.0, 15.0, 14.75)","(21.0, 32.0, 29.75)","(11.0, 15.5, 14.95)","(21.0, 36.0, 33.130434782608695)","(26.0, 65.0, 60.0)","(51.0, 230.0, 224.70588235294116)","(4.0, 4.4, 4.345833333333333)"
08-01-2023 09:00:02.334055,"(9.0, 12.0, 11.774193548387096)","(1.95, 2.32, 2.313207547169811)","(18.0, 34.0, 32.57142857142857)","(11.0, 15.0, 14.75)","(21.0, 32.0, 29.75)","(11.0, 15.5, 14.95)","(21.0, 36.0, 33.130434782608695)","(26.0, 65.0, 60.0)","(51.0, 230.0, 224.70588235294116)","(4.0, 4.4, 4.2972222222222225)"
08-01-2023 09:00:03.365357,"(9.0, 12.0, 11.774193548387096)","(1.95, 2.32, 2.313207547169811)","(18.0, 34.0, 33.0)","(11.0, 15.0, 14.75)","(21.0, 32.0, 29.75)","(11.0, 15.5, 14.95)","(21.0, 36.0, 33.130434782608695)","(26.0, 65.0, 60.0)","(51.0, 230.0, 224.70588235294116)","(4.0, 4.4, 4.2886075949367095)"
08-01-2023 09:00:04.427438,"(9.0, 12.0, 11.774193548387096)","(1.95, 2.32, 2.313207547169811)","(18.0, 34.0, 33.0)","(11.0, 15.0, 14.8)","(21.0, 32.0, 29.75)","(11.0, 15.5, 14.95)","(21.0, 36.0, 33.130434782608695)","(26.0, 65.0, 60.0)","(51.0, 230.0, 224.70588235294116)","(4.0, 4.4, 4.2886075949367095)"
