,Stylish Memphis Nz,Izaha,Artillery,Ranger Bomb Nz,Smooth Baht,Hes Chiming,Expensive Ego,Total Diva Nz,Little Bliss
07-01-2023 19:36:57.633015,"(3.0, 99999, 99990)","(41.0, 180.0, 142.85714285714286)","(18.0, 48.0, 25.666666666666668)","(11.0, 99999, 99990)","(26.0, 70.0, 34.22222222222222)","(20.0, 50.0, 29.0)","(1.55, 1.89, 1.8257142857142856)","(26.0, 99999, 99990)","(61.0, 220.0, 192.72727272727275)"
07-01-2023 19:36:59.012767,"(3.0, 99999, 99990)","(41.0, 180.0, 142.85714285714286)","(18.0, 48.0, 25.666666666666668)","(11.0, 99999, 99990)","(26.0, 70.0, 34.22222222222222)","(20.0, 50.0, 29.0)","(1.55, 1.89, 1.8257142857142856)","(26.0, 99999, 99990)","(61.0, 220.0, 192.72727272727275)"
07-01-2023 19:37:00.456114,"(3.0, 99999, 99990)","(41.0, 180.0, 142.85714285714286)","(18.0, 48.0, 25.666666666666668)","(11.0, 99999, 99990)","(26.0, 70.0, 34.22222222222222)","(20.0, 50.0, 29.0)","(1.55, 1.89, 1.8257142857142856)","(26.0, 99999, 99990)","(61.0, 220.0, 192.72727272727275)"
07-01-2023 19:37:01.765313,"(3.0, 99999, 99990)","(41.0, 180.0, 142.85714285714286)","(18.0, 48.0, 25.666666666666668)","(11.0, 99999, 99990)","(26.0, 70.0, 34.22222222222222)","(20.0, 50.0, 29.0)","(1.55, 1.89, 1.8257142857142856)","(26.0, 99999, 99990)","(61.0, 220.0, 192.72727272727275)"
07-01-2023 19:37:03.058769,"(3.0, 99999, 99990)","(41.0, 180.0, 142.85714285714286)","(18.0, 48.0, 25.666666666666668)","(11.0, 99999, 99990)","(26.0, 70.0, 34.22222222222222)","(20.0, 50.0, 29.0)","(1.55, 1.89, 1.8257142857142856)","(26.0, 99999, 99990)","(61.0, 220.0, 192.72727272727275)"
07-01-2023 19:37:04.562058,"(3.0, 99999, 99990)","(41.0, 180.0, 142.85714285714286)","(18.0, 48.0, 25.666666666666668)","(11.0, 99999, 99990)","(26.0, 70.0, 34.22222222222222)","(20.0, 50.0, 29.0)","(1.55, 1.89, 1.8257142857142856)","(26.0, 99999, 99990)","(61.0, 220.0, 192.72727272727275)"
07-01-2023 19:37:05.910877,"(3.0, 99999, 99990)","(41.0, 180.0, 142.85714285714286)","(18.0, 48.0, 25.666666666666668)","(11.0, 99999, 99990)","(26.0, 70.0, 34.22222222222222)","(20.0, 50.0, 29.0)","(1.55, 1.89, 1.8257142857142856)","(26.0, 99999, 99990)","(61.0, 220.0, 192.72727272727275)"
07-01-2023 19:37:07.196621,"(3.0, 99999, 99990)","(41.0, 180.0, 142.85714285714286)","(18.0, 48.0, 25.666666666666668)","(11.0, 99999, 99990)","(26.0, 70.0, 34.22222222222222)","(20.0, 50.0, 29.0)","(1.55, 1.89, 1.8257142857142856)","(26.0, 99999, 99990)","(61.0, 220.0, 192.72727272727275)"
07-01-2023 19:37:08.575582,"(3.0, 99999, 99990)","(41.0, 180.0, 142.85714285714286)","(18.0, 48.0, 25.666666666666668)","(11.0, 99999, 99990)","(26.0, 70.0, 34.22222222222222)","(20.0, 50.0, 29.0)","(1.55, 1.89, 1.8257142857142856)","(26.0, 99999, 99990)","(61.0, 220.0, 192.72727272727275)"
07-01-2023 19:37:09.984381,"(3.0, 99999, 99990)","(41.0, 180.0, 142.85714285714286)","(18.0, 48.0, 25.666666666666668)","(11.0, 99999, 99990)","(26.0, 70.0, 34.22222222222222)","(20.0, 50.0, 29.0)","(1.55, 1.89, 1.8257142857142856)","(26.0, 99999, 99990)","(61.0, 220.0, 192.72727272727275)"
