,Gilberts Gold,Grand Chief,Mr Tangles,Royal Tonic,Barrys Galah,Falsetto,Indiana Falls,Miss Rinehart,Mount Coni,Tomboys Spirit
16-12-2022 14:25:34.316215,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.63)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:35.382734,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.63)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:36.466474,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.63)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:37.543545,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:38.578949,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:39.616359,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:40.655482,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:41.694102,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:42.749774,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:43.795179,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:44.833691,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
