,Bliss,Capital Eyes,Gris Amour,Kazzas Jet,Supreme Play,Alabama Gold,Boomsita,Compass Rose,Habeebati,Tereshkova,Yankee Blossom,Zumaia
11-01-2023 13:19:14.660499,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 50.0, 46.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 140.0, 125.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:16.108672,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 50.0, 43.2)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 140.0, 114.76190476190476)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:17.528670,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.954545454545453)","(6.5, 7.6, 7.442857142857143)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:18.882865,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.954545454545453)","(6.5, 7.6, 7.442857142857143)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:20.205802,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.954545454545453)","(6.5, 7.6, 7.366666666666667)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 130.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:21.654349,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.954545454545453)","(6.5, 7.8, 7.296774193548387)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 150.0, 130.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:23.070453,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.75)","(6.5, 7.8, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 150.0, 125.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:24.437056,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.75)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 125.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:25.925820,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 125.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:27.303994,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 125.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:28.639921,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 114.76190476190476)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:29.977897,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:31.394736,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 480.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 130.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:32.669053,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 25.0, 22.8)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 150.0, 130.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:33.920276,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 85.0)","(20.0, 25.0, 22.8)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 150.0, 125.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:35.325132,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 100.0, 85.0)","(20.0, 25.0, 22.8)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 125.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:36.774615,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 100.0, 85.0)","(20.0, 25.0, 22.8)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 125.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:38.226304,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 100.0, 85.0)","(20.0, 25.0, 22.8)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 125.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:39.596107,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 100.0, 85.0)","(20.0, 25.0, 22.8)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 17.857142857142858)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 125.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:41.122296,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 100.0, 85.0)","(20.0, 25.0, 23.166666666666668)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 114.76190476190476)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:42.578923,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 100.0, 85.0)","(20.0, 25.0, 23.166666666666668)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:43.975338,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 100.0, 85.0)","(20.0, 25.0, 20.24074074074074)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 130.0)","(101.0, 300.0, 186.66666666666666)"
11-01-2023 13:19:45.279456,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 100.0, 85.0)","(20.0, 22.0, 20.24074074074074)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 41.6)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 150.0, 130.0)","(101.0, 300.0, 183.33333333333334)"
11-01-2023 13:19:46.627869,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 110.0, 90.0)","(20.0, 22.0, 20.347826086956523)","(101.0, 470.0, 459.0322580645161)","(31.0, 48.0, 45.0)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 150.0, 114.76190476190476)","(101.0, 290.0, 205.0)"
11-01-2023 13:19:48.383417,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 110.0, 90.0)","(20.0, 22.0, 20.347826086956523)","(101.0, 470.0, 459.0322580645161)","(31.0, 50.0, 45.0)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 280.0, 205.0)"
11-01-2023 13:19:49.793644,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 110.0, 90.0)","(20.0, 22.0, 20.166666666666668)","(101.0, 470.0, 459.0322580645161)","(31.0, 50.0, 45.0)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 280.0, 205.0)"
11-01-2023 13:19:51.296690,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 110.0, 90.0)","(20.0, 21.0, 20.591836734693878)","(101.0, 470.0, 459.0322580645161)","(31.0, 50.0, 45.0)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.121176470588235)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 280.0, 205.0)"
11-01-2023 13:19:52.681287,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 110.0, 90.0)","(20.0, 21.0, 20.591836734693878)","(101.0, 470.0, 459.0322580645161)","(31.0, 50.0, 45.0)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.6, 7.4222222222222225)","(1.85, 2.14, 2.1085714285714285)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 280.0, 205.0)"
11-01-2023 13:19:54.048684,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 110.0, 90.0)","(20.0, 21.0, 20.642857142857142)","(101.0, 470.0, 459.0322580645161)","(31.0, 50.0, 45.0)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.6, 7.3875)","(1.85, 2.14, 2.101176470588235)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 280.0, 205.0)"
11-01-2023 13:19:55.506358,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 110.0, 90.0)","(20.0, 22.0, 20.5625)","(101.0, 470.0, 459.0322580645161)","(31.0, 50.0, 45.0)","(13.0, 18.5, 18.09090909090909)","(6.5, 7.8, 7.536363636363637)","(1.85, 2.14, 2.1180000000000003)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 280.0, 205.0)"
11-01-2023 13:19:56.820072,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 110.0, 90.0)","(20.0, 22.0, 20.642857142857142)","(101.0, 470.0, 459.0322580645161)","(31.0, 50.0, 45.0)","(13.0, 18.5, 18.09090909090909)","(6.5, 8.0, 7.87)","(1.85, 2.14, 2.1180000000000003)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 114.76190476190476)","(101.0, 280.0, 205.0)"
11-01-2023 13:19:58.225059,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 110.0, 90.0)","(20.0, 22.0, 20.642857142857142)","(101.0, 470.0, 449.6774193548387)","(31.0, 50.0, 42.666666666666664)","(13.0, 18.5, 18.09090909090909)","(6.5, 8.0, 7.893877551020408)","(1.85, 2.14, 2.1180000000000003)","(9.0, 23.0, 22.09090909090909)","(101.0, 160.0, 125.0)","(101.0, 280.0, 205.0)"
11-01-2023 13:19:59.509629,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 110.0, 80.0)","(20.0, 22.0, 20.642857142857142)","(101.0, 460.0, 449.6774193548387)","(31.0, 48.0, 42.666666666666664)","(13.0, 18.5, 18.09090909090909)","(6.5, 8.0, 7.893877551020408)","(1.85, 2.14, 2.1180000000000003)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 125.0)","(101.0, 280.0, 205.0)"
11-01-2023 13:20:00.856253,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 50.77777777777778)","(71.0, 110.0, 80.0)","(20.0, 22.0, 20.642857142857142)","(101.0, 460.0, 449.6774193548387)","(31.0, 48.0, 42.666666666666664)","(13.0, 18.5, 18.09090909090909)","(6.5, 8.0, 7.893877551020408)","(1.85, 2.14, 2.1180000000000003)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 125.0)","(101.0, 280.0, 205.0)"
11-01-2023 13:20:02.215217,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 50.77777777777778)","(71.0, 110.0, 80.0)","(20.0, 22.0, 20.642857142857142)","(101.0, 460.0, 449.6774193548387)","(31.0, 48.0, 42.666666666666664)","(13.0, 18.5, 18.09090909090909)","(6.5, 8.0, 7.893877551020408)","(1.85, 2.14, 2.1180000000000003)","(9.0, 23.0, 22.09090909090909)","(101.0, 140.0, 130.0)","(101.0, 280.0, 205.0)"
