,My Names Lyn,Coconut Santiago,Cool Whip,Deadly Ambition,Hydro Glide,Romena Charm,Cosmetic Rose
11-01-2023 13:51:15.310342,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.5, 9.639285714285714)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:16.612318,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.5, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:17.902094,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:19.293549,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:20.486964,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:21.692115,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:22.886873,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:24.092174,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:25.451889,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:26.873093,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
