,Obsession Agogo,Ratified,Halwes,Jaggers Lady,Stellar Rising,Louie,Enraged,Worry Less
07-12-2022 14:15:12.929342,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:14.165903,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:15.589857,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:17.047096,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:18.389578,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:19.656710,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:20.906395,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:22.188706,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:23.425487,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:24.634958,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:25.921026,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:27.190790,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:28.412684,"(6.0, 12.0, 10.0)","(8.0, 17.5, 13.86)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:29.886490,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:31.196168,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:32.563059,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:34.222684,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:35.857600,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:37.380081,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:39.214755,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
