,Mr Skylark,Sirius Keith,Cosmic Tom Tom,Aerobic Bella,Regal Pursuit,Switched Out,Skylark Tiara
06-01-2023 14:03:17.225144,"(4.4, 7.0, 5.066666666666666)","(3.7, 8.0, 5.04)","(31.0, 320.0, 176.0)","(15.0, 36.0, 21.625)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.88)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:18.348287,"(4.4, 7.0, 5.133333333333334)","(3.7, 8.0, 5.04)","(31.0, 320.0, 176.0)","(15.0, 36.0, 21.625)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.88)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:19.428523,"(4.4, 7.0, 5.266666666666667)","(3.7, 8.0, 5.04)","(31.0, 320.0, 176.0)","(15.0, 36.0, 21.625)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.88)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:20.450910,"(4.4, 7.0, 5.266666666666667)","(3.7, 8.0, 5.04)","(31.0, 320.0, 176.0)","(15.0, 36.0, 21.625)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.88)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:21.447050,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.6, 6.9399999999999995)","(31.0, 320.0, 176.0)","(15.0, 36.0, 21.625)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.88)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:22.453085,"(4.4, 7.0, 5.133333333333334)","(3.7, 8.0, 5.04)","(31.0, 320.0, 176.0)","(15.0, 36.0, 17.25)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.88)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:23.515729,"(4.4, 7.0, 5.38)","(3.7, 8.0, 5.04)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.725)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:24.488324,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.725)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:25.480742,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.675)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:26.509967,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:27.634209,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:28.765200,"(4.4, 7.0, 6.42)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:29.796494,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:30.798378,"(4.4, 7.0, 5.38)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:31.847150,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:32.934866,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:34.066893,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:35.105475,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:36.057134,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:37.049223,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
