,Be Freaky,Velocity Corene,Lipinski Pie,My Names Jock,Tommy Throttle,Big Merv,Porzingis,Headwood
10-01-2023 13:29:01.716423,"(8.5, 16.5, 9.385714285714284)","(3.1, 4.2, 3.675)","(4.0, 6.4, 5.6000000000000005)","(5.5, 11.0, 5.818181818181818)","(11.0, 24.0, 18.92857142857143)","(7.5, 17.5, 8.842857142857143)","(6.5, 12.5, 6.83)","(13.0, 32.0, 25.823529411764707)"
10-01-2023 13:29:03.118107,"(8.5, 16.5, 9.385714285714284)","(3.1, 4.2, 3.675)","(4.0, 6.4, 5.6000000000000005)","(5.5, 11.0, 5.818181818181818)","(11.0, 24.0, 18.92857142857143)","(7.5, 17.5, 8.842857142857143)","(6.5, 12.5, 6.83)","(13.0, 32.0, 25.823529411764707)"
10-01-2023 13:29:04.472246,"(8.5, 16.5, 9.385714285714284)","(3.1, 4.2, 3.675)","(4.0, 6.4, 5.6000000000000005)","(5.5, 11.0, 5.818181818181818)","(11.0, 24.0, 15.25)","(7.5, 17.5, 13.4)","(6.5, 12.5, 6.83)","(13.0, 32.0, 20.61111111111111)"
10-01-2023 13:29:06.019359,"(8.5, 16.0, 10.149999999999999)","(3.1, 4.2, 3.675)","(4.0, 6.4, 5.6000000000000005)","(5.5, 11.0, 5.818181818181818)","(11.0, 24.0, 15.25)","(7.5, 17.0, 13.4)","(6.5, 12.5, 6.83)","(13.0, 32.0, 20.61111111111111)"
10-01-2023 13:29:07.808493,"(8.5, 16.0, 10.149999999999999)","(3.1, 4.2, 3.675)","(4.0, 6.4, 5.6000000000000005)","(5.5, 11.0, 5.818181818181818)","(11.0, 24.0, 15.25)","(7.5, 17.0, 13.4)","(6.5, 12.5, 6.83)","(13.0, 32.0, 20.61111111111111)"
10-01-2023 13:29:09.236136,"(8.5, 16.0, 10.149999999999999)","(3.1, 4.2, 3.675)","(4.0, 6.4, 5.6000000000000005)","(5.5, 11.0, 5.818181818181818)","(11.0, 24.0, 15.25)","(7.5, 17.0, 13.4)","(6.5, 12.5, 6.83)","(13.0, 32.0, 20.61111111111111)"
10-01-2023 13:29:10.569658,"(8.5, 16.0, 10.149999999999999)","(3.1, 4.2, 3.675)","(4.0, 6.4, 5.6000000000000005)","(5.5, 11.0, 5.818181818181818)","(11.0, 24.0, 15.25)","(7.5, 17.0, 13.4)","(6.5, 12.5, 6.83)","(13.0, 32.0, 20.61111111111111)"
10-01-2023 13:29:11.931044,"(8.5, 16.0, 10.149999999999999)","(3.1, 4.2, 3.675)","(4.0, 6.4, 5.6000000000000005)","(5.5, 11.0, 5.818181818181818)","(11.0, 24.0, 15.25)","(7.5, 17.0, 13.4)","(6.5, 12.5, 6.83)","(13.0, 32.0, 20.61111111111111)"
10-01-2023 13:29:13.291378,"(8.5, 16.0, 10.149999999999999)","(3.1, 4.2, 3.675)","(4.0, 6.4, 5.6000000000000005)","(5.5, 11.0, 5.818181818181818)","(11.0, 24.0, 15.25)","(7.5, 17.0, 13.4)","(6.5, 12.5, 6.83)","(13.0, 32.0, 20.61111111111111)"
10-01-2023 13:29:14.631734,"(8.5, 16.0, 10.149999999999999)","(3.1, 4.2, 3.675)","(4.0, 6.4, 5.6000000000000005)","(5.5, 11.0, 5.818181818181818)","(11.0, 24.0, 15.25)","(7.5, 17.0, 13.4)","(6.5, 12.5, 6.83)","(13.0, 32.0, 20.61111111111111)"
