,Alembee,Conspiracist,Galbalan,Iaintnorockfairy,Smugglers Mate,Turbo Toronado,Annie Belle,Magic Garden,Tee Cee Tracey,Benalta Rain,Persuasive Star
10-01-2023 13:47:57.909656,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.575)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 175.5)","(26.0, 140.0, 69.33333333333334)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 143.33333333333331)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.685714285714285)","(101.0, 230.0, 190.0)"
10-01-2023 13:47:59.447619,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.575)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 175.5)","(26.0, 140.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 143.33333333333331)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.685714285714285)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:00.963447,"(5.0, 6.6, 6.25)","(3.1, 3.75, 3.575)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 143.33333333333331)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.685714285714285)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:02.479028,"(5.0, 6.6, 6.25)","(3.1, 3.75, 3.575)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 143.33333333333331)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.2)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:03.971712,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 143.33333333333331)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.2)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:05.451223,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:06.995390,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:08.731179,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:10.633066,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 190.0, 151.66666666666666)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:12.413297,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 151.66666666666666)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:13.946475,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 151.66666666666666)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:15.414893,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 151.66666666666666)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:16.822047,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 151.66666666666666)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
