,Aussie Axle,Chips No Salad,Spiteful Lad,Betty Boop,Gin And Vodka,Red Revolver
07-12-2022 18:19:34.417786,"(1.35, 1.55, 1.5483333333333333)","(5.5, 8.2, 8.057142857142857)","(31.0, 70.0, 61.92307692307692)","(20.0, 36.0, 32.666666666666664)","(5.5, 7.4, 7.305882352941177)","(16.0, 24.0, 22.0)"
07-12-2022 18:19:35.443619,"(1.35, 1.55, 1.545)","(5.5, 8.2, 8.076923076923077)","(31.0, 65.0, 61.92307692307692)","(20.0, 36.0, 32.666666666666664)","(5.5, 7.4, 7.300000000000001)","(16.0, 24.0, 22.0)"
07-12-2022 18:19:36.400591,"(1.35, 1.55, 1.537741935483871)","(5.5, 8.2, 8.088888888888889)","(31.0, 70.0, 65.38461538461539)","(20.0, 36.0, 32.666666666666664)","(5.5, 7.4, 7.300000000000001)","(16.0, 24.0, 22.0)"
07-12-2022 18:19:37.384472,"(1.35, 1.55, 1.5356)","(5.5, 8.4, 8.2)","(31.0, 65.0, 61.92307692307692)","(20.0, 36.0, 32.666666666666664)","(5.5, 7.4, 7.300000000000001)","(16.0, 24.0, 21.272727272727273)"
07-12-2022 18:19:38.404971,"(1.35, 1.54, 1.5304575163398693)","(5.5, 8.4, 8.181818181818182)","(31.0, 65.0, 61.92307692307692)","(20.0, 36.0, 32.666666666666664)","(5.5, 7.4, 7.300000000000001)","(16.0, 24.0, 21.272727272727273)"
07-12-2022 18:19:39.418656,"(1.35, 1.52, 1.5163636363636364)","(6.0, 8.4, 8.36)","(31.0, 65.0, 60.0)","(21.0, 36.0, 32.666666666666664)","(5.5, 7.6, 7.507692307692308)","(17.0, 24.0, 21.272727272727273)"
07-12-2022 18:19:40.516547,"(1.35, 1.52, 1.5166666666666666)","(6.0, 8.4, 8.355555555555556)","(31.0, 65.0, 60.0)","(21.0, 36.0, 33.27272727272727)","(5.5, 7.6, 7.699999999999999)","(17.0, 24.0, 21.272727272727273)"
07-12-2022 18:19:41.605791,"(1.35, 1.52, 1.5125)","(6.0, 8.4, 8.3)","(31.0, 65.0, 60.0)","(21.0, 36.0, 33.27272727272727)","(5.5, 7.8, 7.723809523809524)","(17.0, 24.0, 21.272727272727273)"
07-12-2022 18:19:42.721737,"(1.35, 1.52, 1.5174193548387096)","(6.0, 8.4, 8.311111111111112)","(31.0, 65.0, 56.111111111111114)","(21.0, 36.0, 33.55555555555556)","(5.5, 7.8, 7.74)","(17.0, 24.0, 21.3)"
07-12-2022 18:19:43.722902,"(1.35, 1.51, 1.50125)","(6.0, 8.6, 8.2)","(31.0, 60.0, 56.25)","(21.0, 40.0, 36.57142857142857)","(5.5, 7.8, 7.729411764705882)","(17.0, 24.0, 21.272727272727273)"
07-12-2022 18:19:44.706352,"(1.35, 1.51, 1.5020689655172415)","(6.0, 8.4, 8.3)","(31.0, 60.0, 56.25)","(21.0, 38.0, 35.78947368421053)","(5.5, 7.8, 7.74)","(17.0, 24.0, 21.272727272727273)"
07-12-2022 18:19:45.674317,"(1.35, 1.51, 1.503125)","(6.0, 8.2, 8.139999999999999)","(31.0, 60.0, 55.625)","(21.0, 38.0, 36.666666666666664)","(5.5, 7.8, 7.733333333333333)","(17.0, 24.0, 22.57894736842105)"
07-12-2022 18:19:46.701194,"(1.35, 1.51, 1.5070833333333333)","(6.0, 8.2, 8.11111111111111)","(31.0, 60.0, 56.25)","(21.0, 40.0, 35.714285714285715)","(5.5, 8.0, 7.857142857142857)","(17.0, 24.0, 22.57894736842105)"
07-12-2022 18:19:47.593280,"(1.35, 1.51, 1.5070833333333333)","(6.0, 8.2, 8.11111111111111)","(31.0, 60.0, 55.833333333333336)","(21.0, 38.0, 37.42857142857143)","(5.5, 8.0, 7.923076923076923)","(17.0, 24.0, 22.57894736842105)"
07-12-2022 18:19:48.475433,"(1.35, 1.51, 1.5070833333333333)","(6.0, 8.2, 8.11111111111111)","(31.0, 60.0, 56.666666666666664)","(21.0, 38.0, 37.42857142857143)","(5.5, 8.0, 7.923076923076923)","(17.0, 24.0, 22.57894736842105)"
07-12-2022 18:19:49.370637,"(1.35, 1.51, 1.5035714285714286)","(6.0, 8.2, 8.11111111111111)","(31.0, 60.0, 56.666666666666664)","(21.0, 38.0, 36.0)","(5.5, 8.0, 7.923076923076923)","(17.0, 24.0, 22.57894736842105)"
07-12-2022 18:19:50.484268,"(1.35, 1.51, 1.5009677419354839)","(6.0, 8.2, 8.11111111111111)","(31.0, 60.0, 55.833333333333336)","(21.0, 38.0, 34.44444444444444)","(5.5, 8.2, 8.064516129032258)","(17.0, 24.0, 22.57894736842105)"
07-12-2022 18:19:51.504667,"(1.35, 1.51, 1.5)","(6.0, 8.2, 8.11111111111111)","(31.0, 60.0, 55.833333333333336)","(21.0, 38.0, 34.44444444444444)","(5.5, 8.2, 8.064516129032258)","(17.0, 24.0, 22.666666666666668)"
07-12-2022 18:19:52.393155,"(1.35, 1.52, 1.5056)","(6.0, 8.0, 7.858823529411764)","(31.0, 60.0, 55.833333333333336)","(21.0, 38.0, 34.8)","(5.5, 8.0, 7.966666666666667)","(17.0, 24.0, 22.666666666666668)"
07-12-2022 18:19:53.389815,"(1.35, 1.52, 1.509090909090909)","(6.0, 7.8, 7.699999999999999)","(31.0, 60.0, 57.5)","(21.0, 38.0, 34.8)","(5.5, 8.2, 8.142857142857142)","(17.0, 24.0, 23.142857142857142)"
07-12-2022 18:19:54.426912,"(1.35, 1.51, 1.5073684210526317)","(6.0, 8.0, 7.8933333333333335)","(31.0, 60.0, 57.5)","(21.0, 38.0, 34.8)","(5.5, 8.2, 8.146666666666667)","(17.0, 24.0, 23.142857142857142)"
07-12-2022 18:19:55.454141,"(1.35, 1.51, 1.50375)","(6.0, 8.0, 7.905882352941177)","(31.0, 60.0, 59.285714285714285)","(21.0, 38.0, 34.8)","(5.5, 8.2, 8.176470588235293)","(17.0, 24.0, 23.142857142857142)"
07-12-2022 18:19:56.699671,"(1.35, 1.51, 1.500625)","(6.0, 8.0, 7.885714285714285)","(31.0, 60.0, 57.5)","(21.0, 40.0, 36.4)","(5.5, 8.4, 8.333333333333334)","(17.0, 24.0, 23.142857142857142)"
07-12-2022 18:19:57.808024,"(1.35, 1.51, 1.4988235294117647)","(6.0, 8.0, 7.885714285714285)","(31.0, 60.0, 57.5)","(21.0, 38.0, 36.4)","(5.5, 8.4, 8.211764705882352)","(17.0, 24.0, 23.142857142857142)"
07-12-2022 18:19:58.840014,"(1.35, 1.51, 1.4959259259259259)","(6.0, 8.0, 7.885714285714285)","(31.0, 60.0, 57.5)","(21.0, 38.0, 36.4)","(5.5, 8.4, 8.35)","(17.0, 24.0, 23.2)"
07-12-2022 18:19:59.760274,"(1.35, 1.51, 1.5030000000000001)","(6.0, 8.0, 7.914285714285715)","(31.0, 60.0, 57.5)","(21.0, 40.0, 34.46153846153846)","(5.5, 8.0, 7.96)","(17.0, 24.0, 23.2)"
07-12-2022 18:20:00.805334,"(1.35, 1.52, 1.5131818181818182)","(6.0, 8.2, 7.949999999999999)","(31.0, 60.0, 57.5)","(21.0, 38.0, 34.8)","(5.5, 7.8, 7.752941176470588)","(17.0, 24.0, 23.142857142857142)"
07-12-2022 18:20:01.851401,"(1.35, 1.51, 1.5077272727272728)","(6.0, 8.2, 7.96470588235294)","(31.0, 60.0, 57.5)","(21.0, 38.0, 34.8)","(5.5, 8.0, 7.625)","(17.0, 24.0, 23.142857142857142)"
07-12-2022 18:20:02.729322,"(1.35, 1.51, 1.5089795918367348)","(6.0, 8.2, 8.046153846153846)","(31.0, 60.0, 57.5)","(21.0, 36.0, 34.666666666666664)","(6.0, 8.0, 7.748148148148148)","(17.0, 24.0, 23.2)"
07-12-2022 18:20:03.804817,"(1.35, 1.52, 1.5189583333333334)","(6.0, 7.8, 7.699999999999999)","(31.0, 70.0, 56.875)","(21.0, 38.0, 35.0)","(6.0, 8.0, 7.822222222222222)","(17.0, 24.0, 23.894736842105264)"
07-12-2022 18:20:04.834103,"(1.35, 1.53, 1.5194736842105263)","(6.0, 7.8, 7.72258064516129)","(31.0, 70.0, 56.875)","(21.0, 38.0, 34.8)","(6.0, 8.0, 7.866666666666666)","(17.0, 24.0, 23.894736842105264)"
07-12-2022 18:20:05.858203,"(1.35, 1.53, 1.5204)","(6.0, 7.6, 7.593103448275862)","(31.0, 70.0, 56.875)","(21.0, 38.0, 34.8)","(6.0, 8.0, 7.92)","(17.0, 26.0, 24.482758620689655)"
07-12-2022 18:20:07.100701,"(1.35, 1.53, 1.5228205128205128)","(6.0, 7.8, 7.593103448275862)","(31.0, 70.0, 58.333333333333336)","(21.0, 40.0, 35.76470588235294)","(6.0, 8.0, 7.918181818181818)","(17.0, 26.0, 24.533333333333335)"
07-12-2022 18:20:08.123524,"(1.35, 1.52, 1.5132394366197184)","(6.0, 7.6, 7.593103448275862)","(31.0, 70.0, 58.333333333333336)","(21.0, 40.0, 36.21052631578947)","(6.0, 8.2, 7.918181818181818)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:09.081006,"(1.35, 1.52, 1.5132394366197184)","(6.0, 7.6, 7.593103448275862)","(31.0, 70.0, 60.0)","(21.0, 40.0, 36.21052631578947)","(6.0, 8.2, 7.918181818181818)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:10.029430,"(1.35, 1.52, 1.5144444444444445)","(6.0, 7.6, 7.593103448275862)","(31.0, 70.0, 62.10526315789474)","(21.0, 40.0, 36.666666666666664)","(6.0, 8.2, 7.918181818181818)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:11.100258,"(1.35, 1.52, 1.5144444444444445)","(6.0, 7.8, 7.618181818181818)","(31.0, 70.0, 62.10526315789474)","(21.0, 40.0, 36.53846153846154)","(6.0, 8.2, 7.892307692307692)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:12.109416,"(1.35, 1.52, 1.5144444444444445)","(6.0, 7.8, 7.641269841269842)","(31.0, 70.0, 62.10526315789474)","(21.0, 40.0, 36.53846153846154)","(6.0, 8.0, 7.892307692307692)","(17.0, 26.0, 25.428571428571427)"
