,Secret Hustle,Barry Cool,Samurai Mind,Shaq Owes,Tap Out Mickey,Remedy,Zafar Bale,Showtime Lydia
07-12-2022 18:23:02.571524,"(8.0, 14.5, 11.65)","(4.4, 6.8, 6.56)","(2.3, 2.5, 2.3657142857142857)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 17.75)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 11.742857142857144)"
07-12-2022 18:23:04.169622,"(8.0, 14.5, 11.65)","(4.4, 6.8, 6.56)","(2.3, 2.48, 2.424444444444444)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 17.75)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.05)"
07-12-2022 18:23:05.414067,"(8.0, 14.5, 11.65)","(4.4, 6.8, 6.56)","(2.3, 2.48, 2.424444444444444)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 20.8)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.05)"
07-12-2022 18:23:06.957716,"(8.0, 14.5, 11.65)","(4.4, 6.8, 6.56)","(2.3, 2.54, 2.428888888888889)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 17.75)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.05)"
07-12-2022 18:23:08.367960,"(8.0, 14.5, 11.65)","(4.4, 6.8, 6.56)","(2.3, 2.52, 2.42)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.5)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.05)"
07-12-2022 18:23:09.865493,"(8.0, 14.5, 11.65)","(4.4, 6.8, 6.56)","(2.3, 2.52, 2.431111111111111)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.5)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.45)"
07-12-2022 18:23:11.320412,"(8.0, 14.5, 13.945454545454545)","(4.4, 6.8, 6.56)","(2.3, 2.52, 2.3873563218390803)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 17.75)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:12.816228,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.56)","(2.3, 2.54, 2.4434883720930234)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.0)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:14.328028,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.54, 2.42)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.0)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:15.918600,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.56)","(2.3, 2.52, 2.442222222222222)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.0)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:17.441068,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.56)","(2.3, 2.52, 2.4255172413793105)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.0)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:18.900537,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.56)","(2.3, 2.54, 2.4255172413793105)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.0)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:20.731594,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.52, 2.445)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.944444444444443)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:22.353858,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.52, 2.445)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.944444444444443)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:23.599202,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.54, 2.4255172413793105)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.944444444444443)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:24.883663,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.56)","(2.3, 2.52, 2.42)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 17.75)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:26.295507,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.56)","(2.3, 2.52, 2.42)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 17.75)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:27.765256,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.56)","(2.3, 2.54, 2.3491954022988506)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 17.75)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:29.320518,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.56)","(2.3, 2.52, 2.396923076923077)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 20.9)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:30.787723,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.52, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.833333333333336)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:32.449810,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.833333333333336)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:34.007558,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.0)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:35.468071,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.75)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:36.851856,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.75)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:38.274397,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.0)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 10.2)"
07-12-2022 18:23:39.755286,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.833333333333336)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 12.225)"
07-12-2022 18:23:40.957591,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.833333333333336)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 13.48)"
07-12-2022 18:23:42.286038,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.333333333333336)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:43.646855,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 22.09090909090909)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:45.039031,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 20.625)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:46.321228,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 20.625)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:47.522254,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 20.625)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:48.799433,"(8.0, 14.5, 12.533333333333333)","(4.4, 6.8, 6.628571428571428)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.642857142857142)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:50.089983,"(8.0, 14.5, 13.32)","(4.4, 6.8, 6.707692307692307)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.642857142857142)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:51.527947,"(8.0, 14.5, 13.32)","(4.4, 6.8, 6.707692307692307)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.642857142857142)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:53.276669,"(8.0, 14.5, 13.32)","(4.4, 6.8, 6.707692307692307)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.642857142857142)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:54.942816,"(8.0, 14.5, 13.32)","(4.4, 6.8, 6.707692307692307)","(2.3, 2.5, 2.4363636363636365)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 22.0)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:56.602625,"(8.0, 14.5, 13.32)","(4.4, 6.8, 6.707692307692307)","(2.3, 2.5, 2.393333333333333)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 22.307692307692307)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
