,Brooklyn Star,Tobikuma,Off The Radar,Elbow Yap,Red Fog,Magic Eyeliner
08-01-2023 16:28:49.053097,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:28:50.081463,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:28:51.127153,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:28:52.279454,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:28:53.409921,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:28:54.439633,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:28:55.499874,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:28:56.618954,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:28:57.638133,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.9230769230769234)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:28:58.658307,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.9230769230769234)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:28:59.753187,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.9230769230769234)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:00.754721,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.9230769230769234)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:01.929298,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.9230769230769234)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 12.444444444444445)"
08-01-2023 16:29:03.030846,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 12.444444444444445)"
08-01-2023 16:29:04.236428,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 12.444444444444445)"
08-01-2023 16:29:05.328133,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 12.444444444444445)"
08-01-2023 16:29:06.473205,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 12.444444444444445)"
08-01-2023 16:29:07.502914,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 12.444444444444445)"
08-01-2023 16:29:08.588259,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:09.623673,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:10.679023,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:11.751555,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
