,Visualise Me,Magic Miss,Lucky Jock,Pole Inspector,You May Annie,Ha Ha Lucky,November,Grovely Flyer
0,"[datetime.datetime(2022, 11, 27, 20, 32, 46, 987479), 3.1, 3.35]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 987479), 9.0, 17.0]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 987479), 11.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 987479), 12.0, 16.5]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 987479), 21.0, 40.0]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 987479), 3.4, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 987479), 3.0, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 987479), 41.0, 150.0]"
1,"[datetime.datetime(2022, 11, 27, 20, 32, 48, 133230), 3.1, 3.35]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 133230), 9.0, 17.0]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 133230), 11.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 133230), 12.0, 16.5]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 133230), 21.0, 40.0]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 133230), 3.4, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 133230), 3.0, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 133230), 41.0, 150.0]"
2,"[datetime.datetime(2022, 11, 27, 20, 32, 49, 289672), 3.1, 3.35]","[datetime.datetime(2022, 11, 27, 20, 32, 49, 289672), 9.0, 17.0]","[datetime.datetime(2022, 11, 27, 20, 32, 49, 289672), 11.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 49, 289672), 12.0, 16.5]","[datetime.datetime(2022, 11, 27, 20, 32, 49, 289672), 21.0, 40.0]","[datetime.datetime(2022, 11, 27, 20, 32, 49, 289672), 3.4, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 49, 289672), 3.0, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 49, 289672), 41.0, 150.0]"
3,"[datetime.datetime(2022, 11, 27, 20, 32, 50, 442035), 3.1, 3.35]","[datetime.datetime(2022, 11, 27, 20, 32, 50, 442035), 9.0, 17.0]","[datetime.datetime(2022, 11, 27, 20, 32, 50, 442035), 11.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 50, 442035), 12.0, 16.5]","[datetime.datetime(2022, 11, 27, 20, 32, 50, 442035), 21.0, 40.0]","[datetime.datetime(2022, 11, 27, 20, 32, 50, 442035), 3.4, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 50, 442035), 3.0, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 50, 442035), 41.0, 150.0]"
4,"[datetime.datetime(2022, 11, 27, 20, 32, 51, 578278), 3.1, 3.35]","[datetime.datetime(2022, 11, 27, 20, 32, 51, 578278), 9.0, 17.0]","[datetime.datetime(2022, 11, 27, 20, 32, 51, 578278), 11.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 51, 578278), 12.0, 16.5]","[datetime.datetime(2022, 11, 27, 20, 32, 51, 578278), 21.0, 40.0]","[datetime.datetime(2022, 11, 27, 20, 32, 51, 578278), 3.4, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 51, 578278), 3.0, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 51, 578278), 41.0, 150.0]"
5,"[datetime.datetime(2022, 11, 27, 20, 32, 52, 721208), 3.1, 3.35]","[datetime.datetime(2022, 11, 27, 20, 32, 52, 721208), 9.0, 17.0]","[datetime.datetime(2022, 11, 27, 20, 32, 52, 721208), 11.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 52, 721208), 12.0, 16.5]","[datetime.datetime(2022, 11, 27, 20, 32, 52, 721208), 21.0, 40.0]","[datetime.datetime(2022, 11, 27, 20, 32, 52, 721208), 3.4, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 52, 721208), 3.0, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 52, 721208), 41.0, 150.0]"
6,"[datetime.datetime(2022, 11, 27, 20, 32, 53, 866805), 3.1, 3.35]","[datetime.datetime(2022, 11, 27, 20, 32, 53, 866805), 9.0, 17.0]","[datetime.datetime(2022, 11, 27, 20, 32, 53, 866805), 11.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 53, 866805), 12.0, 16.5]","[datetime.datetime(2022, 11, 27, 20, 32, 53, 866805), 21.0, 40.0]","[datetime.datetime(2022, 11, 27, 20, 32, 53, 866805), 3.4, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 53, 866805), 3.0, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 53, 866805), 41.0, 150.0]"
7,"[datetime.datetime(2022, 11, 27, 20, 32, 55, 4347), 3.1, 3.35]","[datetime.datetime(2022, 11, 27, 20, 32, 55, 4347), 9.0, 17.0]","[datetime.datetime(2022, 11, 27, 20, 32, 55, 4347), 11.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 55, 4347), 12.0, 16.5]","[datetime.datetime(2022, 11, 27, 20, 32, 55, 4347), 21.0, 40.0]","[datetime.datetime(2022, 11, 27, 20, 32, 55, 4347), 3.4, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 55, 4347), 3.0, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 55, 4347), 41.0, 150.0]"
8,"[datetime.datetime(2022, 11, 27, 20, 32, 56, 133642), 3.1, 3.35]","[datetime.datetime(2022, 11, 27, 20, 32, 56, 133642), 9.0, 17.0]","[datetime.datetime(2022, 11, 27, 20, 32, 56, 133642), 11.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 56, 133642), 12.0, 16.5]","[datetime.datetime(2022, 11, 27, 20, 32, 56, 133642), 21.0, 40.0]","[datetime.datetime(2022, 11, 27, 20, 32, 56, 133642), 3.4, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 56, 133642), 3.0, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 56, 133642), 41.0, 150.0]"
9,"[datetime.datetime(2022, 11, 27, 20, 32, 57, 282651), 3.1, 3.35]","[datetime.datetime(2022, 11, 27, 20, 32, 57, 282651), 9.0, 17.0]","[datetime.datetime(2022, 11, 27, 20, 32, 57, 282651), 11.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 57, 282651), 12.0, 16.5]","[datetime.datetime(2022, 11, 27, 20, 32, 57, 282651), 21.0, 40.0]","[datetime.datetime(2022, 11, 27, 20, 32, 57, 282651), 3.4, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 57, 282651), 3.0, 5.0]","[datetime.datetime(2022, 11, 27, 20, 32, 57, 282651), 41.0, 150.0]"
