,Shintaro Fury,Express Black,Beasley,Grab The Pizzas,Tommy Throttle,Way Too Soft
16-12-2022 13:18:25.677245,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 5.666666666666667)"
16-12-2022 13:18:26.703981,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 5.666666666666667)"
16-12-2022 13:18:27.656363,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 5.666666666666667)"
16-12-2022 13:18:28.650936,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 6.8, 5.133333333333333)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:29.515720,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 6.8, 5.095454545454546)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:30.437813,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 6.8, 5.095454545454546)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:31.426225,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 6.8, 5.095454545454546)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:32.300839,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 6.8, 5.095454545454546)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:33.211736,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:34.069492,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:34.991510,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
