,Happy As,Jogalong Blue,Eagle Uno,Im Freyja,Laker,Caribbean Spice,Knight Walker,Pocket More For Less Nz,Nightwatch Star,Caesars Rockstar
05-01-2023 13:28:37.330474,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 175.71428571428572)","(101.0, 230.0, 205.83333333333334)","(31.0, 120.0, 51.42857142857143)","(4.0, 99999, 99990)","(3.7, 8.0, 5.133333333333334)","(19.0, 55.0, 34.75)"
05-01-2023 13:28:38.711633,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 175.71428571428572)","(101.0, 230.0, 205.83333333333334)","(31.0, 120.0, 51.42857142857143)","(4.0, 99999, 99990)","(3.7, 8.0, 5.133333333333334)","(19.0, 55.0, 34.75)"
05-01-2023 13:28:40.297125,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 175.71428571428572)","(101.0, 230.0, 205.83333333333334)","(31.0, 120.0, 51.42857142857143)","(4.0, 99999, 99990)","(3.7, 8.0, 5.133333333333334)","(19.0, 55.0, 34.75)"
05-01-2023 13:28:41.736251,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 175.71428571428572)","(101.0, 230.0, 205.83333333333334)","(31.0, 120.0, 51.42857142857143)","(4.0, 99999, 99990)","(3.7, 8.0, 6.828571428571427)","(19.0, 55.0, 34.75)"
05-01-2023 13:28:43.355720,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 175.71428571428572)","(101.0, 230.0, 205.83333333333334)","(31.0, 120.0, 51.42857142857143)","(4.0, 99999, 99990)","(3.7, 8.0, 6.885714285714285)","(19.0, 55.0, 34.75)"
05-01-2023 13:28:44.700099,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 175.71428571428572)","(101.0, 230.0, 205.83333333333334)","(31.0, 120.0, 51.42857142857143)","(4.0, 99999, 99990)","(3.7, 8.0, 6.48)","(19.0, 55.0, 34.75)"
05-01-2023 13:28:46.172984,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 175.71428571428572)","(101.0, 230.0, 205.83333333333334)","(31.0, 120.0, 51.42857142857143)","(4.0, 99999, 99990)","(3.7, 8.0, 7.55)","(19.0, 55.0, 34.75)"
05-01-2023 13:28:47.453329,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 175.71428571428572)","(101.0, 230.0, 205.83333333333334)","(31.0, 120.0, 51.42857142857143)","(4.0, 99999, 99990)","(3.7, 8.0, 7.55)","(19.0, 55.0, 34.75)"
05-01-2023 13:28:48.805348,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 175.71428571428572)","(101.0, 230.0, 205.83333333333334)","(31.0, 120.0, 51.42857142857143)","(4.0, 99999, 99990)","(3.7, 8.0, 7.0285714285714285)","(19.0, 55.0, 34.75)"
05-01-2023 13:28:50.273702,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 175.71428571428572)","(101.0, 230.0, 205.83333333333334)","(31.0, 120.0, 51.42857142857143)","(4.0, 99999, 99990)","(3.7, 8.0, 7.285714285714286)","(19.0, 55.0, 34.75)"
