,Velocity Justice,Cyclone Rinaldo,Baby Thor,Lektra Left,Heslea,Nannys Magic,Double Espresso
06-01-2023 13:14:21.856310,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.328571428571428)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:23.037408,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.328571428571428)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:24.267128,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.328571428571428)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:25.617604,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.328571428571428)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:26.663131,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.328571428571428)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:27.824909,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.328571428571428)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:28.924231,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.1571428571428575)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:30.161722,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:31.421462,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:32.651760,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:34.038841,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:35.397133,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:36.652759,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
