,Hard Case Watson,Big Prediction,Crazy Dream,Ripplebrook Snip,Blaze Maker,Aston Hackett,Our Girl Daisy
14-12-2022 11:59:43.258536,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.955555555555556)","(31.0, 110.0, 57.5)","(5.5, 11.5, 8.55)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:44.472259,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.955555555555556)","(31.0, 110.0, 57.5)","(5.5, 11.5, 8.55)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:45.673242,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.955555555555556)","(31.0, 110.0, 57.5)","(5.5, 11.5, 8.55)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:46.785516,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.955555555555556)","(31.0, 110.0, 57.5)","(5.5, 11.5, 8.55)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:47.817010,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.955555555555556)","(31.0, 110.0, 57.5)","(5.5, 11.5, 8.55)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:48.813827,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.955555555555556)","(31.0, 110.0, 57.5)","(5.5, 11.5, 8.55)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:49.857596,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:50.919065,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:52.058343,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:53.282555,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:54.497580,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:55.653221,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:56.778847,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:57.898267,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 11:59:58.983528,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 4.072)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:00.002201,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:00.994932,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:02.031047,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:03.062496,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:04.078328,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:05.236344,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:06.338087,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:07.333653,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:08.531963,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:09.731226,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:10.817014,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:11.850030,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:12.950561,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
