,Hez Razor Sharp,Endeavour Stride,Jack James,Beast Mode,Seal The Destiny,Iden Miss Lucy,Equity Stride,Urus Nz,Wheres The Gold Nz,We Salute You,Lynryd Skynryd Nz
08-01-2023 17:59:07.783417,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:09.544321,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:11.015473,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:12.500853,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:14.074902,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:15.614886,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:17.132658,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:18.674961,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:20.151722,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:21.698452,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:23.192563,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:24.583917,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:25.967264,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:27.510182,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:29.065105,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
