,Chocolateicecream,Reach The Circle,Tashkent,Limbos Promise,Big Money Machine,Fra Mauro,Deanos Cape,Got Mojo
16-12-2022 13:11:47.386225,"(9.0, 14.5, 12.9875)","(19.0, 90.0, 70.44444444444444)","(3.0, 2.08, 2.0054545454545454)","(15.0, 36.0, 23.25)","(3.2, 18.5, 12.25)","(8.5, 10.0, 7.428571428571429)","(5.0, 15.5, 10.649999999999999)","(19.0, 260.0, 82.14285714285714)"
16-12-2022 13:11:48.578501,"(9.0, 14.0, 12.9875)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.06, 2.0054545454545454)","(15.0, 34.0, 23.25)","(3.2, 18.5, 12.25)","(8.5, 10.0, 7.428571428571429)","(5.0, 15.5, 12.881818181818183)","(19.0, 250.0, 132.5)"
16-12-2022 13:11:49.697428,"(9.0, 14.0, 12.9875)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.06, 2.0054545454545454)","(15.0, 34.0, 23.25)","(3.2, 18.5, 12.25)","(8.5, 10.0, 7.428571428571429)","(5.0, 15.5, 12.71)","(19.0, 250.0, 132.5)"
16-12-2022 13:11:50.888093,"(9.0, 14.0, 12.9875)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.06, 2.0054545454545454)","(15.0, 34.0, 23.25)","(3.2, 18.5, 12.25)","(8.5, 10.0, 7.375)","(5.0, 15.5, 12.71)","(19.0, 250.0, 132.5)"
16-12-2022 13:11:52.084934,"(9.0, 14.0, 12.9875)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.06, 2.0)","(15.0, 34.0, 23.25)","(3.2, 18.5, 12.25)","(8.5, 10.0, 7.375)","(5.0, 15.5, 12.71)","(19.0, 250.0, 132.5)"
16-12-2022 13:11:53.177532,"(9.0, 14.0, 12.9875)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.04, 2.0)","(15.0, 34.0, 23.25)","(3.2, 18.5, 12.25)","(8.5, 10.0, 7.375)","(5.0, 15.5, 12.71)","(19.0, 250.0, 132.5)"
16-12-2022 13:11:54.213945,"(9.0, 14.0, 12.9875)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.04, 2.0)","(15.0, 34.0, 23.25)","(3.2, 18.5, 12.25)","(8.5, 10.0, 7.375)","(5.0, 15.5, 12.71)","(19.0, 250.0, 132.5)"
16-12-2022 13:11:55.317865,"(9.0, 14.0, 12.9875)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.04, 2.0)","(15.0, 34.0, 23.25)","(3.2, 18.5, 12.25)","(8.5, 10.0, 9.183333333333334)","(5.0, 15.5, 10.95)","(19.0, 250.0, 132.5)"
16-12-2022 13:11:56.381769,"(9.0, 14.0, 12.9875)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.04, 2.0)","(15.0, 34.0, 25.4)","(3.2, 18.5, 12.25)","(8.5, 10.0, 9.183333333333334)","(5.0, 15.5, 10.95)","(19.0, 250.0, 132.5)"
16-12-2022 13:11:57.461819,"(9.0, 14.0, 12.05)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.04, 2.0)","(15.0, 34.0, 25.4)","(3.2, 18.5, 12.25)","(8.5, 10.0, 7.8999999999999995)","(5.0, 15.5, 10.7)","(19.0, 250.0, 132.5)"
