,Hampton Bay,Noztrabeel,Olympic Honour,Poet Warrior,Rustic Charm,American Jewel,Cashmore,Just For Curiosity,Prewingo,Fairy Fling,Gaynik,Smashing Hit,Waning Weasel,Hathaway
14-12-2022 18:46:00.642850,"(16.0, 23.0, 21.666666666666668)","(5.0, 6.6, 6.229411764705882)","(5.5, 6.0, 6.049027237354085)","(16.0, 23.0, 20.083333333333332)","(8.5, 12.5, 11.166666666666666)","(10.0, 12.0, 11.989583333333334)","(31.0, 65.0, 57.5)","(6.0, 7.2, 7.116666666666667)","(5.0, 6.4, 5.955555555555556)","(21.0, 42.0, 40.5)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 58.8)","(101.0, 430.0, 410.0)","(19.0, 25.0, 23.057142857142857)"
14-12-2022 18:46:02.355943,"(16.0, 23.0, 21.666666666666668)","(5.0, 6.6, 6.229411764705882)","(5.5, 6.2, 6.049027237354085)","(16.0, 23.0, 20.083333333333332)","(8.5, 12.5, 11.61111111111111)","(10.0, 12.0, 11.989583333333334)","(31.0, 75.0, 58.5)","(6.0, 7.2, 6.432142857142857)","(5.0, 6.4, 6.1125)","(21.0, 42.0, 40.5)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 63.0)","(101.0, 430.0, 410.0)","(19.0, 25.0, 23.057142857142857)"
14-12-2022 18:46:03.906359,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.6, 6.2594594594594595)","(5.5, 6.2, 6.049802371541502)","(16.0, 23.0, 20.083333333333332)","(8.5, 12.5, 11.166666666666666)","(10.0, 12.0, 11.989583333333334)","(31.0, 75.0, 63.33333333333333)","(6.0, 6.6, 6.729411764705882)","(5.0, 6.4, 6.00344827586207)","(21.0, 42.0, 43.2)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 63.0)","(101.0, 430.0, 410.0)","(19.0, 25.0, 23.057142857142857)"
14-12-2022 18:46:05.370911,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.6, 6.2594594594594595)","(5.5, 6.2, 6.049802371541502)","(16.0, 23.0, 20.083333333333332)","(8.5, 12.5, 11.166666666666666)","(10.0, 12.0, 11.994252873563218)","(31.0, 75.0, 63.33333333333333)","(6.0, 6.8, 6.729411764705882)","(5.0, 6.4, 6.00344827586207)","(21.0, 48.0, 43.2)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 63.0)","(101.0, 430.0, 410.0)","(19.0, 25.0, 23.057142857142857)"
14-12-2022 18:46:06.808860,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.6, 6.2594594594594595)","(5.5, 6.2, 6.009655172413793)","(16.0, 23.0, 20.083333333333332)","(8.5, 12.5, 11.166666666666666)","(10.0, 12.0, 11.994252873563218)","(31.0, 75.0, 53.0)","(6.0, 6.8, 6.747826086956522)","(5.0, 6.4, 6.032)","(21.0, 48.0, 43.2)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 63.0)","(101.0, 430.0, 410.0)","(19.0, 25.0, 23.057142857142857)"
14-12-2022 18:46:08.260731,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.4, 6.079012345679012)","(5.5, 6.2, 6.009655172413793)","(16.0, 23.0, 20.083333333333332)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.994252873563218)","(31.0, 75.0, 53.0)","(6.0, 6.8, 6.747826086956522)","(5.0, 6.4, 6.032)","(21.0, 48.0, 43.2)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 63.0)","(101.0, 430.0, 410.0)","(19.0, 25.0, 23.057142857142857)"
14-12-2022 18:46:09.976773,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.4, 6.050526315789473)","(5.5, 6.2, 6.014736842105263)","(16.0, 22.0, 20.333333333333332)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.98611111111111)","(31.0, 75.0, 53.0)","(6.0, 7.0, 6.923333333333333)","(5.0, 6.4, 6.032)","(21.0, 48.0, 43.2)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 63.0)","(101.0, 430.0, 410.0)","(19.0, 25.0, 23.057142857142857)"
14-12-2022 18:46:11.520857,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.4, 6.013651877133106)","(5.5, 6.2, 6.014736842105263)","(16.0, 22.0, 20.333333333333332)","(8.5, 12.5, 11.166666666666666)","(10.0, 12.0, 11.98611111111111)","(31.0, 75.0, 61.0)","(6.0, 7.0, 7.179746835443038)","(5.0, 6.4, 5.974074074074075)","(21.0, 48.0, 43.2)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 63.0)","(101.0, 430.0, 410.0)","(19.0, 25.0, 23.057142857142857)"
14-12-2022 18:46:13.019218,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.4, 6.013651877133106)","(5.5, 6.2, 6.014736842105263)","(16.0, 22.0, 20.333333333333332)","(8.5, 12.5, 11.166666666666666)","(10.0, 12.0, 11.98611111111111)","(31.0, 75.0, 61.0)","(6.0, 7.2, 7.179746835443038)","(5.0, 6.4, 5.974074074074075)","(21.0, 48.0, 43.2)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 63.0)","(101.0, 430.0, 380.0)","(19.0, 25.0, 22.16216216216216)"
14-12-2022 18:46:14.670894,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.4, 6.013651877133106)","(5.5, 6.2, 6.014736842105263)","(16.0, 22.0, 20.333333333333332)","(8.5, 12.5, 11.166666666666666)","(10.0, 12.0, 11.966666666666667)","(31.0, 75.0, 61.0)","(6.0, 7.2, 7.179746835443038)","(5.0, 6.4, 5.974074074074075)","(21.0, 48.0, 43.2)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 63.0)","(101.0, 410.0, 356.0)","(19.0, 25.0, 22.16216216216216)"
