,Destructor,Holy Spy,Bold Prophet,You Can Tell Me,Skittish,Little Bay Horse,Monetary Gains,Westozi,Schnoots,La Dette,Pearlsndiamonds
07-01-2023 17:08:03.932984,"(41.0, 150.0, 82.0)","(16.0, 21.0, 20.333333333333332)","(31.0, 100.0, 88.0)","(4.6, 6.6, 6.031111111111111)","(21.0, 36.0, 32.0)","(81.0, 140.0, 100.0)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:05.245894,"(41.0, 150.0, 82.0)","(16.0, 21.0, 20.333333333333332)","(31.0, 100.0, 88.0)","(4.6, 6.6, 6.031111111111111)","(21.0, 36.0, 32.0)","(81.0, 140.0, 100.0)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:06.610894,"(41.0, 150.0, 82.0)","(16.0, 21.0, 20.333333333333332)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.333333333333334)","(21.0, 36.0, 29.5)","(81.0, 140.0, 122.85714285714286)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:07.898736,"(41.0, 150.0, 82.0)","(16.0, 21.0, 20.333333333333332)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.333333333333334)","(21.0, 34.0, 28.5)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:09.390950,"(41.0, 150.0, 82.0)","(16.0, 21.0, 20.333333333333332)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.333333333333334)","(21.0, 34.0, 25.444444444444443)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:10.944896,"(41.0, 150.0, 82.0)","(16.0, 21.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.333333333333334)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:12.388855,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:14.164208,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:15.716282,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:16.988086,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:18.345648,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:19.719541,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:21.259365,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:22.690677,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
