,Scenic Sky,Muscletonian,Meet Michaelangelo,Uncle Louis Nz,Lord Chancellor,Aldebaran Alissa Nz,Millys Magic
09-01-2023 12:59:12.397768,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:13.655959,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:14.922569,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:16.239710,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:17.546808,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:18.801279,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:19.998529,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:21.242056,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:22.489987,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:23.678570,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:24.793767,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:25.797741,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:26.958803,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:28.149991,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:29.353311,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:30.529898,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:31.687530,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:32.834982,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:33.957133,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:35.002291,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:36.076747,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:37.035162,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:38.203563,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:39.472958,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:40.663295,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:41.806896,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:42.882706,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:43.938944,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:45.042532,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:46.160037,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:47.165975,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:48.150923,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:49.209881,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
