,Straight Shot,Big Time Gift,Go Norman,Big Time Polo,Check Me Out,Big Time Brindle,Denuto,Big Time Punga
06-01-2023 13:56:53.849886,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.391666666666666)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 18.0, 14.666666666666666)","(6.0, 11.0, 9.333333333333334)"
06-01-2023 13:56:55.089616,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.391666666666666)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.666666666666666)","(6.0, 11.0, 9.333333333333334)"
06-01-2023 13:56:56.294292,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.391666666666666)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.666666666666666)","(6.0, 11.0, 9.333333333333334)"
06-01-2023 13:56:57.537306,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.391666666666666)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.666666666666666)","(6.0, 11.0, 10.66875)"
06-01-2023 13:56:58.847753,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.391666666666666)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.666666666666666)","(6.0, 11.0, 9.266666666666666)"
06-01-2023 13:57:00.063169,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.391666666666666)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.666666666666666)","(6.0, 11.0, 9.266666666666666)"
06-01-2023 13:57:01.280770,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.391666666666666)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.666666666666666)","(6.0, 11.0, 9.266666666666666)"
06-01-2023 13:57:02.436650,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.391666666666666)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.666666666666666)","(6.0, 11.0, 9.266666666666666)"
06-01-2023 13:57:03.550889,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.391666666666666)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.666666666666666)","(6.0, 11.0, 9.266666666666666)"
06-01-2023 13:57:04.784106,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.438461538461539)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 18.16875)","(6.0, 11.0, 9.266666666666666)"
06-01-2023 13:57:06.000660,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.438461538461539)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.599999999999998)","(6.0, 11.0, 9.266666666666666)"
06-01-2023 13:57:07.089502,"(11.0, 22.0, 18.0)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.438461538461539)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.599999999999998)","(6.0, 11.0, 9.266666666666666)"
06-01-2023 13:57:08.278587,"(11.0, 23.0, 18.666666666666664)","(15.0, 32.0, 20.333333333333332)","(11.0, 21.0, 14.0)","(3.9, 11.0, 10.438461538461539)","(4.4, 6.6, 6.135483870967742)","(3.9, 5.8, 4.75)","(6.0, 19.0, 14.599999999999998)","(6.0, 11.0, 9.266666666666666)"
