,Desert Safari,Hes For The Girls,Mishani Maverick,Quasimoto,Royal Entrance,Sonny Daze,Worx,Limero
07-01-2023 12:23:06.541623,"(12.0, 12.5, 12.095)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.026717557251908)","(2.4, 2.8, 2.7907692307692304)","(12.0, 13.5, 13.295454545454545)","(6.5, 7.4, 7.347826086956522)","(8.0, 8.8, 8.63225806451613)"
07-01-2023 12:23:07.672656,"(12.0, 12.5, 12.095)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.026717557251908)","(2.4, 2.8, 2.7907692307692304)","(12.0, 13.5, 13.295454545454545)","(6.5, 7.4, 7.347826086956522)","(8.0, 8.8, 8.63225806451613)"
07-01-2023 12:23:08.793306,"(12.0, 12.5, 12.095)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.026717557251908)","(2.4, 2.8, 2.7907692307692304)","(12.0, 13.5, 12.342105263157894)","(6.5, 7.4, 7.347826086956522)","(8.0, 8.8, 8.63225806451613)"
07-01-2023 12:23:09.884696,"(12.0, 12.5, 12.095)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.026717557251908)","(2.4, 2.8, 2.7907692307692304)","(12.0, 12.5, 12.282608695652174)","(6.5, 7.4, 7.347826086956522)","(8.0, 8.8, 8.63225806451613)"
07-01-2023 12:23:11.057460,"(12.0, 12.5, 12.095)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.026717557251908)","(2.4, 2.8, 2.7907692307692304)","(12.0, 12.5, 12.348484848484848)","(6.5, 7.4, 7.353846153846154)","(8.0, 8.8, 8.63225806451613)"
07-01-2023 12:23:12.144804,"(12.0, 12.5, 12.095)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.026717557251908)","(2.4, 2.8, 2.7907692307692304)","(12.0, 12.5, 12.348484848484848)","(6.5, 7.4, 7.353846153846154)","(8.0, 8.8, 8.63225806451613)"
07-01-2023 12:23:13.209199,"(12.0, 12.5, 12.095)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.026717557251908)","(2.4, 2.8, 2.7907692307692304)","(12.0, 12.5, 12.348484848484848)","(6.5, 7.4, 7.353846153846154)","(8.0, 8.8, 8.63225806451613)"
07-01-2023 12:23:14.380155,"(12.0, 12.5, 12.128440366972477)","(71.0, 100.0, 88.0)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.026717557251908)","(2.4, 2.8, 2.7872413793103448)","(12.0, 12.5, 12.348484848484848)","(6.5, 7.4, 7.353846153846154)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:15.509722,"(12.0, 12.0, 11.814285714285715)","(71.0, 100.0, 88.0)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.021167883211679)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.348484848484848)","(6.5, 7.4, 7.353846153846154)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:16.670921,"(12.0, 12.0, 11.741379310344827)","(71.0, 100.0, 88.0)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.021167883211679)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.348484848484848)","(6.5, 7.4, 7.331147540983607)","(8.0, 8.8, 8.666666666666668)"
