,Desert Safari,Hes For The Girls,Mishani Maverick,Quasimoto,Royal Entrance,Sonny Daze,Worx,Limero
07-01-2023 12:26:53.567908,"(11.0, 12.0, 11.921739130434784)","(71.0, 100.0, 76.66666666666667)","(51.0, 90.0, 83.84615384615384)","(3.7, 5.6, 5.5285714285714285)","(2.4, 2.86, 2.856749116607774)","(11.0, 12.5, 12.277777777777779)","(6.0, 6.8, 6.6380952380952385)","(8.0, 9.0, 8.810526315789474)"
07-01-2023 12:26:54.856291,"(11.0, 12.0, 11.921739130434784)","(71.0, 100.0, 76.66666666666667)","(51.0, 90.0, 83.84615384615384)","(3.7, 5.6, 5.5285714285714285)","(2.4, 2.86, 2.8613793103448275)","(11.0, 12.5, 12.277777777777779)","(6.0, 6.8, 6.6380952380952385)","(8.0, 9.0, 8.76)"
07-01-2023 12:26:56.095920,"(11.0, 12.0, 11.921739130434784)","(71.0, 100.0, 76.66666666666667)","(51.0, 90.0, 83.84615384615384)","(3.7, 5.6, 5.483870967741936)","(2.4, 2.9, 2.8705263157894736)","(11.0, 12.5, 12.277777777777779)","(6.0, 6.8, 6.6380952380952385)","(8.0, 9.0, 8.76)"
07-01-2023 12:26:57.442518,"(11.0, 12.0, 11.921739130434784)","(71.0, 100.0, 76.66666666666667)","(51.0, 90.0, 83.84615384615384)","(3.7, 5.6, 5.483870967741936)","(2.4, 2.9, 2.8652631578947365)","(11.0, 12.5, 12.277777777777779)","(6.0, 6.8, 6.6380952380952385)","(8.0, 9.0, 8.76)"
07-01-2023 12:26:58.811741,"(11.0, 12.5, 12.014018691588785)","(71.0, 100.0, 76.66666666666667)","(51.0, 90.0, 83.84615384615384)","(3.7, 5.6, 5.483870967741936)","(2.4, 2.88, 2.8652631578947365)","(11.0, 12.5, 12.277777777777779)","(6.0, 6.8, 6.6380952380952385)","(8.0, 9.0, 8.76)"
07-01-2023 12:27:00.179469,"(11.0, 12.0, 11.904411764705882)","(71.0, 100.0, 76.66666666666667)","(51.0, 90.0, 83.84615384615384)","(3.7, 5.6, 5.483870967741936)","(2.4, 2.88, 2.8652631578947365)","(11.0, 12.5, 12.277777777777779)","(6.0, 6.8, 6.6380952380952385)","(8.0, 9.0, 8.76)"
07-01-2023 12:27:01.579168,"(11.0, 12.0, 11.941441441441441)","(71.0, 100.0, 76.66666666666667)","(51.0, 90.0, 83.84615384615384)","(3.7, 5.6, 5.483870967741936)","(2.4, 2.88, 2.8652631578947365)","(11.0, 12.5, 12.277777777777779)","(6.0, 6.8, 6.6380952380952385)","(8.0, 9.0, 8.76)"
07-01-2023 12:27:02.770213,"(11.0, 12.0, 11.941441441441441)","(71.0, 100.0, 76.66666666666667)","(51.0, 90.0, 83.84615384615384)","(3.7, 5.6, 5.483870967741936)","(2.4, 2.88, 2.8652631578947365)","(11.0, 12.5, 12.277777777777779)","(6.0, 6.8, 6.6380952380952385)","(8.0, 9.0, 8.76)"
07-01-2023 12:27:04.087575,"(11.0, 12.0, 11.941441441441441)","(71.0, 100.0, 76.66666666666667)","(51.0, 90.0, 83.84615384615384)","(3.7, 5.6, 5.483870967741936)","(2.4, 2.88, 2.8652631578947365)","(11.0, 12.5, 12.277777777777779)","(6.0, 6.8, 6.6380952380952385)","(8.0, 9.0, 8.76)"
07-01-2023 12:27:05.411300,"(11.0, 12.0, 11.941441441441441)","(71.0, 100.0, 87.14285714285714)","(51.0, 90.0, 85.0)","(3.7, 5.6, 5.483870967741936)","(2.4, 2.88, 2.87009900990099)","(11.0, 12.5, 12.36013986013986)","(6.0, 6.8, 6.6380952380952385)","(8.0, 9.0, 8.61111111111111)"
07-01-2023 12:27:06.773148,"(11.0, 12.0, 11.889830508474576)","(71.0, 100.0, 91.81818181818181)","(51.0, 90.0, 85.0)","(3.7, 5.6, 5.509090909090909)","(2.4, 2.88, 2.87009900990099)","(11.0, 12.5, 12.36013986013986)","(6.0, 6.8, 6.6380952380952385)","(8.0, 8.8, 8.585585585585585)"
07-01-2023 12:27:08.095528,"(11.0, 11.5, 11.441176470588236)","(71.0, 100.0, 91.81818181818181)","(51.0, 90.0, 97.22222222222223)","(3.7, 5.6, 5.523076923076923)","(2.4, 2.88, 2.8176811594202897)","(11.0, 12.5, 12.36013986013986)","(6.0, 6.8, 6.6380952380952385)","(8.0, 8.6, 8.590990990990992)"
07-01-2023 12:27:09.481294,"(11.0, 11.5, 11.441176470588236)","(71.0, 100.0, 91.81818181818181)","(51.0, 100.0, 97.22222222222223)","(3.7, 5.6, 5.523076923076923)","(2.4, 2.82, 2.8372519083969463)","(11.0, 12.5, 12.384892086330936)","(6.0, 6.8, 6.6380952380952385)","(8.0, 8.8, 8.590990990990992)"
07-01-2023 12:27:11.002385,"(11.0, 11.5, 11.435483870967742)","(71.0, 100.0, 91.81818181818181)","(51.0, 100.0, 97.22222222222223)","(3.7, 5.6, 5.523076923076923)","(2.4, 2.84, 2.8372519083969463)","(11.0, 12.5, 12.384892086330936)","(6.0, 6.8, 6.6380952380952385)","(8.0, 8.8, 8.590990990990992)"
07-01-2023 12:27:12.396169,"(11.0, 11.5, 11.435483870967742)","(71.0, 100.0, 91.81818181818181)","(51.0, 100.0, 97.22222222222223)","(3.7, 5.6, 5.523076923076923)","(2.4, 2.84, 2.8395454545454544)","(11.0, 12.5, 12.384892086330936)","(6.0, 6.8, 6.6380952380952385)","(8.0, 8.8, 8.590990990990992)"
07-01-2023 12:27:13.945212,"(11.0, 11.5, 11.435483870967742)","(71.0, 100.0, 91.81818181818181)","(51.0, 100.0, 88.33333333333333)","(3.7, 5.6, 5.523076923076923)","(2.4, 2.84, 2.8395454545454544)","(11.0, 12.5, 12.417910447761194)","(6.0, 6.8, 6.6380952380952385)","(8.0, 8.8, 8.590990990990992)"
07-01-2023 12:27:16.155669,"(11.0, 11.5, 11.482142857142858)","(71.0, 100.0, 91.81818181818181)","(51.0, 100.0, 93.18181818181819)","(3.7, 5.6, 5.509090909090909)","(2.4, 2.86, 2.845300207039337)","(11.0, 12.5, 12.417910447761194)","(6.0, 6.8, 6.6720930232558135)","(8.0, 8.6, 8.563478260869566)"
07-01-2023 12:27:17.909745,"(11.0, 11.5, 11.407407407407407)","(71.0, 100.0, 91.81818181818181)","(51.0, 100.0, 88.33333333333333)","(3.7, 5.6, 5.483870967741936)","(2.4, 2.86, 2.880864197530864)","(11.0, 12.5, 12.417910447761194)","(6.0, 6.8, 6.6720930232558135)","(8.0, 8.6, 8.556756756756757)"
07-01-2023 12:27:19.261550,"(11.0, 11.5, 11.407407407407407)","(71.0, 100.0, 91.81818181818181)","(51.0, 100.0, 89.0625)","(3.7, 5.6, 5.483870967741936)","(2.4, 2.9, 2.8752272727272725)","(11.0, 12.5, 12.387218045112782)","(6.0, 6.8, 6.6791208791208785)","(8.0, 8.6, 8.561290322580644)"
07-01-2023 12:27:20.562117,"(11.0, 11.5, 11.419354838709678)","(71.0, 100.0, 91.81818181818181)","(51.0, 100.0, 89.0625)","(3.7, 5.6, 5.5)","(2.4, 2.88, 2.881061946902655)","(11.0, 12.5, 12.387218045112782)","(6.0, 6.8, 6.6791208791208785)","(8.0, 8.6, 8.561290322580644)"
07-01-2023 12:27:21.859534,"(11.0, 11.5, 11.419354838709678)","(71.0, 100.0, 91.81818181818181)","(51.0, 100.0, 93.0)","(3.7, 5.6, 5.4837209302325585)","(2.4, 2.9, 2.8808253968253967)","(11.0, 12.5, 12.367647058823529)","(6.0, 6.8, 6.6791208791208785)","(8.0, 8.6, 8.634210526315789)"
07-01-2023 12:27:23.154746,"(11.0, 11.5, 11.407407407407407)","(71.0, 100.0, 91.81818181818181)","(51.0, 95.0, 93.0)","(3.7, 5.6, 5.4837209302325585)","(2.4, 2.9, 2.8808253968253967)","(11.0, 12.5, 12.367647058823529)","(6.0, 6.8, 6.6791208791208785)","(8.0, 8.8, 8.634210526315789)"
07-01-2023 12:27:24.521661,"(11.0, 11.5, 11.407407407407407)","(71.0, 100.0, 92.5)","(51.0, 95.0, 93.0)","(3.7, 5.6, 5.4837209302325585)","(2.4, 2.9, 2.8808253968253967)","(11.0, 12.5, 12.367647058823529)","(6.0, 6.8, 6.7518518518518515)","(8.0, 8.8, 8.634210526315789)"
07-01-2023 12:27:25.898617,"(11.0, 11.5, 11.368421052631579)","(71.0, 100.0, 92.5)","(61.0, 95.0, 93.0)","(3.8, 5.6, 5.5)","(2.4, 2.9, 2.8415533980582524)","(11.0, 12.5, 12.387218045112782)","(6.0, 6.8, 6.757377049180327)","(8.0, 8.8, 8.634210526315789)"
07-01-2023 12:27:27.250433,"(11.0, 11.5, 11.368421052631579)","(71.0, 100.0, 92.5)","(61.0, 95.0, 93.0)","(3.8, 5.6, 5.5)","(2.4, 2.86, 2.83764192139738)","(11.0, 12.5, 12.387218045112782)","(6.0, 6.8, 6.757377049180327)","(8.0, 8.8, 8.634210526315789)"
07-01-2023 12:27:28.431638,"(11.0, 11.5, 11.368421052631579)","(71.0, 100.0, 92.5)","(61.0, 95.0, 93.0)","(3.8, 5.6, 5.5)","(2.4, 2.84, 2.8554285714285714)","(11.0, 12.5, 12.387218045112782)","(6.0, 6.8, 6.757377049180327)","(8.0, 8.8, 8.645398773006136)"
07-01-2023 12:27:29.719349,"(11.0, 11.5, 11.368421052631579)","(71.0, 100.0, 92.5)","(61.0, 95.0, 93.0)","(3.8, 5.6, 5.5)","(2.4, 2.86, 2.8554285714285714)","(11.0, 12.5, 12.387218045112782)","(6.0, 6.8, 6.757377049180327)","(8.0, 8.8, 8.645398773006136)"
07-01-2023 12:27:31.125378,"(11.0, 11.5, 11.368421052631579)","(71.0, 100.0, 92.5)","(61.0, 95.0, 93.0)","(3.8, 5.6, 5.5)","(2.4, 2.86, 2.8554285714285714)","(11.0, 12.5, 12.387218045112782)","(6.0, 6.8, 6.757377049180327)","(8.0, 8.8, 8.645398773006136)"
07-01-2023 12:27:32.546730,"(11.0, 11.5, 11.368421052631579)","(71.0, 100.0, 92.5)","(61.0, 95.0, 93.0)","(3.8, 5.6, 5.5)","(2.4, 2.86, 2.8485714285714283)","(11.0, 12.5, 12.387218045112782)","(6.0, 6.8, 6.757377049180327)","(8.0, 8.8, 8.645398773006136)"
07-01-2023 12:27:33.943374,"(11.0, 11.5, 11.368421052631579)","(71.0, 100.0, 92.5)","(61.0, 95.0, 93.0)","(3.8, 5.6, 5.5)","(2.4, 2.86, 2.856279069767442)","(11.0, 12.5, 12.387218045112782)","(6.0, 6.8, 6.757377049180327)","(8.0, 8.8, 8.645398773006136)"
07-01-2023 12:27:35.221762,"(11.0, 11.5, 11.410714285714286)","(71.0, 100.0, 92.5)","(61.0, 95.0, 93.0)","(3.8, 5.6, 5.5)","(2.4, 2.86, 2.856279069767442)","(11.0, 12.5, 12.387218045112782)","(6.0, 6.8, 6.757377049180327)","(8.0, 8.8, 8.645398773006136)"
07-01-2023 12:27:36.396194,"(11.0, 11.5, 11.410714285714286)","(71.0, 100.0, 92.5)","(61.0, 95.0, 93.0)","(3.8, 5.6, 5.38780487804878)","(2.4, 2.86, 2.8577570093457942)","(11.0, 12.5, 12.372881355932204)","(6.0, 6.8, 6.843037974683544)","(8.0, 8.8, 8.63741935483871)"
07-01-2023 12:27:37.640808,"(11.0, 11.5, 11.380952380952381)","(71.0, 100.0, 91.66666666666667)","(61.0, 100.0, 89.28571428571429)","(3.8, 5.4, 5.394736842105264)","(2.4, 2.86, 2.8577033492822963)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.852631578947368)","(8.0, 8.8, 8.63741935483871)"
07-01-2023 12:27:38.975461,"(11.0, 11.5, 11.380952380952381)","(71.0, 100.0, 91.66666666666667)","(61.0, 100.0, 89.28571428571429)","(3.8, 5.4, 5.394736842105264)","(2.4, 2.86, 2.8577033492822963)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.852631578947368)","(8.0, 8.8, 8.67878787878788)"
07-01-2023 12:27:40.272143,"(11.0, 11.5, 11.4)","(71.0, 100.0, 91.66666666666667)","(61.0, 100.0, 89.28571428571429)","(3.8, 5.4, 5.394736842105264)","(2.4, 2.86, 2.8577033492822963)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.808695652173913)","(8.0, 8.8, 8.889655172413793)"
07-01-2023 12:27:41.566500,"(11.0, 11.5, 11.380952380952381)","(71.0, 100.0, 91.66666666666667)","(61.0, 100.0, 89.28571428571429)","(3.8, 5.4, 5.374358974358975)","(2.4, 2.84, 2.837222222222222)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.802105263157895)","(8.0, 9.0, 8.889655172413793)"
07-01-2023 12:27:42.771506,"(11.0, 11.5, 11.371428571428572)","(71.0, 100.0, 78.57142857142857)","(61.0, 100.0, 89.28571428571429)","(3.8, 5.4, 5.374358974358975)","(2.4, 2.84, 2.837222222222222)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.802105263157895)","(8.0, 9.0, 8.889655172413793)"
07-01-2023 12:27:43.999437,"(11.0, 11.5, 11.419354838709678)","(71.0, 100.0, 78.57142857142857)","(61.0, 100.0, 89.28571428571429)","(3.8, 5.4, 5.374358974358975)","(2.4, 2.84, 2.837222222222222)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.802105263157895)","(8.0, 9.0, 8.889655172413793)"
07-01-2023 12:27:45.176264,"(11.0, 11.5, 11.419354838709678)","(71.0, 100.0, 78.57142857142857)","(61.0, 100.0, 89.28571428571429)","(3.8, 5.4, 5.374358974358975)","(2.4, 2.84, 2.837222222222222)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.865168539325842)","(8.0, 9.0, 8.889655172413793)"
07-01-2023 12:27:46.491374,"(11.0, 11.5, 11.36111111111111)","(71.0, 100.0, 78.57142857142857)","(61.0, 100.0, 91.0)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.84, 2.8549758454106278)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.865168539325842)","(8.0, 9.0, 8.9)"
07-01-2023 12:27:47.735560,"(11.0, 11.5, 11.295454545454545)","(71.0, 100.0, 78.57142857142857)","(61.0, 100.0, 91.0)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.86, 2.8539906103286383)","(11.0, 13.0, 12.447761194029852)","(6.0, 7.0, 6.865168539325842)","(7.5, 9.0, 8.9)"
07-01-2023 12:27:49.046959,"(11.0, 11.5, 11.295454545454545)","(71.0, 100.0, 78.57142857142857)","(61.0, 100.0, 91.0)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.86, 2.8539906103286383)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.920567375886525)","(7.5, 9.0, 8.9)"
07-01-2023 12:27:50.269966,"(11.0, 11.5, 11.295454545454545)","(71.0, 100.0, 70.0)","(61.0, 100.0, 91.0)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.86, 2.8539906103286383)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.925179856115108)","(7.5, 9.0, 8.829787234042554)"
07-01-2023 12:27:51.433519,"(11.0, 12.0, 11.478260869565217)","(71.0, 100.0, 70.0)","(61.0, 100.0, 91.0)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.84, 2.8372413793103446)","(11.0, 13.0, 12.46875)","(6.0, 7.0, 6.925179856115108)","(7.5, 9.0, 8.829787234042554)"
07-01-2023 12:27:52.589831,"(11.0, 11.5, 11.404761904761905)","(71.0, 100.0, 70.0)","(61.0, 100.0, 88.57142857142857)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.86, 2.8513333333333333)","(11.0, 13.0, 12.662162162162161)","(6.0, 7.0, 6.918309859154929)","(7.5, 8.6, 8.554716981132076)"
07-01-2023 12:27:53.819223,"(11.0, 11.5, 11.386363636363637)","(71.0, 100.0, 70.0)","(61.0, 100.0, 88.57142857142857)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.88, 2.8558139534883717)","(11.0, 13.0, 12.662162162162161)","(6.0, 7.0, 6.952577319587629)","(7.5, 8.6, 8.542857142857143)"
07-01-2023 12:27:55.052606,"(11.0, 11.5, 11.386363636363637)","(71.0, 100.0, 68.5)","(61.0, 100.0, 88.57142857142857)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.88, 2.8505454545454545)","(11.0, 13.0, 12.56578947368421)","(6.0, 7.0, 6.9535353535353535)","(7.5, 8.6, 8.553846153846154)"
07-01-2023 12:27:56.286039,"(11.0, 11.5, 11.425)","(71.0, 100.0, 68.5)","(61.0, 100.0, 88.57142857142857)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.86, 2.849354838709677)","(11.0, 13.0, 12.56578947368421)","(6.0, 7.0, 6.9535353535353535)","(7.5, 8.6, 8.553846153846154)"
07-01-2023 12:27:57.471980,"(11.0, 11.5, 11.425)","(71.0, 100.0, 68.5)","(61.0, 100.0, 88.57142857142857)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.86, 2.849354838709677)","(11.0, 13.0, 12.56578947368421)","(6.0, 7.0, 6.9535353535353535)","(7.5, 8.6, 8.553846153846154)"
07-01-2023 12:27:58.592860,"(11.0, 11.5, 11.425)","(71.0, 100.0, 68.5)","(61.0, 100.0, 88.57142857142857)","(3.8, 5.4, 5.379166666666667)","(2.4, 2.86, 2.8331086142322097)","(11.0, 13.0, 12.56578947368421)","(6.0, 7.0, 6.954022988505747)","(7.5, 8.6, 8.537931034482758)"
07-01-2023 12:27:59.809797,"(11.0, 11.5, 11.447368421052632)","(71.0, 100.0, 70.0)","(61.0, 100.0, 88.57142857142857)","(3.8, 5.4, 5.4375)","(2.4, 2.84, 2.8263218390804594)","(11.0, 13.0, 12.564102564102564)","(6.0, 7.0, 6.948888888888889)","(7.5, 8.6, 8.521428571428572)"
07-01-2023 12:28:01.061196,"(11.0, 11.5, 11.425)","(71.0, 100.0, 70.0)","(61.0, 100.0, 86.66666666666667)","(3.8, 5.5, 5.466666666666667)","(2.4, 2.84, 2.823272727272727)","(11.0, 13.0, 12.333333333333334)","(6.0, 7.0, 6.859459459459459)","(7.5, 8.6, 8.481818181818182)"
07-01-2023 12:28:02.316882,"(11.0, 12.0, 11.785714285714286)","(71.0, 95.0, 74.0)","(61.0, 100.0, 86.66666666666667)","(3.8, 5.5, 5.56)","(2.4, 2.84, 2.784782608695652)","(11.0, 12.5, 12.161764705882353)","(6.0, 7.0, 6.844186046511628)","(7.5, 8.6, 8.452631578947368)"
07-01-2023 12:28:03.553000,"(11.0, 12.0, 11.805555555555555)","(71.0, 95.0, 80.0)","(61.0, 100.0, 86.66666666666667)","(3.8, 5.6, 5.58125)","(2.4, 2.8, 2.79)","(11.0, 12.5, 12.280952380952382)","(6.0, 7.0, 6.844186046511628)","(7.5, 8.6, 8.452631578947368)"
07-01-2023 12:28:04.779575,"(11.0, 11.5, 11.38)","(71.0, 90.0, 85.0)","(61.0, 100.0, 86.66666666666667)","(3.8, 5.6, 5.6226666666666665)","(2.4, 2.8, 2.79)","(11.0, 12.5, 12.280952380952382)","(6.0, 7.0, 6.844186046511628)","(7.5, 8.6, 8.452631578947368)"
07-01-2023 12:28:06.000815,"(11.0, 11.5, 11.38)","(71.0, 90.0, 79.28571428571429)","(61.0, 100.0, 86.66666666666667)","(3.8, 5.7, 5.6226666666666665)","(2.4, 2.8, 2.79440329218107)","(11.0, 12.5, 12.280952380952382)","(6.0, 7.0, 6.844186046511628)","(7.5, 8.6, 8.336842105263157)"
07-01-2023 12:28:07.208231,"(11.0, 11.5, 11.365384615384615)","(71.0, 90.0, 79.28571428571429)","(61.0, 100.0, 86.66666666666667)","(3.8, 5.7, 5.646031746031746)","(2.4, 2.8, 2.793061224489796)","(11.0, 12.5, 12.280952380952382)","(6.0, 7.0, 6.844186046511628)","(7.5, 8.4, 8.336842105263157)"
07-01-2023 12:28:08.441187,"(11.0, 11.5, 11.365384615384615)","(71.0, 90.0, 79.28571428571429)","(61.0, 100.0, 86.66666666666667)","(3.8, 5.7, 5.646031746031746)","(2.4, 2.8, 2.7941379310344825)","(11.0, 12.5, 12.280952380952382)","(6.0, 7.0, 6.844186046511628)","(7.5, 8.4, 8.216216216216216)"
07-01-2023 12:28:09.671418,"(11.0, 11.5, 11.365384615384615)","(71.0, 90.0, 79.28571428571429)","(61.0, 100.0, 86.66666666666667)","(3.8, 5.7, 5.646031746031746)","(2.4, 2.8, 2.7941379310344825)","(11.0, 12.5, 12.280952380952382)","(6.0, 7.0, 6.840425531914893)","(7.5, 8.4, 8.216216216216216)"
07-01-2023 12:28:10.874509,"(11.0, 11.5, 11.365384615384615)","(71.0, 90.0, 79.28571428571429)","(61.0, 100.0, 86.66666666666667)","(3.8, 5.7, 5.646031746031746)","(2.4, 2.8, 2.8073333333333332)","(11.0, 12.5, 12.280952380952382)","(6.0, 7.0, 6.840425531914893)","(7.5, 8.4, 8.193939393939393)"
07-01-2023 12:28:12.062220,"(11.0, 11.5, 11.365384615384615)","(71.0, 90.0, 79.28571428571429)","(61.0, 100.0, 80.0)","(3.8, 5.7, 5.646031746031746)","(2.4, 2.82, 2.8073333333333332)","(11.0, 12.5, 12.280952380952382)","(6.0, 7.0, 6.840425531914893)","(7.5, 8.4, 8.193939393939393)"
07-01-2023 12:28:13.298815,"(11.0, 11.5, 11.365384615384615)","(71.0, 90.0, 76.76470588235294)","(61.0, 100.0, 80.0)","(3.8, 5.7, 5.7124999999999995)","(2.4, 2.82, 2.8079365079365077)","(11.0, 12.5, 12.288990825688073)","(6.0, 7.0, 6.840425531914893)","(7.5, 8.4, 8.193939393939393)"
07-01-2023 12:28:14.580600,"(11.0, 11.5, 11.365384615384615)","(71.0, 90.0, 76.11111111111111)","(61.0, 100.0, 80.0)","(3.8, 5.8, 5.856818181818182)","(2.4, 2.82, 2.8066666666666666)","(11.0, 12.5, 12.288990825688073)","(6.0, 7.0, 6.840425531914893)","(7.5, 8.4, 8.193939393939393)"
07-01-2023 12:28:15.841313,"(11.0, 11.5, 11.365384615384615)","(71.0, 90.0, 76.11111111111111)","(61.0, 100.0, 78.0)","(3.8, 5.9, 5.892982456140351)","(2.4, 2.82, 2.806111111111111)","(11.0, 12.5, 12.288990825688073)","(6.0, 7.0, 6.804651162790697)","(7.5, 8.4, 8.193939393939393)"
07-01-2023 12:28:17.126553,"(11.0, 11.5, 11.326923076923077)","(71.0, 90.0, 76.11111111111111)","(61.0, 90.0, 77.6470588235294)","(3.8, 5.9, 6.0)","(2.4, 2.82, 2.811304347826087)","(11.0, 12.5, 12.288990825688073)","(6.0, 7.0, 6.8044943820224715)","(7.5, 8.4, 8.193939393939393)"
07-01-2023 12:28:18.421068,"(11.0, 11.5, 11.316326530612244)","(71.0, 90.0, 79.0625)","(61.0, 80.0, 113.33333333333334)","(3.8, 6.2, 6.088888888888889)","(2.4, 2.82, 2.796533333333333)","(11.0, 12.5, 12.160377358490566)","(6.0, 7.0, 6.8019417475728154)","(7.5, 8.4, 8.17142857142857)"
07-01-2023 12:28:19.596730,"(11.0, 11.5, 11.303921568627452)","(71.0, 90.0, 79.0625)","(61.0, 120.0, 102.72727272727272)","(3.8, 6.2, 6.0814814814814815)","(2.4, 2.8, 2.794583333333333)","(11.0, 12.5, 12.179611650485437)","(6.0, 7.0, 6.8019417475728154)","(7.5, 8.4, 8.156521739130435)"
07-01-2023 12:28:20.835547,"(11.0, 11.5, 11.303921568627452)","(71.0, 90.0, 74.44444444444444)","(61.0, 110.0, 88.0)","(3.8, 6.2, 6.1375)","(2.4, 2.8, 2.794583333333333)","(11.0, 12.5, 12.179611650485437)","(6.0, 7.0, 6.8019417475728154)","(7.5, 8.4, 8.156521739130435)"
07-01-2023 12:28:22.053098,"(11.0, 11.5, 11.303921568627452)","(71.0, 90.0, 74.44444444444444)","(61.0, 100.0, 86.07142857142857)","(3.8, 6.2, 6.156000000000001)","(2.4, 2.8, 2.77825327510917)","(11.0, 12.5, 12.186274509803921)","(6.0, 7.0, 6.802272727272727)","(7.5, 8.4, 8.163636363636364)"
07-01-2023 12:28:23.253723,"(11.0, 11.5, 11.303921568627452)","(71.0, 90.0, 74.44444444444444)","(61.0, 95.0, 86.07142857142857)","(3.8, 6.2, 6.156000000000001)","(2.4, 2.78, 2.777563025210084)","(11.0, 12.5, 12.186274509803921)","(6.0, 7.0, 6.80235294117647)","(7.5, 8.4, 8.175609756097561)"
07-01-2023 12:28:24.505456,"(11.0, 11.5, 11.303921568627452)","(71.0, 90.0, 74.44444444444444)","(61.0, 95.0, 85.625)","(3.8, 6.2, 6.156000000000001)","(2.4, 2.78, 2.77825327510917)","(11.0, 12.5, 12.186274509803921)","(6.0, 7.0, 6.862790697674418)","(7.5, 8.4, 8.175609756097561)"
07-01-2023 12:28:25.777855,"(11.0, 11.5, 11.303921568627452)","(71.0, 90.0, 74.44444444444444)","(61.0, 95.0, 88.18181818181819)","(3.8, 6.2, 6.156000000000001)","(2.4, 2.78, 2.77825327510917)","(11.0, 12.5, 12.186274509803921)","(6.0, 7.0, 6.862790697674418)","(7.5, 8.4, 8.175609756097561)"
07-01-2023 12:28:27.031036,"(11.0, 11.5, 11.303921568627452)","(71.0, 90.0, 74.44444444444444)","(61.0, 95.0, 88.18181818181819)","(3.8, 6.2, 6.156000000000001)","(2.4, 2.78, 2.77825327510917)","(11.0, 12.5, 12.186274509803921)","(6.0, 7.0, 6.862790697674418)","(7.5, 8.4, 8.175609756097561)"
07-01-2023 12:28:28.260912,"(10.0, 11.5, 11.303921568627452)","(71.0, 90.0, 74.44444444444444)","(61.0, 95.0, 80.0)","(4.2, 6.2, 6.172549019607843)","(2.4, 2.78, 2.7768518518518515)","(11.0, 12.5, 12.166666666666666)","(6.0, 7.0, 6.803389830508475)","(7.5, 8.4, 8.163636363636364)"
07-01-2023 12:28:29.482157,"(10.0, 11.5, 11.303921568627452)","(71.0, 90.0, 74.44444444444444)","(61.0, 85.0, 75.55555555555556)","(4.2, 6.4, 6.172549019607843)","(2.4, 2.78, 2.775696202531645)","(11.0, 12.5, 12.186274509803921)","(6.0, 7.0, 6.802564102564102)","(7.5, 8.4, 8.288)"
07-01-2023 12:28:30.727679,"(10.0, 11.5, 11.303921568627452)","(71.0, 90.0, 77.27272727272727)","(61.0, 80.0, 94.0)","(4.2, 6.4, 6.245333333333334)","(2.4, 2.78, 2.775696202531645)","(11.0, 12.5, 12.186274509803921)","(6.0, 7.0, 6.802272727272727)","(7.5, 8.4, 8.288)"
07-01-2023 12:28:31.916405,"(10.0, 11.5, 11.303921568627452)","(71.0, 90.0, 77.27272727272727)","(61.0, 130.0, 95.71428571428572)","(4.2, 6.4, 6.180645161290323)","(2.4, 2.78, 2.775696202531645)","(11.0, 12.5, 12.13063063063063)","(6.0, 7.0, 6.867175572519084)","(7.5, 8.4, 8.288)"
07-01-2023 12:28:33.032584,"(10.0, 11.5, 11.303921568627452)","(71.0, 90.0, 77.27272727272727)","(61.0, 100.0, 87.64705882352942)","(4.2, 6.4, 6.180645161290323)","(2.4, 2.78, 2.775696202531645)","(11.0, 12.5, 12.13063063063063)","(6.0, 7.0, 6.907692307692308)","(7.5, 8.4, 8.288)"
07-01-2023 12:28:34.167391,"(10.0, 11.5, 11.303921568627452)","(71.0, 90.0, 77.27272727272727)","(61.0, 100.0, 88.75)","(4.2, 6.4, 6.2698795180722895)","(2.4, 2.78, 2.776222222222222)","(11.0, 12.5, 12.13063063063063)","(6.0, 7.0, 6.907692307692308)","(7.5, 8.4, 8.022222222222222)"
07-01-2023 12:28:35.386131,"(10.0, 11.0, 10.883928571428571)","(71.0, 90.0, 77.27272727272727)","(61.0, 95.0, 80.0)","(4.2, 6.4, 6.2698795180722895)","(2.4, 2.78, 2.776222222222222)","(11.0, 12.5, 12.228476821192054)","(6.0, 7.0, 6.907692307692308)","(7.5, 8.2, 8.022222222222222)"
