,Our Bella Lucia,Wild Man,Linxx,My Magic Merlin,Waitpinga Lad,Cutty Sark,Murranji Track
0,"[datetime.datetime(2022, 11, 28, 19, 48, 53, 390054), 17.0, 26.0]","[datetime.datetime(2022, 11, 28, 19, 48, 53, 390054), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 48, 53, 390054), 8.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 48, 53, 390054), 3.8, 4.9]","[datetime.datetime(2022, 11, 28, 19, 48, 53, 390054), 11.0, 18.0]","[datetime.datetime(2022, 11, 28, 19, 48, 53, 390054), 2.1, 3.1]","[datetime.datetime(2022, 11, 28, 19, 48, 53, 390054), 3.7, 5.9]"
1,"[datetime.datetime(2022, 11, 28, 19, 48, 54, 571033), 17.0, 26.0]","[datetime.datetime(2022, 11, 28, 19, 48, 54, 571033), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 48, 54, 571033), 8.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 48, 54, 571033), 3.8, 4.9]","[datetime.datetime(2022, 11, 28, 19, 48, 54, 571033), 11.0, 18.0]","[datetime.datetime(2022, 11, 28, 19, 48, 54, 571033), 2.1, 3.1]","[datetime.datetime(2022, 11, 28, 19, 48, 54, 571033), 3.7, 5.9]"
2,"[datetime.datetime(2022, 11, 28, 19, 48, 55, 781024), 17.0, 26.0]","[datetime.datetime(2022, 11, 28, 19, 48, 55, 781024), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 48, 55, 781024), 8.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 48, 55, 781024), 3.8, 4.9]","[datetime.datetime(2022, 11, 28, 19, 48, 55, 781024), 11.0, 18.0]","[datetime.datetime(2022, 11, 28, 19, 48, 55, 781024), 2.1, 3.1]","[datetime.datetime(2022, 11, 28, 19, 48, 55, 781024), 3.7, 5.9]"
3,"[datetime.datetime(2022, 11, 28, 19, 48, 56, 985622), 17.0, 26.0]","[datetime.datetime(2022, 11, 28, 19, 48, 56, 985622), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 48, 56, 985622), 8.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 48, 56, 985622), 3.8, 4.9]","[datetime.datetime(2022, 11, 28, 19, 48, 56, 985622), 11.0, 18.0]","[datetime.datetime(2022, 11, 28, 19, 48, 56, 985622), 2.1, 3.1]","[datetime.datetime(2022, 11, 28, 19, 48, 56, 985622), 3.7, 5.9]"
4,"[datetime.datetime(2022, 11, 28, 19, 48, 58, 157819), 17.0, 26.0]","[datetime.datetime(2022, 11, 28, 19, 48, 58, 157819), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 48, 58, 157819), 8.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 48, 58, 157819), 3.8, 4.9]","[datetime.datetime(2022, 11, 28, 19, 48, 58, 157819), 11.0, 18.0]","[datetime.datetime(2022, 11, 28, 19, 48, 58, 157819), 2.1, 3.1]","[datetime.datetime(2022, 11, 28, 19, 48, 58, 157819), 3.7, 5.9]"
5,"[datetime.datetime(2022, 11, 28, 19, 48, 59, 324069), 17.0, 26.0]","[datetime.datetime(2022, 11, 28, 19, 48, 59, 324069), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 48, 59, 324069), 8.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 48, 59, 324069), 3.8, 4.9]","[datetime.datetime(2022, 11, 28, 19, 48, 59, 324069), 11.0, 18.0]","[datetime.datetime(2022, 11, 28, 19, 48, 59, 324069), 2.1, 3.1]","[datetime.datetime(2022, 11, 28, 19, 48, 59, 324069), 3.7, 5.9]"
6,"[datetime.datetime(2022, 11, 28, 19, 49, 0, 487918), 17.0, 26.0]","[datetime.datetime(2022, 11, 28, 19, 49, 0, 487918), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 49, 0, 487918), 8.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 49, 0, 487918), 3.8, 4.9]","[datetime.datetime(2022, 11, 28, 19, 49, 0, 487918), 11.0, 18.0]","[datetime.datetime(2022, 11, 28, 19, 49, 0, 487918), 2.1, 3.1]","[datetime.datetime(2022, 11, 28, 19, 49, 0, 487918), 3.7, 5.9]"
7,"[datetime.datetime(2022, 11, 28, 19, 49, 1, 655027), 17.0, 26.0]","[datetime.datetime(2022, 11, 28, 19, 49, 1, 655027), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 49, 1, 655027), 8.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 49, 1, 655027), 3.8, 4.9]","[datetime.datetime(2022, 11, 28, 19, 49, 1, 655027), 11.0, 18.0]","[datetime.datetime(2022, 11, 28, 19, 49, 1, 655027), 2.1, 3.1]","[datetime.datetime(2022, 11, 28, 19, 49, 1, 655027), 3.7, 5.9]"
8,"[datetime.datetime(2022, 11, 28, 19, 49, 2, 823689), 17.0, 26.0]","[datetime.datetime(2022, 11, 28, 19, 49, 2, 823689), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 49, 2, 823689), 8.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 49, 2, 823689), 3.8, 4.9]","[datetime.datetime(2022, 11, 28, 19, 49, 2, 823689), 11.0, 18.0]","[datetime.datetime(2022, 11, 28, 19, 49, 2, 823689), 2.1, 3.1]","[datetime.datetime(2022, 11, 28, 19, 49, 2, 823689), 3.7, 5.9]"
9,"[datetime.datetime(2022, 11, 28, 19, 49, 3, 998743), 17.0, 26.0]","[datetime.datetime(2022, 11, 28, 19, 49, 3, 998743), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 49, 3, 998743), 8.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 49, 3, 998743), 3.8, 4.9]","[datetime.datetime(2022, 11, 28, 19, 49, 3, 998743), 11.0, 18.0]","[datetime.datetime(2022, 11, 28, 19, 49, 3, 998743), 2.1, 3.1]","[datetime.datetime(2022, 11, 28, 19, 49, 3, 998743), 3.7, 5.9]"
