,Butts,Master At Arms,Morally Bound,My Boy Percey,Willaston,Cassandra Isabel,Exalted Kate,Miss Eurozone,Shosanna
07-12-2022 13:09:56.154543,"(41.0, 46.0, 44.5578231292517)","(20.0, 28.0, 27.47826086956522)","(15.0, 18.0, 17.782857142857143)","(101.0, 900.0, 787.5)","(4.2, 4.7, 4.638964577656676)","(3.9, 4.4, 4.377432712215321)","(12.0, 15.5, 14.866666666666667)","(31.0, 55.0, 49.534246575342465)","(2.4, 2.86, 2.8547413793103447)"
07-12-2022 13:09:57.205759,"(41.0, 44.0, 42.36363636363637)","(20.0, 28.0, 27.473684210526315)","(15.0, 18.5, 18.1)","(101.0, 900.0, 787.5)","(4.2, 4.7, 4.638964577656676)","(3.9, 4.4, 4.377432712215321)","(12.0, 15.0, 14.866666666666667)","(31.0, 55.0, 49.534246575342465)","(2.4, 2.86, 2.8548051948051945)"
07-12-2022 13:09:58.417744,"(41.0, 44.0, 43.878787878787875)","(20.0, 28.0, 27.47761194029851)","(15.0, 18.5, 18.271428571428572)","(101.0, 900.0, 787.5)","(4.2, 4.7, 4.632915360501567)","(3.9, 4.4, 4.38074398249453)","(12.0, 15.0, 14.881720430107526)","(31.0, 55.0, 48.2962962962963)","(2.4, 2.86, 2.8438862559241707)"
07-12-2022 13:09:59.548578,"(41.0, 44.0, 43.878787878787875)","(20.0, 28.0, 27.47761194029851)","(15.0, 18.5, 18.39)","(101.0, 890.0, 832.2222222222222)","(4.2, 4.7, 4.62)","(3.9, 4.4, 4.3808278867102395)","(12.0, 15.0, 14.881720430107526)","(31.0, 50.0, 48.2962962962963)","(2.4, 2.86, 2.8453420195439736)"
07-12-2022 13:10:00.658809,"(41.0, 44.0, 43.878787878787875)","(20.0, 28.0, 27.47761194029851)","(15.0, 18.5, 18.405172413793103)","(101.0, 880.0, 848.75)","(4.2, 4.7, 4.611111111111112)","(3.9, 4.4, 4.3808278867102395)","(12.0, 15.0, 14.881720430107526)","(31.0, 50.0, 48.2962962962963)","(2.4, 2.88, 2.8453420195439736)"
07-12-2022 13:10:01.751487,"(41.0, 44.0, 43.86486486486486)","(20.0, 28.0, 27.485294117647058)","(15.0, 18.5, 18.34027777777778)","(101.0, 880.0, 848.75)","(4.2, 4.7, 4.613178294573643)","(3.9, 4.4, 4.379700854700855)","(12.0, 15.0, 14.885416666666666)","(31.0, 50.0, 48.357142857142854)","(2.4, 2.86, 2.859290322580645)"
07-12-2022 13:10:02.783205,"(34.0, 46.0, 44.22857142857143)","(20.0, 28.0, 27.5531914893617)","(15.0, 19.0, 18.954545454545453)","(101.0, 880.0, 775.8333333333333)","(4.2, 4.7, 4.632818532818533)","(3.9, 4.4, 4.396112311015119)","(12.0, 15.0, 14.972222222222221)","(31.0, 50.0, 48.27272727272727)","(2.4, 2.84, 2.828292682926829)"
07-12-2022 13:10:03.955355,"(34.0, 46.0, 44.21052631578947)","(20.0, 28.0, 27.5531914893617)","(15.0, 19.5, 18.919354838709676)","(101.0, 880.0, 775.8333333333333)","(4.2, 4.7, 4.628787878787879)","(3.9, 4.4, 4.366517857142857)","(12.0, 15.5, 14.9066985645933)","(31.0, 48.0, 47.21951219512195)","(2.4, 2.82, 2.828361204013378)"
07-12-2022 13:10:05.050940,"(31.0, 46.0, 44.680851063829785)","(20.0, 28.0, 27.534246575342465)","(15.0, 19.5, 18.85483870967742)","(101.0, 880.0, 824.4444444444445)","(4.2, 4.7, 4.633802816901408)","(3.9, 4.4, 4.37)","(12.0, 15.5, 15.05072463768116)","(31.0, 48.0, 47.21951219512195)","(2.4, 2.84, 2.828361204013378)"
07-12-2022 13:10:06.070458,"(31.0, 44.0, 43.84431137724551)","(20.0, 28.0, 27.53103448275862)","(15.0, 19.5, 19.04255319148936)","(101.0, 880.0, 824.4444444444445)","(4.2, 4.7, 4.627969348659003)","(3.9, 4.3, 4.2920047732696895)","(12.0, 15.5, 15.052)","(31.0, 44.0, 43.44444444444444)","(2.4, 2.9, 2.8567567567567567)"
